culture,culture_id,latitude,longitude,soil_ph,has_full_mortuary_package
Trobriand Islands,trobriand-islands,-8.5,151.1,5.5,yes
Tsou,tsou,23.4,120.7,4.9,no
Ulithi,ulithi,10.1,139.7,,no
Uvea,uvea,-13.3,-176.2,,no
Varisi,Varisi,-6.8,156.7,5.2,no
Visayans,visayans,11.2,122.4,5.5,yes
Waropen,waropen,-2.3,136.5,5.0,no
Wogeo,wogeo,-3.2,144.1,5.3,no
Yami,yami,22.0,121.5,,no
Yap,yap,9.5,138.1,,no
