kode,nama,province,layer,markers
31.01.01.1001,Pulau Panggang,DKI Jakarta,UNKNOWN,
31.01.01.1002,Pulau Kelapa,DKI Jakarta,UNKNOWN,
31.01.01.1003,Pulau Harapan,DKI Jakarta,UNKNOWN,
31.01.02.1001,Pulau Untung Jawa,DKI Jakarta,UNKNOWN,
31.01.02.1002,Pulau Tidung,DKI Jakarta,UNKNOWN,
31.01.02.1003,Pulau Pari,DKI Jakarta,UNKNOWN,
31.71.01.1001,Gambir,DKI Jakarta,UNKNOWN,
31.71.01.1002,Cideng,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.71.01.1003,Petojo Utara,DKI Jakarta,UNKNOWN,
31.71.01.1004,Petojo Selatan,DKI Jakarta,UNKNOWN,
31.71.01.1005,Kebon Kelapa,DKI Jakarta,UNKNOWN,
31.71.01.1006,Duri Pulo,DKI Jakarta,UNKNOWN,
31.71.02.1001,Pasar Baru,DKI Jakarta,UNKNOWN,
31.71.02.1002,Karang Anyar,DKI Jakarta,PRE_HINDU,[karang]
31.71.02.1003,Kartini,DKI Jakarta,UNKNOWN,
31.71.02.1004,Gunung Sahari Utara,DKI Jakarta,PRE_HINDU,gunung-
31.71.02.1005,Mangga Dua Selatan,DKI Jakarta,UNKNOWN,
31.71.03.1001,Kemayoran,DKI Jakarta,UNKNOWN,
31.71.03.1002,Kebon Kosong,DKI Jakarta,UNKNOWN,
31.71.03.1003,Harapan Mulia,DKI Jakarta,ARABIC,[mulia]
31.71.03.1004,Serdang,DKI Jakarta,UNKNOWN,
31.71.03.1005,Gunung Sahari Selatan,DKI Jakarta,PRE_HINDU,gunung-
31.71.03.1006,Cempaka Baru,DKI Jakarta,UNKNOWN,
31.71.03.1007,Sumur Batu,DKI Jakarta,PRE_HINDU,sumur-; [batu]
31.71.03.1008,Utan Panjang,DKI Jakarta,UNKNOWN,
31.71.04.1001,Senen,DKI Jakarta,UNKNOWN,
31.71.04.1002,Kenari,DKI Jakarta,UNKNOWN,
31.71.04.1003,Paseban,DKI Jakarta,UNKNOWN,
31.71.04.1004,Kramat,DKI Jakarta,UNKNOWN,
31.71.04.1005,Kwitang,DKI Jakarta,UNKNOWN,
31.71.04.1006,Bungur,DKI Jakarta,UNKNOWN,
31.71.05.1001,Cempaka Putih Timur,DKI Jakarta,UNKNOWN,
31.71.05.1002,Cempaka Putih Barat,DKI Jakarta,UNKNOWN,
31.71.05.1003,Rawasari,DKI Jakarta,MIXED,-sari; rawa-
31.71.06.1001,Menteng,DKI Jakarta,UNKNOWN,
31.71.06.1002,Pegangsaan,DKI Jakarta,UNKNOWN,
31.71.06.1003,Cikini,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.71.06.1004,Gondangdia,DKI Jakarta,UNKNOWN,
31.71.06.1005,Kebon Sirih,DKI Jakarta,UNKNOWN,
31.71.07.1001,Gelora,DKI Jakarta,UNKNOWN,
31.71.07.1002,Bendungan Hilir,DKI Jakarta,PRE_HINDU,[hilir]
31.71.07.1003,Karet Tengsin,DKI Jakarta,UNKNOWN,
31.71.07.1004,Petamburan,DKI Jakarta,UNKNOWN,
31.71.07.1005,Kebon Melati,DKI Jakarta,UNKNOWN,
31.71.07.1006,Kebon Kacang,DKI Jakarta,UNKNOWN,
31.71.07.1007,Kampung Bali,DKI Jakarta,PRE_HINDU,kampung-
31.71.08.1001,Johar Baru,DKI Jakarta,UNKNOWN,
31.71.08.1002,Kampung Rawa,DKI Jakarta,PRE_HINDU,kampung-; [rawa]
31.71.08.1003,Galur,DKI Jakarta,UNKNOWN,
31.71.08.1004,Tanah Tinggi,DKI Jakarta,UNKNOWN,
31.72.01.1001,Penjaringan,DKI Jakarta,UNKNOWN,
31.72.01.1002,Kamal Muara,DKI Jakarta,UNKNOWN,
31.72.01.1003,Kapuk Muara,DKI Jakarta,UNKNOWN,
31.72.01.1004,Pejagalan,DKI Jakarta,UNKNOWN,
31.72.01.1005,Pluit,DKI Jakarta,UNKNOWN,
31.72.02.1001,Tanjung Priok,DKI Jakarta,PRE_HINDU,[tanjung]
31.72.02.1002,Sunter Jaya,DKI Jakarta,SANSKRIT,-jaya; [jaya]
31.72.02.1003,Papanggo,DKI Jakarta,UNKNOWN,
31.72.02.1004,Sungai Bambu,DKI Jakarta,UNKNOWN,
31.72.02.1005,Kebon Bawang,DKI Jakarta,UNKNOWN,
31.72.02.1006,Sunter Agung,DKI Jakarta,SANSKRIT,-agung; [agung]
31.72.02.1007,Warakas,DKI Jakarta,UNKNOWN,
31.72.03.1001,Koja,DKI Jakarta,UNKNOWN,
31.72.03.1002,Tugu Utara,DKI Jakarta,UNKNOWN,
31.72.03.1003,Lagoa,DKI Jakarta,UNKNOWN,
31.72.03.1004,Rawa Badak Utara,DKI Jakarta,PRE_HINDU,rawa-
31.72.03.1005,Tugu Selatan,DKI Jakarta,UNKNOWN,
31.72.03.1006,Rawa Badak Selatan,DKI Jakarta,PRE_HINDU,rawa-
31.72.04.1001,Cilincing,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.72.04.1002,Sukapura,DKI Jakarta,SANSKRIT,-pura
31.72.04.1003,Marunda,DKI Jakarta,UNKNOWN,
31.72.04.1004,Kalibaru,DKI Jakarta,PRE_HINDU,kali-
31.72.04.1005,Semper Timur,DKI Jakarta,UNKNOWN,
31.72.04.1006,Rorotan,DKI Jakarta,UNKNOWN,
31.72.04.1007,Semper Barat,DKI Jakarta,UNKNOWN,
31.72.05.1001,Pademangan Timur,DKI Jakarta,UNKNOWN,
31.72.05.1002,Pademangan Barat,DKI Jakarta,UNKNOWN,
31.72.05.1003,Ancol,DKI Jakarta,UNKNOWN,
31.72.06.1001,Kelapa Gading Timur,DKI Jakarta,UNKNOWN,
31.72.06.1002,Pegangsaan Dua,DKI Jakarta,UNKNOWN,
31.72.06.1003,Kelapa Gading Barat,DKI Jakarta,UNKNOWN,
31.73.01.1001,Cengkareng Barat,DKI Jakarta,UNKNOWN,
31.73.01.1002,Duri Kosambi,DKI Jakarta,UNKNOWN,
31.73.01.1003,Rawa Buaya,DKI Jakarta,PRE_HINDU,rawa-
31.73.01.1004,Kedaung Kali Angke,DKI Jakarta,PRE_HINDU,[kali]
31.73.01.1005,Kapuk,DKI Jakarta,UNKNOWN,
31.73.01.1006,Cengkareng Timur,DKI Jakarta,UNKNOWN,
31.73.02.1001,Grogol,DKI Jakarta,UNKNOWN,
31.73.02.1002,Tanjung Duren Utara,DKI Jakarta,PRE_HINDU,[tanjung]
31.73.02.1003,Tomang,DKI Jakarta,UNKNOWN,
31.73.02.1004,Jelambar,DKI Jakarta,UNKNOWN,
31.73.02.1005,Tanjung Duren Selatan,DKI Jakarta,PRE_HINDU,[tanjung]
31.73.02.1006,Jelambar Baru,DKI Jakarta,UNKNOWN,
31.73.02.1007,Wijaya Kusuma,DKI Jakarta,SANSKRIT,[jaya]
31.73.03.1001,Taman Sari,DKI Jakarta,SANSKRIT,-sari; [sari]
31.73.03.1002,Krukut,DKI Jakarta,UNKNOWN,
31.73.03.1003,Maphar,DKI Jakarta,UNKNOWN,
31.73.03.1004,Tangki,DKI Jakarta,UNKNOWN,
31.73.03.1005,Mangga Besar,DKI Jakarta,UNKNOWN,
31.73.03.1006,Keagungan,DKI Jakarta,SANSKRIT,[agung]
31.73.03.1007,Glodok,DKI Jakarta,UNKNOWN,
31.73.03.1008,Pinangsia,DKI Jakarta,UNKNOWN,
31.73.04.1001,Tambora,DKI Jakarta,UNKNOWN,
31.73.04.1002,Kali Anyar,DKI Jakarta,PRE_HINDU,kali-
31.73.04.1003,Duri Utara,DKI Jakarta,UNKNOWN,
31.73.04.1004,Tanah Sereal,DKI Jakarta,UNKNOWN,
31.73.04.1005,Krendang,DKI Jakarta,UNKNOWN,
31.73.04.1006,Jembatan Besi,DKI Jakarta,UNKNOWN,
31.73.04.1007,Angke,DKI Jakarta,UNKNOWN,
31.73.04.1008,Jembatan Lima,DKI Jakarta,UNKNOWN,
31.73.04.1009,Pekojan,DKI Jakarta,UNKNOWN,
31.73.04.1010,Roa Malaka,DKI Jakarta,UNKNOWN,
31.73.04.1011,Duri Selatan,DKI Jakarta,UNKNOWN,
31.73.05.1001,Kebon Jeruk,DKI Jakarta,UNKNOWN,
31.73.05.1002,Sukabumi Utara,DKI Jakarta,SANSKRIT,[bumi]
31.73.05.1003,Sukabumi Selatan,DKI Jakarta,SANSKRIT,[bumi]
31.73.05.1004,Kelapa Dua,DKI Jakarta,UNKNOWN,
31.73.05.1005,Duri Kepa,DKI Jakarta,UNKNOWN,
31.73.05.1006,Kedoya Utara,DKI Jakarta,UNKNOWN,
31.73.05.1007,Kedoya Selatan,DKI Jakarta,UNKNOWN,
31.73.06.1001,Kalideres,DKI Jakarta,PRE_HINDU,kali-
31.73.06.1002,Semanan,DKI Jakarta,UNKNOWN,
31.73.06.1003,Tegal Alur,DKI Jakarta,PRE_HINDU,tegal-
31.73.06.1004,Kamal,DKI Jakarta,UNKNOWN,
31.73.06.1005,Pegadungan,DKI Jakarta,UNKNOWN,
31.73.07.1001,Palmerah,DKI Jakarta,UNKNOWN,
31.73.07.1002,Slipi,DKI Jakarta,UNKNOWN,
31.73.07.1003,Kota Bambu Utara,DKI Jakarta,UNKNOWN,
31.73.07.1004,Jatipulo,DKI Jakarta,PRE_HINDU,jati-
31.73.07.1005,Kemanggisan,DKI Jakarta,UNKNOWN,
31.73.07.1006,Kota Bambu Selatan,DKI Jakarta,UNKNOWN,
31.73.08.1001,Kembangan Utara,DKI Jakarta,UNKNOWN,
31.73.08.1002,Meruya Utara,DKI Jakarta,UNKNOWN,
31.73.08.1003,Meruya Selatan,DKI Jakarta,UNKNOWN,
31.73.08.1004,Srengseng,DKI Jakarta,UNKNOWN,
31.73.08.1005,Joglo,DKI Jakarta,UNKNOWN,
31.73.08.1006,Kembangan Selatan,DKI Jakarta,UNKNOWN,
31.74.01.1001,Tebet Timur,DKI Jakarta,UNKNOWN,
31.74.01.1002,Tebet Barat,DKI Jakarta,UNKNOWN,
31.74.01.1003,Menteng Dalam,DKI Jakarta,UNKNOWN,
31.74.01.1004,Kebon Baru,DKI Jakarta,UNKNOWN,
31.74.01.1005,Bukit Duri,DKI Jakarta,UNKNOWN,
31.74.01.1006,Manggarai Selatan,DKI Jakarta,UNKNOWN,
31.74.01.1007,Manggarai,DKI Jakarta,UNKNOWN,
31.74.02.1001,Setia Budi,DKI Jakarta,UNKNOWN,
31.74.02.1002,Karet Semanggi,DKI Jakarta,UNKNOWN,
31.74.02.1003,Karet Kuningan,DKI Jakarta,UNKNOWN,
31.74.02.1004,Karet,DKI Jakarta,UNKNOWN,
31.74.02.1005,Menteng Atas,DKI Jakarta,UNKNOWN,
31.74.02.1006,Pasar Manggis,DKI Jakarta,UNKNOWN,
31.74.02.1007,Guntur,DKI Jakarta,UNKNOWN,
31.74.02.1008,Kuningan Timur,DKI Jakarta,UNKNOWN,
31.74.03.1001,Mampang Prapatan,DKI Jakarta,UNKNOWN,
31.74.03.1002,Bangka,DKI Jakarta,UNKNOWN,
31.74.03.1003,Pela Mampang,DKI Jakarta,UNKNOWN,
31.74.03.1004,Tegal Parang,DKI Jakarta,PRE_HINDU,tegal-
31.74.03.1005,Kuningan Barat,DKI Jakarta,UNKNOWN,
31.74.04.1001,Pasar Minggu,DKI Jakarta,UNKNOWN,
31.74.04.1002,Jati Padang,DKI Jakarta,PRE_HINDU,jati-
31.74.04.1003,Cilandak Timur,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.04.1004,Ragunan,DKI Jakarta,UNKNOWN,
31.74.04.1005,Pejaten Timur,DKI Jakarta,UNKNOWN,
31.74.04.1006,Pejaten Barat,DKI Jakarta,UNKNOWN,
31.74.04.1007,Kebagusan,DKI Jakarta,UNKNOWN,
31.74.05.1001,Kebayoran Lama Utara,DKI Jakarta,UNKNOWN,
31.74.05.1002,Pondok Pinang,DKI Jakarta,UNKNOWN,
31.74.05.1003,Cipulir,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.05.1004,Grogol Utara,DKI Jakarta,UNKNOWN,
31.74.05.1005,Grogol Selatan,DKI Jakarta,UNKNOWN,
31.74.05.1006,Kebayoran Lama Selatan,DKI Jakarta,UNKNOWN,
31.74.06.1001,Cilandak Barat,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.06.1002,Lebak Bulus,DKI Jakarta,PRE_HINDU,lebak-
31.74.06.1003,Pondok Labu,DKI Jakarta,UNKNOWN,
31.74.06.1004,Gandaria Selatan,DKI Jakarta,UNKNOWN,
31.74.06.1005,Cipete Selatan,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.07.1001,Melawai,DKI Jakarta,UNKNOWN,
31.74.07.1002,Gunung,DKI Jakarta,PRE_HINDU,gunung-
31.74.07.1003,Kramat Pela,DKI Jakarta,UNKNOWN,
31.74.07.1004,Selong,DKI Jakarta,UNKNOWN,
31.74.07.1005,Rawa Barat,DKI Jakarta,PRE_HINDU,rawa-
31.74.07.1006,Senayan,DKI Jakarta,UNKNOWN,
31.74.07.1007,Pulo,DKI Jakarta,UNKNOWN,
31.74.07.1008,Petogogan,DKI Jakarta,UNKNOWN,
31.74.07.1009,Gandaria Utara,DKI Jakarta,UNKNOWN,
31.74.07.1010,Cipete Utara,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.08.1001,Pancoran,DKI Jakarta,UNKNOWN,
31.74.08.1002,Kalibata,DKI Jakarta,PRE_HINDU,kali-
31.74.08.1003,Rawajati,DKI Jakarta,PRE_HINDU,rawa-
31.74.08.1004,Duren Tiga,DKI Jakarta,UNKNOWN,
31.74.08.1005,Pengadegan,DKI Jakarta,UNKNOWN,
31.74.08.1006,Cikoko,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.09.1001,Jagakarsa,DKI Jakarta,UNKNOWN,
31.74.09.1002,Srengseng Sawah,DKI Jakarta,PRE_HINDU,[sawah]
31.74.09.1003,Ciganjur,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.09.1004,Lenteng Agung,DKI Jakarta,SANSKRIT,-agung; [agung]
31.74.09.1005,Tanjung Barat,DKI Jakarta,PRE_HINDU,[tanjung]
31.74.09.1006,Cipedak,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.74.10.1001,Pesanggrahan,DKI Jakarta,SANSKRIT,[graha]
31.74.10.1002,Bintaro,DKI Jakarta,UNKNOWN,
31.74.10.1003,Petukangan Utara,DKI Jakarta,UNKNOWN,
31.74.10.1004,Petukangan Selatan,DKI Jakarta,UNKNOWN,
31.74.10.1005,Ulujami,DKI Jakarta,UNKNOWN,
31.75.01.1001,Pisangan Baru,DKI Jakarta,UNKNOWN,
31.75.01.1002,Utan Kayu Utara,DKI Jakarta,UNKNOWN,
31.75.01.1003,Kayu Manis,DKI Jakarta,UNKNOWN,
31.75.01.1004,Palmeriam,DKI Jakarta,UNKNOWN,
31.75.01.1005,Kebon Manggis,DKI Jakarta,UNKNOWN,
31.75.01.1006,Utan Kayu Selatan,DKI Jakarta,UNKNOWN,
31.75.02.1001,Pulo Gadung,DKI Jakarta,UNKNOWN,
31.75.02.1002,Pisangan Timur,DKI Jakarta,UNKNOWN,
31.75.02.1003,Cipinang,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.02.1004,Jatinegara Kaum,DKI Jakarta,MIXED,[negara]; jati-
31.75.02.1005,Rawamangun,DKI Jakarta,PRE_HINDU,rawa-
31.75.02.1006,Kayu Putih,DKI Jakarta,UNKNOWN,
31.75.02.1007,Jati,DKI Jakarta,PRE_HINDU,jati-
31.75.03.1001,Kampung Melayu,DKI Jakarta,PRE_HINDU,kampung-
31.75.03.1002,Bidara Cina,DKI Jakarta,UNKNOWN,
31.75.03.1003,Bali Mester,DKI Jakarta,UNKNOWN,
31.75.03.1004,Rawa Bunga,DKI Jakarta,PRE_HINDU,rawa-
31.75.03.1005,Cipinang Cempedak,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.03.1006,Cipinang Muara,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.03.1007,Cipinang Besar Selatan,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.03.1008,Cipinang Besar Utara,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.04.1001,Kramatjati,DKI Jakarta,UNKNOWN,
31.75.04.1002,Tengah,DKI Jakarta,PRE_HINDU,[tengah]; [dir:tengah]
31.75.04.1003,Dukuh,DKI Jakarta,PRE_HINDU,dukuh-
31.75.04.1004,Batu Ampar,DKI Jakarta,PRE_HINDU,batu-
31.75.04.1005,Balekambang,DKI Jakarta,UNKNOWN,
31.75.04.1006,Cililitan,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.04.1007,Cawang,DKI Jakarta,UNKNOWN,
31.75.05.1001,Gedong,DKI Jakarta,UNKNOWN,
31.75.05.1002,Baru,DKI Jakarta,UNKNOWN,
31.75.05.1003,Cijantung,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.05.1004,Kalisari,DKI Jakarta,MIXED,-sari; kali-
31.75.05.1005,Pekayon,DKI Jakarta,UNKNOWN,
31.75.06.1001,Jatinegara,DKI Jakarta,MIXED,-negara; jati-
31.75.06.1002,Rawa Terate,DKI Jakarta,PRE_HINDU,rawa-
31.75.06.1003,Penggilingan,DKI Jakarta,UNKNOWN,
31.75.06.1004,Cakung Timur,DKI Jakarta,UNKNOWN,
31.75.06.1005,Pulo Gebang,DKI Jakarta,UNKNOWN,
31.75.06.1006,Ujung Menteng,DKI Jakarta,UNKNOWN,
31.75.06.1007,Cakung Barat,DKI Jakarta,UNKNOWN,
31.75.07.1001,Duren Sawit,DKI Jakarta,UNKNOWN,
31.75.07.1002,Pondok Bambu,DKI Jakarta,UNKNOWN,
31.75.07.1003,Klender,DKI Jakarta,UNKNOWN,
31.75.07.1004,Pondok Kelapa,DKI Jakarta,UNKNOWN,
31.75.07.1005,Malaka Sari,DKI Jakarta,SANSKRIT,-sari; [sari]
31.75.07.1006,Malaka Jaya,DKI Jakarta,SANSKRIT,-jaya; [jaya]
31.75.07.1007,Pondok Kopi,DKI Jakarta,UNKNOWN,
31.75.08.1001,Makasar,DKI Jakarta,UNKNOWN,
31.75.08.1002,Pinangranti,DKI Jakarta,UNKNOWN,
31.75.08.1003,Kebon Pala,DKI Jakarta,UNKNOWN,
31.75.08.1004,Halim Perdana Kusuma,DKI Jakarta,UNKNOWN,
31.75.08.1005,Cipinang Melayu,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.09.1001,Ciracas,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.09.1002,Cibubur,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.09.1003,Kelapa Dua Wetan,DKI Jakarta,PRE_HINDU,[wetan]; [dir:wetan]
31.75.09.1004,Susukan,DKI Jakarta,UNKNOWN,
31.75.09.1005,Rambutan,DKI Jakarta,UNKNOWN,
31.75.10.1001,Cipayung,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.10.1002,Cilangkap,DKI Jakarta,PRE_HINDU,ci-; ci- (Sunda)
31.75.10.1003,Pondok Ranggon,DKI Jakarta,UNKNOWN,
31.75.10.1004,Munjul,DKI Jakarta,UNKNOWN,
31.75.10.1005,Setu,DKI Jakarta,UNKNOWN,
31.75.10.1006,Bambu Apus,DKI Jakarta,UNKNOWN,
31.75.10.1007,Lubang Buaya,DKI Jakarta,UNKNOWN,
31.75.10.1008,Ceger,DKI Jakarta,UNKNOWN,
32.01.01.1001,Pondok Rajeg,Jawa Barat,UNKNOWN,
32.01.01.1002,Karadenan,Jawa Barat,PRE_HINDU,ka-...-an (karadenan)
32.01.01.1003,Harapanjaya,Jawa Barat,SANSKRIT,-jaya
32.01.01.1004,Nanggewer,Jawa Barat,UNKNOWN,
32.01.01.1005,Nanggewer Mekar,Jawa Barat,UNKNOWN,
32.01.01.1006,Cibinong,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.01.1007,Pakansari,Jawa Barat,SANSKRIT,-sari
32.01.01.1008,Tengah,Jawa Barat,PRE_HINDU,[tengah]; [dir:tengah]
32.01.01.1009,Sukahati,Jawa Barat,UNKNOWN,
32.01.01.1010,Ciriung,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.01.1011,Cirimekar,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.01.1012,Pabuaran,Jawa Barat,UNKNOWN,
32.01.01.1013,Pabuaran Mekar,Jawa Barat,UNKNOWN,
32.01.02.2001,Wanaherang,Jawa Barat,SANSKRIT,[wana]
32.01.02.2002,Bojongkulur,Jawa Barat,PRE_HINDU,[bojong]
32.01.02.2003,Ciangsana,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.02.2004,Gunungputri,Jawa Barat,PRE_HINDU,gunung-
32.01.02.2005,Bojongnangka,Jawa Barat,PRE_HINDU,[bojong]
32.01.02.2006,Tlajung Udik,Jawa Barat,UNKNOWN,
32.01.02.2007,Cicadas,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.02.2008,Cikeas Udik,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.02.2009,Nagrak,Jawa Barat,UNKNOWN,
32.01.02.2010,Karanggan,Jawa Barat,PRE_HINDU,[karang]; ka-...-an (karanggan)
32.01.03.1006,Puspanegara,Jawa Barat,SANSKRIT,-negara
32.01.03.1007,Karang Asem Barat,Jawa Barat,PRE_HINDU,[karang]
32.01.03.2001,Puspasari,Jawa Barat,SANSKRIT,-sari
32.01.03.2002,Citeureup,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.03.2003,Leuwinutug,Jawa Barat,PRE_HINDU,[leuwi]
32.01.03.2004,Tajur,Jawa Barat,UNKNOWN,
32.01.03.2005,Sanja,Jawa Barat,UNKNOWN,
32.01.03.2008,Karang Asem Timur,Jawa Barat,PRE_HINDU,[karang]
32.01.03.2009,Tarikolot,Jawa Barat,UNKNOWN,
32.01.03.2010,Gunungsari,Jawa Barat,MIXED,-sari; gunung-
32.01.03.2011,Tangkil,Jawa Barat,UNKNOWN,
32.01.03.2012,Sukahati,Jawa Barat,UNKNOWN,
32.01.03.2013,Hambalang,Jawa Barat,UNKNOWN,
32.01.03.2014,Pasir Mukti,Jawa Barat,MIXED,-mukti; [mukti]; pasir-
32.01.04.2001,Gunung Geulis,Jawa Barat,PRE_HINDU,gunung-
32.01.04.2002,Cilebut Timur,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2003,Cilebut Barat,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2004,Cibanon,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2005,Nagrak,Jawa Barat,UNKNOWN,
32.01.04.2006,Sukatani,Jawa Barat,UNKNOWN,
32.01.04.2007,Sukaraja,Jawa Barat,SANSKRIT,-raja
32.01.04.2008,Cikeas,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2009,Pasirjambu,Jawa Barat,PRE_HINDU,pasir-
32.01.04.2010,Cimandala,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2011,Cijujung,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.04.2012,Cadasngampar,Jawa Barat,UNKNOWN,
32.01.04.2013,Pasirlaja,Jawa Barat,PRE_HINDU,pasir-
32.01.05.2001,Cijayanti,Jawa Barat,MIXED,[jaya]; ci-; ci- (Sunda)
32.01.05.2002,Sumur Batu,Jawa Barat,PRE_HINDU,sumur-; [batu]
32.01.05.2003,Sentul,Jawa Barat,UNKNOWN,
32.01.05.2004,Karang Tengah,Jawa Barat,PRE_HINDU,[karang]; [tengah]; [dir:tengah]
32.01.05.2005,Cipambuan,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.05.2006,Kadumanggu,Jawa Barat,UNKNOWN,
32.01.05.2007,Citaringgul,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.05.2008,Babakan Madang,Jawa Barat,PRE_HINDU,[babakan]
32.01.05.2009,Bojong Koneng,Jawa Barat,PRE_HINDU,[bojong]
32.01.06.2001,Sukamaju,Jawa Barat,UNKNOWN,
32.01.06.2002,Sirnagalih,Jawa Barat,UNKNOWN,
32.01.06.2003,Singajaya,Jawa Barat,SANSKRIT,-jaya
32.01.06.2004,Sukasirna,Jawa Barat,UNKNOWN,
32.01.06.2005,Sukanegara,Jawa Barat,SANSKRIT,-negara
32.01.06.2006,Sukamanah,Jawa Barat,UNKNOWN,
32.01.06.2007,Weninggalih,Jawa Barat,UNKNOWN,
32.01.06.2008,Cibodas,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.06.2009,Jonggol,Jawa Barat,UNKNOWN,
32.01.06.2010,Bendungan,Jawa Barat,UNKNOWN,
32.01.06.2011,Singasari,Jawa Barat,SANSKRIT,-sari
32.01.06.2012,Balekambang,Jawa Barat,UNKNOWN,
32.01.06.2013,Sukajaya,Jawa Barat,SANSKRIT,-jaya
32.01.06.2014,Sukagalih,Jawa Barat,UNKNOWN,
32.01.07.2001,Pasirangin,Jawa Barat,PRE_HINDU,pasir-
32.01.07.2002,Mekarsari,Jawa Barat,SANSKRIT,-sari
32.01.07.2003,Mampir,Jawa Barat,UNKNOWN,
32.01.07.2004,Dayeuh,Jawa Barat,UNKNOWN,
32.01.07.2005,Gandoang,Jawa Barat,UNKNOWN,
32.01.07.2006,Jatisari,Jawa Barat,MIXED,-sari; jati-
32.01.07.2007,Cileungsi Kidul,Jawa Barat,PRE_HINDU,ci-; [kidul]; ci- (Sunda); [dir:kidul]
32.01.07.2008,Cipeucang,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.07.2009,Situsari,Jawa Barat,SANSKRIT,-sari
32.01.07.2010,Cipenjo,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.07.2011,Limusnunggal,Jawa Barat,UNKNOWN,
32.01.07.2012,Cileungsi,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.08.2001,Karyamekar,Jawa Barat,UNKNOWN,
32.01.08.2002,Babakanraden,Jawa Barat,PRE_HINDU,[babakan]
32.01.08.2003,Cikutamahi,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.08.2004,Kutamekar,Jawa Barat,UNKNOWN,
32.01.08.2005,Cariu,Jawa Barat,UNKNOWN,
32.01.08.2006,Mekarwangi,Jawa Barat,UNKNOWN,
32.01.08.2007,Bantarkuning,Jawa Barat,UNKNOWN,
32.01.08.2008,Sukajadi,Jawa Barat,SANSKRIT,-adi
32.01.08.2009,Tegalpanjang,Jawa Barat,PRE_HINDU,tegal-
32.01.08.2010,Cibatutiga,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.09.2001,Wargajaya,Jawa Barat,SANSKRIT,-jaya
32.01.09.2002,Pabuaran,Jawa Barat,UNKNOWN,
32.01.09.2003,Sukadamai,Jawa Barat,UNKNOWN,
32.01.09.2004,Sukawangi,Jawa Barat,UNKNOWN,
32.01.09.2005,Cibadak,Jawa Barat,PRE_HINDU,ci-; ci- (Sunda)
32.01.09.2006,Sukaresmi,Jawa Barat,UNKNOWN,
32.01.09.2007,Sukamulya,Jawa Barat,UNKNOWN,
32.01.09.2008,Sukaharja,Jawa Barat,UNKNOWN,
32.01.09.2009,Sirnajaya,Jawa Barat,SANSKRIT,-jaya
