rank,lat,lon,prob
1,-7.755868390209106,112.52110425858025,0.9527808627422716
2,-7.755653684024862,112.58003207933895,0.9494326241134752
3,-7.755737228036108,112.55736773213103,0.9448031282900096
4,-7.755720615701733,112.56190062167069,0.9423348566000033
5,-7.755687246330129,112.57096637066098,0.9417931657507094
6,-7.755703955132898,112.56643350119036,0.9356681899333366
7,-7.7559487988146945,112.49843926951462,0.8924493056078724
8,-7.755852163768833,112.52563722723399,0.8848949365023205
9,-7.755980624569569,112.48937320639213,0.8843461730147741
10,-7.755636830523408,112.58456491848818,0.8788033812222739
11,-7.7560593447037185,112.4667078818791,0.8727808627422716
12,-7.755819566173158,112.53470313514968,0.8624213689366479
13,-7.755835889090016,112.53017018610015,0.8615678812595013
14,-7.755753792135516,112.55283483260044,0.8614866631259209
15,-7.755996465083445,112.48484016048361,0.8605033594093046
16,-7.755619928790106,112.5890977474722,0.8520265217181417
17,-7.755884568410331,112.51657128016798,0.8506456257193857
18,-7.755770307999437,112.54830192310796,0.8408480239341852
19,-7.755964735813154,112.49390624274547,0.8353534569665146
20,-7.755916780093621,112.50750529418404,0.8281685485730478
