lat,lon,elevation,slope,twi,tri,aspect,river_dist,site_likeness,burial_depth_cm,composite_score,volcano_dist_km
-7.879661376112435,112.28773572330012,643.98224,3.957711,12.73601,2.2499542,197.19579,3360.8694,0.09740867160405775,2013.7,0.8118697739470698,6.02595571813909
-7.882446210299037,112.28496334051634,663.07556,4.165872,12.684578,2.1798782,181.50664,3290.1836,0.09432191998968242,2013.7,0.8047240271233481,5.864949648418282
-7.876876529202963,112.29050806905587,632.867,5.2439523,12.453395,2.2726135,163.8677,3483.2773,0.08980220887437701,2013.7,0.7942610176619055,6.213285292474619
-7.940641513039337,112.2962690717797,1146.3036,17.655409,11.209854,7.4556427,123.1675,4969.9,0.07004361202451742,2136.4,0.7941297010041564,1.7519241421557543
-7.932381880250596,112.27677333875603,961.0091,3.0946827,12.98261,2.0250473,165.13927,2923.371,0.06723238509473456,2136.4,0.7872252421692099,3.449216103359957
-7.9268383224088685,112.27675624242747,995.5407,5.209961,12.459934,2.3011322,151.56612,3140.4575,0.06640998820623673,2136.4,0.7852054104002179,3.458851575953051
-7.885187782778613,112.29331482019077,728.03467,4.6714454,12.56958,2.0560684,163.56732,3738.4685,0.08507053318913649,2013.7,0.7833073159318326,5.238812514429901
-7.888015288661467,112.27663685792713,604.68536,5.539044,12.398324,3.3411179,204.75221,3150.024,0.08459925373809857,2013.7,0.7822163166999359,5.807461414114915
-7.876919104048365,112.27660284726026,571.8566,6.0300317,12.312814,2.6049652,120.931816,2192.622,0.08328299388696014,2013.7,0.7791692106073492,6.840724210049428
-7.876885080697668,112.28772714427379,620.0462,5.603128,12.386748,2.2153854,128.80327,3209.1677,0.08247855304421758,2013.7,0.7773069517297224,6.31408285661865
-7.879566258261859,112.31832706066295,681.67645,4.677518,12.568275,3.422493,157.02141,1020.69446,0.08220690484113957,2013.7,0.7766780934583687,5.722157655180371
-7.968402744248024,112.28523001827786,870.5893,16.892393,11.256827,7.4716644,99.88203,4935.728,0.06216105330201216,2136.4,0.7747698970562804,4.952016791928006
-7.948987249388001,112.28795095890406,1098.9714,15.191618,11.368698,6.7453766,124.016464,4187.489,0.06145273072968249,2136.4,0.7730302352770403,3.054948934028355
-7.973963938455564,112.28246519840073,834.9381,15.73465,11.331812,6.933464,109.174965,5131.95,0.06081246221871345,2136.4,0.771457716342171,5.639649412414535
-7.879678431612116,112.28217326053424,620.2126,5.7574797,12.359394,2.3380432,112.14325,2858.9775,0.07872127299261628,2013.7,0.768608949639264,6.27701481219236
-7.940650171807622,112.29348772619603,1088.6903,17.995472,11.189487,8.154266,162.20618,4663.4175,0.05880974924909932,2136.4,0.7665389923820308,1.9891720619377065
-7.968419956888395,112.27966635860541,843.13794,4.7083707,12.561671,2.000267,76.870255,4488.7646,0.05862191225603147,2136.4,0.7660776590145332,5.290278309336384
-7.929554088767721,112.29345303365324,1075.5237,14.814811,11.395,6.477646,187.00578,4782.864,0.05846709600237315,2136.4,0.7656974255872562,1.6028487826762652
-7.879644248579428,112.29329760677551,657.5747,5.4928136,12.406757,3.9216843,195.30138,3367.9958,0.07593182497687889,2013.7,0.7621514526364073,5.828750247904639
-7.890661965491962,112.3155811802094,795.21454,4.6239696,12.57984,2.7446213,124.21139,2110.2395,0.07466048188733021,2013.7,0.7592083276367493,4.4531682618292825
-7.940597938621978,112.3101763194882,1228.6688,17.468971,11.221166,7.8436127,104.70251,6502.532,0.05514179578998529,2136.4,0.7575303871361683,1.2025637424051987
-7.971118181340987,112.30471010575565,843.1439,16.441349,11.2854805,7.134033,80.666534,5859.674,0.05472302096982845,2136.4,0.7565018634420286,4.5864654395983395
-7.943417790603061,112.29627777848303,1222.5688,15.560327,11.343526,6.627594,92.99985,4988.783,0.05432103523958792,2136.4,0.7555145742633155,1.9729744658364448
-7.879686930827944,112.27939230792458,593.62695,7.046462,12.155683,2.869896,169.11334,2625.8308,0.07249767125909162,2013.7,0.7542014793030278,6.420797618106669
-7.926812668583471,112.2851006134077,1084.9622,13.769519,11.471295,5.7313538,150.76387,3987.3545,0.053669761163669394,2136.4,0.7539150253262276,2.5467376208897408
-7.935089327036092,112.29903356824344,1283.5668,17.530935,11.217395,7.7419586,104.64089,5294.191,0.05274953344163258,2136.4,0.7516549180548197,1.138143551828993
-7.893498996172545,112.2961217073951,813.29474,5.182449,12.465258,2.17836,121.44341,3913.4497,0.06946968138215576,2013.7,0.7471917643183142,4.26435634913214
-7.957315683044298,112.28519545324355,991.4469,10.095341,11.79077,4.602928,111.96469,4238.819,0.05015695742063975,2136.4,0.7452874725015015,3.9411684243196805
-7.89633516234064,112.27666239139666,658.806,6.2045856,12.28406,4.086708,198.40916,3966.5486,0.06831474223329309,2013.7,0.7445181113051781,5.09165156745567
-7.879627045522754,112.29886004459675,666.71606,6.6703143,12.211069,3.0131683,132.30698,2873.9026,0.06786421212334581,2013.7,0.7434751462388756,5.690957300539221
-7.8768679592730315,112.29328899072046,631.6975,6.9736066,12.166181,3.5935745,140.38159,3210.7788,0.0672932310829783,2013.7,0.7421533405138506,6.126160056366268
-7.876893613757043,112.28494621638092,618.4308,7.490028,12.093976,3.1557693,142.2634,2940.0486,0.06682231253241122,2013.7,0.7410631767568204,6.427909630980401
-7.962884986340847,112.27686763106607,894.2568,10.901146,11.712231,5.0228195,144.42764,3840.8162,0.047964547312585704,2136.4,0.7399028466002588,5.01256387812027
-7.887920881517217,112.30722894398974,766.58466,6.5252614,12.233251,2.844284,167.9784,2552.2888,0.06619806701820385,2013.7,0.7396180652099128,4.679755081976604
-7.965652707742871,112.279657764133,826.7757,16.527258,11.27997,8.378281,155.91328,4274.163,0.0477763048786462,2136.4,0.73944051745765,5.045652769986136
-7.876674747750277,112.35447129915813,564.9332,1.8798609,13.481711,1.0399094,127.6612,479.9643,0.10495890204814867,1792.2,0.7381229180363257,7.832996432387888
-7.890492523457332,112.36842162693459,646.44775,3.3540192,12.901965,1.430275,189.59145,936.125,0.10494782670658126,1792.2,0.7381000991327705,7.9739004590718565
-7.929605579856124,112.27676477510528,990.10925,12.8154335,11.545744,6.293434,150.61545,3018.3206,0.04713588447808226,2136.4,0.7378676254773163,3.4402668134002163
-7.949004456801658,112.28238756703558,1042.1104,7.318017,12.11747,3.35141,112.05367,3598.1318,0.046991804215525734,2136.4,0.7375137599706898,3.5244585960133983
-7.884967298685438,112.36284105062796,655.9496,2.271863,13.292144,1.1729813,206.3383,974.0281,0.10447024920183295,1792.2,0.7371161299292371,7.8457948734553735
-7.957307061783006,112.28797692018097,1023.16223,3.206317,12.947101,1.805069,76.35926,4511.7476,0.04671498217080361,2136.4,0.7368338766101041,3.75263042013551
-7.87943295540656,112.36004205247765,639.3872,2.3851495,13.243428,0.969017,206.0402,766.59485,0.10419848567711759,1792.2,0.7365562062806044,8.02930272364676
-7.899033887399201,112.29892061949597,882.12115,6.45219,12.244609,2.8609467,151.46492,4038.7837,0.06471307315025254,2013.7,0.7361803444144523,3.585536063757562
-7.9600743029759835,112.28798556133954,990.2268,10.218176,11.778419,4.1524887,89.62837,4655.3457,0.04644649388654132,2136.4,0.7361744612186553,4.005160619521395
-7.882200131739945,112.36283199472942,645.77313,2.625079,13.147457,1.0698318,207.30025,834.1454,0.10367208395929539,1792.2,0.7354716428874917,8.04492871848195
-7.971161738642765,112.2908017991569,850.686,13.062216,11.526006,5.3816376,78.042,5603.09,0.04604289145131313,2136.4,0.7351832013633249,4.953366393562813
-7.882454732733421,112.28218180563272,622.7001,6.6976876,12.206936,4.197159,201.61646,3059.1648,0.06394661218952014,2013.7,0.7344060079404213,6.003001524262852
-7.879531116190257,112.32945124285276,624.11096,3.257671,12.931177,1.374321,164.16565,505.72025,0.10307496331580501,1792.2,0.7342413748825147,6.08893589449428
-7.884994364682959,112.35449834966687,659.88,2.8482504,13.065739,1.1773834,188.91528,1328.4891,0.10291601991188187,1792.2,0.7339138983723982,7.160368248636722
-7.962610594290995,112.36309648563682,623.19037,2.0181913,13.410652,0.8336868,292.26312,717.821,0.09223421846338509,1847.1,0.7337134461269886,7.068585170527119
