algorithm,train_design,uniform,tgb,hybrid,stratified
maxent,hybrid,0.3402,0.3399,0.3974,0.3566
maxent,random,0.3917,0.3844,0.4026,0.4085
maxent,tgb,0.3854,0.3801,0.3989,0.4082
randomforest,hybrid,0.4059,0.4049,0.4448,0.4154
randomforest,random,0.4147,0.4073,0.4378,0.4194
randomforest,tgb,0.4125,0.4033,0.434,0.4192
xgboost,hybrid,0.3946,0.3945,0.4509,0.4104
xgboost,random,0.4246,0.4158,0.4467,0.4317
xgboost,tgb,0.4271,0.4175,0.448,0.4311
