seed,hard_frac,zdist_mean,frac_zdist_ge2,algorithm,auc_own,auc_common,inflation,n_bg
0,0.0,2.0935819335034522,0.4671957671957672,maxent,0.6855087982867054,0.6672511230924716,0.018257675194233824,1890
0,0.0,2.0935819335034522,0.4671957671957672,xgboost,0.6999901951282232,0.6870125796524972,0.012977615475726068,1890
0,0.0,2.0935819335034522,0.4671957671957672,randomforest,0.7114453552697992,0.6886342022083705,0.02281115306142878,1890
0,0.1,2.1663466677664434,0.5153439153439153,maxent,0.6947020063052509,0.6549992246195793,0.03970278168567165,1890
0,0.1,2.1663466677664434,0.5153439153439153,xgboost,0.74632649192006,0.7232158470624969,0.02311064485756309,1890
0,0.1,2.1663466677664434,0.5153439153439153,randomforest,0.7249179398004805,0.7041887282680759,0.02072921153240459,1890
0,0.2,2.264763492847868,0.5677248677248677,maxent,0.7123841786122596,0.6540269391407186,0.05835723947154092,1890
0,0.2,2.264763492847868,0.5677248677248677,xgboost,0.7454240223882105,0.7128313270795283,0.03259269530868214,1890
0,0.2,2.264763492847868,0.5677248677248677,randomforest,0.7409590886065068,0.7080014014700995,0.03295768713640734,1890
0,0.3,2.3225569903312278,0.6317460317460317,maxent,0.7197819803302256,0.6427627579702626,0.07701922235996295,1890
0,0.3,2.3225569903312278,0.6317460317460317,xgboost,0.7809913629553089,0.7282330652798528,0.052758297675456145,1890
0,0.3,2.3225569903312278,0.6317460317460317,randomforest,0.7705395470701705,0.7090448805229737,0.06149466654719682,1890
0,0.4,2.3961861541269185,0.6777777777777778,maxent,0.7182153075419117,0.6548277267532353,0.06338758078867635,1890
0,0.4,2.3961861541269185,0.6777777777777778,xgboost,0.7450108201374835,0.690237348086679,0.05477347205080452,1890
0,0.4,2.3961861541269185,0.6777777777777778,randomforest,0.7475788803071465,0.6932431342338586,0.05433574607328784,1890
0,0.5,2.508675404776351,0.7412698412698413,maxent,0.722946086490564,0.6342135709964071,0.08873251549415695,1890
0,0.5,2.508675404776351,0.7412698412698413,xgboost,0.7724355205562509,0.6980370199107517,0.07439850064549913,1890
0,0.5,2.508675404776351,0.7412698412698413,randomforest,0.7650594693425017,0.6815024965957704,0.08355697274673124,1890
0,0.6,2.5152645368693585,0.7772486772486773,maxent,0.7570753173641082,0.6567077765851692,0.10036754077893895,1890
0,0.6,2.5152645368693585,0.7772486772486773,xgboost,0.7771451191820488,0.6908365114783815,0.08630860770366722,1890
0,0.6,2.5152645368693585,0.7772486772486773,randomforest,0.7746344727148304,0.6834230714234548,0.09121140129137562,1890
0,0.7,2.575163946304605,0.8322751322751323,maxent,0.7603699435868716,0.6449878792692803,0.11538206431759135,1890
0,0.7,2.575163946304605,0.8322751322751323,xgboost,0.7923253599935443,0.6737870405948334,0.11853831939871085,1890
0,0.7,2.575163946304605,0.8322751322751323,randomforest,0.7804428326099787,0.6634687509852515,0.11697408162472722,1890
0,0.8,2.698334704961815,0.8904761904761904,maxent,0.7916946829203397,0.617233825685511,0.17446085723482874,1890
0,0.8,2.698334704961815,0.8904761904761904,xgboost,0.8076609059969577,0.6585809822230176,0.14907992377394008,1890
0,0.8,2.698334704961815,0.8904761904761904,randomforest,0.8152377337973162,0.652636227642768,0.16260150615454827,1890
0,0.9,2.72526765981134,0.9470899470899471,maxent,0.8040847996884976,0.6059830576338399,0.1981017420546577,1890
0,0.9,2.72526765981134,0.9470899470899471,xgboost,0.8324629118112876,0.6485531974112154,0.1839097144000722,1890
0,0.9,2.72526765981134,0.9470899470899471,randomforest,0.821783382628165,0.6415049939774127,0.1802783886507523,1890
