seed,zdist_target,zdist_realized,algorithm,auc_own,auc_common,inflation,n_bg
0,0.75,0.8666803573829392,maxent,0.9855714580918065,0.5190209463875123,0.4665505117042942,1890
0,0.75,0.8666803573829392,xgboost,0.9771258692330065,0.5665391800885611,0.4105866891444454,1890
0,0.75,0.8666803573829392,randomforest,0.9832782382532942,0.5492986338759704,0.43397960437732375,1890
0,1.25,1.2816825066537005,maxent,0.8798036204007609,0.5142607613916036,0.3655428590091573,1890
0,1.25,1.2816825066537005,xgboost,0.9015471532334974,0.5238693109007488,0.3776778423327486,1890
0,1.25,1.2816825066537005,randomforest,0.8968986904353674,0.5086780976936777,0.38822059274168974,1890
0,1.75,1.7557066718415115,maxent,0.7453972347396135,0.50933951512,0.23605771961961353,1890
0,1.75,1.7557066718415115,xgboost,0.8286039796895206,0.5544894638432325,0.2741145158462881,1890
0,1.75,1.7557066718415115,randomforest,0.7833316254307818,0.5671311595155044,0.21620046591527742,1890
0,2.25,2.218294061342797,maxent,0.7970825710966316,0.521114866110642,0.27596770498598966,1890
0,2.25,2.218294061342797,xgboost,0.871309218975977,0.5612619740100798,0.3100472449658972,1890
0,2.25,2.218294061342797,randomforest,0.845222713136921,0.5890756442378442,0.2561470688990768,1890
0,2.75,2.731219918950802,maxent,0.9164706126503559,0.5375718384687938,0.37889877418156215,1890
0,2.75,2.731219918950802,xgboost,0.9438489567369663,0.5871625839411767,0.35668637279578963,1890
0,2.75,2.731219918950802,randomforest,0.9413135159247643,0.5997673575213289,0.3415461584034354,1890
0,3.25,3.228410126749864,maxent,0.922642586126394,0.5151066522891361,0.40753593383725795,1890
0,3.25,3.228410126749864,xgboost,0.9513918971951835,0.6092576229397789,0.34213427425540455,1890
0,3.25,3.228410126749864,randomforest,0.9622442177960433,0.6338052600818647,0.32843895771417864,1890
0,3.75,3.733378027332098,maxent,0.9454501595341191,0.5347174436739941,0.41073271586012505,1890
0,3.75,3.733378027332098,xgboost,0.9396817025335139,0.5978714560928042,0.3418102464407097,1890
0,3.75,3.733378027332098,randomforest,0.9658740270860819,0.6312871115560739,0.3345869155300081,1890
0,4.25,4.241016338659442,maxent,0.9480407383336944,0.542188564165157,0.40585217416853736,1890
0,4.25,4.241016338659442,xgboost,0.9518823985063843,0.582475301255567,0.36940709725081733,1890
0,4.25,4.241016338659442,randomforest,0.9570781184955612,0.6364137398087474,0.32066437868681386,1890
1,0.75,0.8603746923969255,maxent,0.9865997946143651,0.5201348921519935,0.4664649024623716,1890
1,0.75,0.8603746923969255,xgboost,0.9827113986941501,0.5756216378410518,0.40708976085309834,1890
1,0.75,0.8603746923969255,randomforest,0.9860993212007145,0.554605420157916,0.4314939010427985,1890
1,1.25,1.282206791056743,maxent,0.8814552103014826,0.5075015890704611,0.3739536212310215,1890
1,1.25,1.282206791056743,xgboost,0.9039888036209609,0.5381779368171475,0.36581086680381336,1890
1,1.25,1.282206791056743,randomforest,0.8844520005400678,0.5122383700830307,0.37221363045703704,1890
1,1.75,1.759049917648522,maxent,0.7456623824637569,0.5175864800070824,0.22807590245667453,1890
1,1.75,1.759049917648522,xgboost,0.8270276004639614,0.5565753339777135,0.27045226648624787,1890
1,1.75,1.759049917648522,randomforest,0.790173683033503,0.5790521769220291,0.21112150611147384,1890
1,2.25,2.224400793248161,maxent,0.7976835766445431,0.5312384550702838,0.26644512157425937,1890
1,2.25,2.224400793248161,xgboost,0.8863720109991909,0.5764686663327803,0.3099033446664107,1890
1,2.25,2.224400793248161,randomforest,0.8463880636214679,0.611086563634814,0.23530149998665395,1890
1,2.75,2.7259807270010468,maxent,0.9174451545017763,0.5387253995446711,0.3787197549571052,1890
1,2.75,2.7259807270010468,xgboost,0.9450537372942559,0.5975131585946218,0.34754057869963406,1890
1,2.75,2.7259807270010468,randomforest,0.9394569415508052,0.6175573420016134,0.3218995995491918,1890
1,3.25,3.2242574385303793,maxent,0.923361366935475,0.5316539897753378,0.39170737716013715,1890
1,3.25,3.2242574385303793,xgboost,0.9405275915005451,0.6108361074058196,0.3296914840947255,1890
1,3.25,3.2242574385303793,randomforest,0.9558773764425983,0.6444546520173475,0.31142272442525076,1890
1,3.75,3.738965164737918,maxent,0.9425139190545252,0.5360054375863007,0.4065084814682245,1890
1,3.75,3.738965164737918,xgboost,0.9437844999930218,0.5991591052039971,0.34462539478902476,1890
1,3.75,3.738965164737918,randomforest,0.9664743967858624,0.6547957907153426,0.3116786060705199,1890
1,4.25,4.237520258922272,maxent,0.9471775249375156,0.5367946908889325,0.4103828340485831,1890
1,4.25,4.237520258922272,xgboost,0.9432357031978469,0.5819812237954858,0.3612544794023611,1890
1,4.25,4.237520258922272,randomforest,0.9541423734273125,0.640588421988215,0.3135539514390975,1890
2,0.75,0.8637187089303179,maxent,0.9844227762497019,0.5178999928490657,0.46652278340063613,1890
2,0.75,0.8637187089303179,xgboost,0.9804410860106749,0.5887258611165318,0.3917152248941431,1890
2,0.75,0.8637187089303179,randomforest,0.9844554436409061,0.5714112114177065,0.41304423222319964,1890
2,1.25,1.2789073578421581,maxent,0.8834197120469224,0.5164505107977921,0.36696920124913024,1890
