lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-7.96,112.88,0.78,Bromo,8.0,5.0
-7.96,112.9,0.78,Bromo,5.9,7.7
-7.94,112.22,0.78,Kelud,9.8,3.5
-7.94,112.88,0.78,Bromo,7.7,5.3
-7.94,112.9,0.78,Bromo,5.5,8.2
-7.92,112.9,0.78,Bromo,6.0,7.4
-7.9,112.9,0.78,Bromo,7.2,5.8
-7.9,112.92,0.78,Bromo,5.7,7.9
-7.88,112.92,0.78,Bromo,7.6,5.4
-7.88,112.94,0.78,Bromo,7.0,6.1
-7.88,112.96,0.78,Bromo,7.0,6.1
-7.7,112.52,0.78,Arjuno-Welirang,6.9,6.3
-7.7,112.54,0.78,Arjuno-Welirang,5.0,9.1
-7.68,112.54,0.78,Arjuno-Welirang,6.7,6.5
-7.68,112.56,0.78,Arjuno-Welirang,5.7,7.9
-7.68,112.58,0.78,Arjuno-Welirang,5.5,8.3
-7.68,112.6,0.78,Arjuno-Welirang,6.1,7.3
-7.66,112.56,0.78,Arjuno-Welirang,7.8,5.2
-7.66,112.58,0.78,Penanggungan,7.4,5.7
-7.66,112.6,0.78,Penanggungan,5.9,7.5
-7.66,112.62,0.78,Penanggungan,5.1,8.9
-7.64,112.58,0.78,Penanggungan,6.1,7.3
-7.62,112.56,0.78,Penanggungan,7.6,5.4
-7.62,112.58,0.78,Penanggungan,5.4,8.4
-7.62,112.68,0.78,Penanggungan,5.6,8.0
-7.62,112.7,0.78,Penanggungan,7.8,5.2
-7.6,112.56,0.78,Penanggungan,7.8,5.2
-7.6,112.58,0.78,Penanggungan,5.7,8.0
-7.6,112.68,0.78,Penanggungan,5.9,7.7
-7.6,112.7,0.78,Penanggungan,8.0,5.0
-8.0,112.38,0.779,Kelud,11.1,2.7
-7.92,112.88,0.778,Bromo,8.1,4.9
-7.64,112.56,0.778,Penanggungan,8.1,4.9
-7.68,112.52,0.777,Arjuno-Welirang,8.1,4.8
-7.82,112.58,0.775,Arjuno-Welirang,10.1,3.3
-7.78,112.64,0.775,Arjuno-Welirang,9.1,4.0
-8.02,112.36,0.774,Kelud,11.5,2.5
-7.96,112.22,0.774,Kelud,10.2,3.2
-7.9,112.22,0.774,Kelud,10.2,3.2
-7.82,112.56,0.774,Arjuno-Welirang,10.3,3.2
-8.0,112.28,0.773,Kelud,8.4,4.6
-7.88,112.24,0.772,Kelud,9.3,3.8
-7.8,112.62,0.772,Arjuno-Welirang,9.3,3.8
-7.86,112.26,0.77,Kelud,9.4,3.8
-7.86,112.34,0.77,Kelud,8.5,4.5
-7.74,112.66,0.77,Arjuno-Welirang,9.4,3.7
-7.72,112.66,0.77,Arjuno-Welirang,9.4,3.8
-7.66,112.54,0.769,Arjuno-Welirang,8.6,4.4
-7.82,112.54,0.767,Arjuno-Welirang,10.8,2.8
-8.0,112.3,0.765,Kelud,7.8,5.2
-8.0,112.32,0.765,Kelud,7.9,5.1
-7.98,112.88,0.765,Bromo,8.8,4.3
-7.88,112.9,0.765,Bromo,8.8,4.2
-7.58,112.52,0.765,Penanggungan,12.6,2.0
-8.04,112.34,0.764,Kelud,12.7,1.9
-8.02,112.38,0.764,Kelud,12.8,1.9
-7.7,112.5,0.764,Arjuno-Welirang,8.9,4.2
-7.98,112.22,0.763,Kelud,11.2,2.6
-7.8,112.52,0.763,Arjuno-Welirang,10.0,3.4
-7.9,112.88,0.762,Bromo,9.0,4.1
-7.78,112.5,0.762,Arjuno-Welirang,10.0,3.3
-7.76,112.66,0.762,Arjuno-Welirang,10.0,3.4
-7.86,112.94,0.759,Bromo,9.2,3.9
-7.86,112.96,0.759,Bromo,9.2,3.9
-8.04,112.36,0.758,Kelud,13.5,1.7
-7.56,112.52,0.758,Penanggungan,13.5,1.7
-7.82,112.52,0.757,Arjuno-Welirang,11.8,2.3
-7.82,112.6,0.756,Arjuno-Welirang,10.5,3.0
-8.0,112.26,0.755,Kelud,9.4,3.8
-8.0,112.34,0.755,Kelud,8.5,4.5
-7.68,112.7,0.754,Penanggungan,10.7,2.9
-8.06,112.3,0.752,Kelud,14.5,1.4
-8.06,112.32,0.752,Kelud,14.5,1.4
-8.04,112.38,0.752,Kelud,14.6,1.3
-7.96,112.2,0.752,Kelud,12.4,2.1
-7.9,112.2,0.752,Kelud,12.4,2.1
-7.86,112.24,0.752,Kelud,10.8,2.9
-7.84,112.58,0.752,Arjuno-Welirang,12.4,2.1
-7.54,112.52,0.752,Penanggungan,14.6,1.3
-7.86,112.92,0.751,Bromo,9.7,3.6
-7.86,112.98,0.751,Bromo,9.7,3.6
-7.58,112.5,0.751,Penanggungan,14.7,1.3
-8.06,112.34,0.75,Kelud,14.9,1.3
-7.78,112.66,0.75,Arjuno-Welirang,10.9,2.8
-7.7,112.68,0.75,Penanggungan,11.0,2.7
-7.66,112.52,0.75,Arjuno-Welirang,9.8,3.5
-7.58,112.58,0.75,Penanggungan,6.7,6.5
-7.58,112.6,0.75,Penanggungan,5.0,9.0
-7.58,112.66,0.75,Penanggungan,5.2,8.8
-7.58,112.68,0.75,Penanggungan,6.8,6.3
-7.56,112.6,0.75,Penanggungan,6.9,6.2
-7.56,112.62,0.75,Penanggungan,6.2,7.2
-7.56,112.64,0.75,Penanggungan,6.2,7.1
-7.56,112.66,0.75,Penanggungan,7.0,6.1
-7.62,112.54,0.749,Penanggungan,9.8,3.5
-7.94,112.86,0.748,Bromo,9.9,3.4
-7.88,112.22,0.748,Kelud,11.2,2.6
-7.68,112.5,0.748,Arjuno-Welirang,9.9,3.4
-7.6,112.54,0.748,Penanggungan,10.0,3.4
-7.82,112.62,0.747,Arjuno-Welirang,11.3,2.6
-7.56,112.58,0.747,Penanggungan,8.2,4.8
-7.98,112.2,0.746,Kelud,13.1,1.8
-7.96,112.86,0.746,Bromo,10.1,3.3
-7.84,112.32,0.746,Kelud,10.1,3.3
-7.62,112.72,0.746,Penanggungan,10.0,3.3
-7.8,112.5,0.745,Arjuno-Welirang,11.4,2.5
-7.6,112.72,0.745,Penanggungan,10.2,3.2
-7.92,112.86,0.744,Bromo,10.2,3.2
-7.88,112.4,0.744,Kelud,11.6,2.5
-7.72,112.68,0.744,Arjuno-Welirang,11.6,2.4
-7.64,112.54,0.744,Penanggungan,10.2,3.2
-7.56,112.68,0.744,Penanggungan,8.3,4.7
-7.88,112.88,0.743,Bromo,10.3,3.1
-7.74,112.68,0.743,Arjuno-Welirang,11.6,2.4
-7.84,112.52,0.742,Arjuno-Welirang,13.7,1.6
-7.54,112.62,0.742,Penanggungan,8.4,4.6
-7.54,112.64,0.742,Penanggungan,8.4,4.6
-8.0,112.9,0.741,Bromo,8.5,4.5
-7.78,112.48,0.741,Arjuno-Welirang,11.9,2.3
-7.74,112.7,0.741,Arjuno-Welirang,13.8,1.6
-7.72,112.48,0.74,Arjuno-Welirang,10.5,3.0
-7.58,112.56,0.74,Penanggungan,8.5,4.5
-7.92,112.18,0.739,Kelud,14.1,1.5
-7.86,112.9,0.739,Bromo,10.7,2.9
-7.84,112.34,0.739,Kelud,10.6,3.0
-7.76,112.68,0.739,Arjuno-Welirang,12.1,2.2
-7.76,112.7,0.739,Arjuno-Welirang,14.2,1.4
