lat,lon,composite_score,nearest_volcano,dist_volcano_km,estimated_burial_m
-8.06,112.92,0.675,Semeru,5.3,8.5
-8.06,112.94,0.675,Semeru,5.7,7.9
-8.06,112.96,0.675,Semeru,6.8,6.4
-8.04,112.9,0.675,Semeru,7.9,5.1
-8.04,112.92,0.675,Semeru,7.6,5.5
-8.04,112.94,0.675,Semeru,7.8,5.2
-8.04,113.32,0.675,Lamongan,7.4,5.6
-8.04,113.34,0.675,Lamongan,7.0,6.1
-8.04,113.36,0.675,Lamongan,7.3,5.8
-8.02,112.82,0.675,Semeru,14.9,1.3
-8.02,113.3,0.675,Lamongan,6.7,6.4
-8.02,113.32,0.675,Lamongan,5.4,8.4
-8.02,113.36,0.675,Lamongan,5.1,8.9
-8.02,113.38,0.675,Lamongan,6.3,7.0
-8.02,113.4,0.675,Lamongan,7.9,5.1
-8.0,112.92,0.675,Bromo,7.2,5.8
-8.0,112.94,0.675,Bromo,6.5,6.7
-8.0,112.96,0.675,Bromo,6.5,6.7
-8.0,112.98,0.675,Bromo,7.2,5.8
-8.0,113.28,0.675,Lamongan,7.4,5.6
-8.0,113.3,0.675,Lamongan,5.4,8.4
-8.0,113.4,0.675,Lamongan,6.8,6.4
-7.98,112.48,0.675,Kelud,19.7,0.5
-7.9,112.78,0.675,Bromo,19.3,0.5
-7.9,113.3,0.675,Lamongan,9.8,3.5
-7.82,112.82,0.675,Bromo,19.7,0.5
-7.78,112.4,0.675,Kelud,19.5,0.5
-7.76,112.26,0.675,Kelud,19.6,0.5
-7.66,112.8,0.675,Penanggungan,19.5,0.5
-7.58,112.76,0.675,Penanggungan,15.0,1.2
-7.5,112.56,0.675,Penanggungan,14.9,1.3
-7.5,112.7,0.675,Penanggungan,15.0,1.2
-7.88,112.78,0.674,Bromo,20.0,0.5
-7.84,112.8,0.674,Bromo,20.0,0.4
-7.8,112.84,0.674,Bromo,19.9,0.5
-7.68,112.4,0.674,Arjuno-Welirang,20.0,0.4
-7.68,112.8,0.674,Penanggungan,20.2,0.4
-8.04,113.38,0.673,Lamongan,8.1,4.9
-7.94,112.76,0.673,Bromo,20.9,0.4
-7.94,113.04,0.673,Bromo,9.9,3.4
-7.86,112.78,0.673,Bromo,20.8,0.4
-7.78,112.86,0.673,Bromo,20.6,0.4
-7.76,112.24,0.673,Kelud,20.3,0.4
-7.66,112.4,0.673,Arjuno-Welirang,20.8,0.4
-7.96,112.76,0.672,Bromo,21.0,0.4
-7.94,113.26,0.672,Lamongan,10.0,3.3
-7.92,112.76,0.672,Bromo,21.1,0.4
-7.9,112.76,0.672,Bromo,21.4,0.3
-7.88,112.12,0.672,Kelud,21.4,0.3
-7.82,112.8,0.672,Bromo,21.4,0.3
-7.8,112.82,0.672,Bromo,21.3,0.3
-7.74,112.28,0.672,Kelud,21.4,0.3
-7.7,112.8,0.672,Penanggungan,21.1,0.4
-7.98,112.5,0.671,Kelud,21.9,0.3
-7.96,113.04,0.671,Bromo,10.1,3.3
-7.88,112.76,0.671,Bromo,22.0,0.3
-7.84,112.78,0.671,Bromo,21.9,0.3
-7.78,112.84,0.671,Bromo,21.7,0.3
-7.74,112.24,0.671,Kelud,22.4,0.3
-7.74,112.26,0.671,Kelud,21.8,0.3
-7.68,112.38,0.671,Arjuno-Welirang,22.2,0.3
-7.68,112.82,0.671,Penanggungan,22.3,0.3
-8.18,112.94,0.67,Semeru,8.2,4.8
-7.96,112.74,0.67,Bromo,23.2,0.2
-7.94,112.74,0.67,Bromo,23.1,0.2
-7.9,112.1,0.67,Kelud,23.1,0.2
-7.86,112.76,0.67,Bromo,22.8,0.3
-7.78,112.82,0.67,Bromo,23.0,0.2
-7.76,112.86,0.67,Bromo,22.5,0.3
-7.7,112.82,0.67,Penanggungan,23.1,0.2
-7.66,112.38,0.67,Arjuno-Welirang,22.8,0.3
-8.06,112.98,0.669,Semeru,8.3,4.7
-7.98,112.74,0.669,Bromo,23.5,0.2
-7.92,113.04,0.669,Bromo,10.2,3.2
-7.88,112.1,0.669,Kelud,23.6,0.2
-7.76,112.84,0.669,Bromo,23.6,0.2
-7.74,112.86,0.669,Bromo,24.6,0.2
-7.72,112.24,0.669,Kelud,24.5,0.2
-7.72,112.26,0.669,Kelud,23.9,0.2
-7.72,112.82,0.669,Penanggungan,24.1,0.2
-7.68,112.36,0.669,Arjuno-Welirang,24.3,0.2
-8.18,112.9,0.668,Semeru,8.4,4.6
-7.88,113.02,0.668,Bromo,10.3,3.1
-7.76,112.82,0.668,Bromo,24.8,0.2
-7.66,112.36,0.668,Arjuno-Welirang,24.9,0.2
-8.02,113.28,0.667,Lamongan,8.4,4.6
-8.04,113.3,0.666,Lamongan,8.5,4.6
-8.0,113.0,0.666,Bromo,8.5,4.5
-7.92,113.42,0.665,Lamongan,10.6,3.0
-7.9,113.4,0.664,Lamongan,10.6,3.0
-7.86,113.0,0.664,Bromo,10.7,2.9
-8.16,112.98,0.663,Semeru,8.6,4.4
-8.1,113.0,0.663,Semeru,8.6,4.4
-8.04,112.96,0.663,Semeru,8.6,4.4
-7.98,113.44,0.663,Lamongan,10.7,2.9
-8.12,113.0,0.662,Semeru,8.7,4.4
-7.98,113.04,0.662,Bromo,10.8,2.9
-7.96,113.44,0.662,Lamongan,10.8,2.8
-7.88,113.34,0.662,Lamongan,10.8,2.9
-8.02,112.94,0.661,Bromo,8.7,4.3
-8.02,112.96,0.661,Bromo,8.7,4.3
-7.9,113.04,0.66,Bromo,11.0,2.8
-7.9,113.28,0.66,Lamongan,11.0,2.7
-7.88,113.36,0.66,Lamongan,10.9,2.8
-8.0,113.42,0.659,Lamongan,8.9,4.2
-7.92,113.26,0.659,Lamongan,11.1,2.7
-7.88,113.32,0.659,Lamongan,11.1,2.7
-8.16,112.86,0.658,Semeru,8.9,4.1
-8.06,112.36,0.657,Kelud,15.5,1.1
-7.56,112.5,0.657,Penanggungan,15.5,1.1
-8.18,112.96,0.656,Semeru,9.0,4.1
-7.98,113.24,0.656,Lamongan,11.3,2.6
-8.08,113.0,0.655,Semeru,9.1,4.0
-7.96,113.24,0.655,Lamongan,11.5,2.5
-7.94,113.44,0.655,Lamongan,11.4,2.5
-7.52,112.52,0.655,Penanggungan,16.0,1.0
-7.88,113.38,0.654,Lamongan,11.5,2.5
-8.18,112.88,0.653,Semeru,9.2,3.9
-8.08,112.3,0.653,Kelud,16.7,0.9
-8.06,113.34,0.653,Lamongan,9.2,3.9
-7.54,112.5,0.653,Penanggungan,16.5,0.9
-8.14,113.0,0.652,Semeru,9.3,3.9
-8.08,112.28,0.652,Kelud,17.0,0.8
-8.08,112.32,0.652,Kelud,16.7,0.9
-8.02,112.92,0.652,Bromo,9.3,3.9
-8.02,112.98,0.652,Bromo,9.3,3.9
-7.88,113.3,0.652,Lamongan,11.8,2.3
-8.08,112.34,0.651,Kelud,17.0,0.8
-8.08,112.26,0.65,Kelud,17.5,0.7
-8.06,112.22,0.65,Kelud,17.4,0.8
-8.06,113.36,0.65,Lamongan,9.4,3.8
-8.04,113.4,0.65,Lamongan,9.4,3.8
-7.86,113.02,0.65,Bromo,11.9,2.3
-7.5,112.52,0.65,Penanggungan,17.5,0.7
-8.0,113.26,0.649,Lamongan,9.5,3.7
-7.94,113.06,0.649,Bromo,12.1,2.2
-7.94,113.24,0.649,Lamongan,12.1,2.2
-7.9,113.42,0.649,Lamongan,12.1,2.2
-7.88,113.04,0.649,Bromo,12.1,2.2
-7.52,112.5,0.649,Penanggungan,17.7,0.7
-8.08,112.24,0.648,Kelud,18.3,0.6
-8.06,113.32,0.648,Lamongan,9.6,3.7
-8.06,112.2,0.647,Kelud,18.7,0.6
-8.04,112.18,0.647,Kelud,18.7,0.6
-8.0,112.46,0.647,Kelud,18.5,0.6
-7.96,113.06,0.647,Bromo,12.3,2.1
-7.92,113.06,0.647,Bromo,12.4,2.1
-8.14,112.84,0.646,Semeru,9.7,3.6
-8.1,112.28,0.646,Kelud,19.2,0.5
-8.1,112.3,0.646,Kelud,18.9,0.6
-8.02,113.42,0.646,Lamongan,9.7,3.5
-7.92,113.44,0.646,Lamongan,12.4,2.1
-7.88,113.4,0.646,Lamongan,12.5,2.0
-7.5,112.5,0.646,Penanggungan,19.1,0.5
-8.1,112.26,0.645,Kelud,19.6,0.5
-8.08,112.22,0.645,Kelud,19.3,0.5
-8.02,112.46,0.645,Kelud,19.5,0.5
-7.92,112.34,0.645,Kelud,3.7,11.8
-7.9,112.32,0.645,Kelud,3.6,12.1
-7.9,112.34,0.645,Kelud,4.9,9.4
-7.9,113.26,0.645,Lamongan,12.5,2.0
-7.84,113.0,0.645,Bromo,12.6,2.0
-7.76,112.6,0.645,Arjuno-Welirang,4.4,10.2
-7.74,112.54,0.645,Arjuno-Welirang,4.0,11.0
-7.74,112.56,0.645,Arjuno-Welirang,2.1,16.4
-7.74,112.58,0.645,Arjuno-Welirang,1.3,18.9
-7.74,112.6,0.645,Arjuno-Welirang,3.0,13.5
-7.72,112.54,0.645,Arjuno-Welirang,4.0,11.2
-7.72,112.56,0.645,Arjuno-Welirang,1.9,16.8
-7.72,112.58,0.645,Arjuno-Welirang,1.1,19.7
-7.72,112.6,0.645,Arjuno-Welirang,2.9,13.8
-8.06,112.18,0.644,Kelud,20.2,0.4
-8.04,113.28,0.644,Lamongan,9.9,3.4
-7.98,112.18,0.644,Kelud,15.2,1.2
-7.86,112.54,0.644,Arjuno-Welirang,15.1,1.2
-8.1,112.24,0.643,Kelud,20.3,0.4
-8.08,112.2,0.643,Kelud,20.5,0.4
-8.04,112.16,0.643,Kelud,20.4,0.4
-8.04,112.46,0.643,Kelud,20.7,0.4
-8.04,112.98,0.643,Semeru,9.9,3.4
-8.0,112.48,0.643,Kelud,20.5,0.4
-7.98,113.06,0.643,Bromo,12.8,1.9
-7.98,113.46,0.643,Lamongan,12.9,1.9
-7.88,113.28,0.643,Lamongan,12.8,1.9
-7.72,112.72,0.643,Penanggungan,15.4,1.1
-7.5,112.48,0.643,Penanggungan,20.8,0.4
-7.48,112.5,0.643,Penanggungan,20.7,0.4
-8.1,112.22,0.642,Kelud,21.2,0.4
-8.02,112.48,0.642,Kelud,21.4,0.3
-7.96,113.46,0.642,Lamongan,13.0,1.8
-7.92,113.24,0.642,Lamongan,13.0,1.8
-7.9,113.06,0.642,Bromo,13.0,1.8
-7.86,113.34,0.642,Lamongan,13.0,1.8
-8.08,112.18,0.641,Kelud,21.8,0.3
-8.06,112.16,0.641,Kelud,21.8,0.3
-8.06,113.0,0.641,Semeru,10.1,3.3
-8.06,113.38,0.641,Lamongan,10.1,3.3
-8.04,112.14,0.641,Kelud,22.2,0.3
-8.02,112.9,0.641,Semeru,10.1,3.3
-8.0,113.02,0.641,Bromo,10.1,3.3
-7.86,112.52,0.641,Arjuno-Welirang,15.8,1.1
-7.86,113.36,0.641,Lamongan,13.1,1.8
-7.48,112.48,0.641,Penanggungan,22.3,0.3
-8.08,112.16,0.64,Kelud,23.3,0.2
-8.06,112.14,0.64,Kelud,23.5,0.2
-8.06,112.72,0.64,Semeru,22.9,0.3
-8.04,112.48,0.64,Kelud,22.5,0.3
-8.04,112.72,0.64,Semeru,23.5,0.2
-8.02,112.12,0.64,Kelud,23.0,0.2
-8.02,112.5,0.64,Kelud,23.4,0.2
-8.0,112.5,0.64,Kelud,22.5,0.3
-7.86,113.32,0.64,Lamongan,13.3,1.7
-7.74,112.72,0.64,Arjuno-Welirang,16.0,1.0
-8.18,112.98,0.639,Semeru,10.2,3.2
-8.08,112.7,0.639,Semeru,24.6,0.2
-8.06,112.48,0.639,Kelud,23.8,0.2
-8.04,112.12,0.639,Kelud,24.0,0.2
-8.04,112.5,0.639,Kelud,24.4,0.2
-8.02,112.72,0.639,Semeru,24.3,0.2
-8.0,112.1,0.639,Kelud,24.2,0.2
-7.94,112.16,0.639,Kelud,16.3,0.9
-7.92,112.16,0.639,Kelud,16.3,0.9
-7.86,112.64,0.639,Arjuno-Welirang,16.2,1.0
-7.84,112.48,0.639,Arjuno-Welirang,16.2,1.0
-7.48,112.46,0.639,Penanggungan,23.9,0.2
-7.46,112.48,0.639,Penanggungan,23.8,0.2
-8.02,112.1,0.638,Kelud,25.0,0.2
-8.02,113.0,0.638,Bromo,10.3,3.2
-8.02,113.26,0.638,Lamongan,10.3,3.1
-7.98,113.22,0.638,Lamongan,13.5,1.6
-7.96,112.16,0.638,Kelud,16.6,0.9
-7.94,113.46,0.638,Lamongan,13.5,1.7
-7.86,113.04,0.638,Bromo,13.5,1.7
-8.16,113.0,0.637,Semeru,10.4,3.1
-8.06,113.3,0.637,Lamongan,10.4,3.1
-7.96,113.22,0.637,Lamongan,13.7,1.6
-7.9,113.44,0.637,Lamongan,13.7,1.6
-7.88,112.56,0.637,Arjuno-Welirang,16.9,0.8
-7.88,113.42,0.637,Lamongan,13.7,1.6
-7.86,113.38,0.637,Lamongan,13.6,1.6
-7.84,113.02,0.637,Bromo,13.7,1.6
-7.78,112.72,0.637,Arjuno-Welirang,17.0,0.8
-7.72,112.74,0.637,Penanggungan,16.9,0.8
-7.98,112.16,0.636,Kelud,17.2,0.8
-7.9,112.46,0.636,Kelud,17.1,0.8
-7.88,112.54,0.636,Arjuno-Welirang,17.2,0.8
-7.86,112.66,0.636,Arjuno-Welirang,17.3,0.8
-7.86,113.3,0.636,Lamongan,13.8,1.6
-8.18,112.86,0.635,Semeru,10.5,3.0
-7.98,112.26,0.635,Kelud,7.7,5.3
-7.96,112.26,0.635,Kelud,6.3,7.1
-7.88,112.46,0.635,Kelud,17.6,0.7
-7.88,112.62,0.635,Arjuno-Welirang,17.5,0.7
-7.88,113.06,0.635,Bromo,13.9,1.5
-7.94,113.22,0.634,Lamongan,14.2,1.5
-7.9,113.24,0.634,Lamongan,14.2,1.4
-7.88,112.52,0.634,Arjuno-Welirang,17.9,0.7
-7.88,113.26,0.634,Lamongan,14.1,1.5
-7.84,112.46,0.634,Arjuno-Welirang,17.7,0.7
-7.8,112.72,0.634,Arjuno-Welirang,17.8,0.7
-8.16,112.84,0.633,Semeru,10.7,2.9
-7.94,113.08,0.633,Bromo,14.3,1.4
-7.92,113.46,0.633,Lamongan,14.4,1.4
-7.88,112.64,0.633,Arjuno-Welirang,18.3,0.6
-7.86,113.4,0.633,Lamongan,14.4,1.4
-7.74,112.74,0.633,Arjuno-Welirang,18.2,0.6
-8.1,113.02,0.632,Semeru,10.8,2.8
-7.96,112.14,0.632,Kelud,18.8,0.6
-7.96,113.08,0.632,Bromo,14.5,1.4
-7.94,112.14,0.632,Kelud,18.5,0.6
-7.92,113.08,0.632,Bromo,14.5,1.4
-7.86,112.46,0.632,Kelud,18.5,0.6
-7.86,112.68,0.632,Arjuno-Welirang,18.6,0.6
-8.12,113.02,0.631,Semeru,10.9,2.8
-7.9,112.48,0.631,Kelud,19.2,0.5
-7.86,113.28,0.631,Lamongan,14.7,1.3
-7.82,113.0,0.631,Bromo,14.6,1.3
-7.78,112.74,0.631,Arjuno-Welirang,19.0,0.5
-8.04,113.42,0.63,Lamongan,11.0,2.7
-8.0,113.44,0.63,Lamongan,11.0,2.8
-7.98,113.08,0.63,Bromo,14.9,1.3
-7.92,113.22,0.63,Lamongan,15.0,1.2
-7.9,112.62,0.63,Arjuno-Welirang,19.6,0.5
-7.9,112.52,0.629,Arjuno-Welirang,20.0,0.5
-7.9,112.64,0.629,Arjuno-Welirang,20.3,0.4
-7.88,112.18,0.629,Kelud,15.2,1.2
-7.8,112.18,0.629,Kelud,20.2,0.4
-7.8,112.74,0.629,Arjuno-Welirang,19.8,0.5
-7.74,112.76,0.629,Penanggungan,20.0,0.4
-8.06,113.4,0.628,Lamongan,11.2,2.7
-7.9,112.5,0.628,Arjuno-Welirang,20.7,0.4
-7.88,112.68,0.628,Arjuno-Welirang,20.4,0.4
-7.86,112.62,0.628,Arjuno-Welirang,15.4,1.1
-7.82,112.68,0.628,Arjuno-Welirang,15.4,1.1
-7.76,112.76,0.628,Arjuno-Welirang,20.7,0.4
-8.08,113.02,0.627,Semeru,11.2,2.6
-7.92,112.56,0.627,Arjuno-Welirang,21.3,0.3
-7.92,112.58,0.627,Arjuno-Welirang,21.2,0.4
-7.92,112.6,0.627,Arjuno-Welirang,21.4,0.3
-7.88,112.44,0.627,Kelud,15.6,1.1
-7.84,112.2,0.627,Kelud,15.5,1.1
-7.84,112.66,0.627,Arjuno-Welirang,15.5,1.1
-7.82,112.22,0.627,Kelud,15.6,1.1
-7.78,112.76,0.627,Arjuno-Welirang,21.2,0.4
-7.7,112.74,0.627,Penanggungan,15.5,1.1
-8.14,113.02,0.626,Semeru,11.4,2.6
-7.92,112.62,0.626,Arjuno-Welirang,21.8,0.3
-7.92,112.64,0.626,Arjuno-Welirang,22.4,0.3
-7.9,112.68,0.626,Arjuno-Welirang,22.3,0.3
-7.88,112.7,0.626,Arjuno-Welirang,21.7,0.3
-7.84,112.42,0.626,Kelud,15.9,1.0
-7.82,112.14,0.626,Kelud,22.2,0.3
-7.8,112.16,0.626,Kelud,21.8,0.3
-7.8,112.7,0.626,Arjuno-Welirang,15.9,1.0
-7.78,112.18,0.626,Kelud,21.8,0.3
-8.08,113.34,0.625,Lamongan,11.5,2.5
-8.04,113.0,0.625,Semeru,11.4,2.5
-7.92,112.66,0.625,Arjuno-Welirang,23.2,0.2
-7.9,112.7,0.625,Arjuno-Welirang,23.5,0.2
-7.86,112.18,0.625,Kelud,16.1,1.0
-7.8,112.14,0.625,Kelud,23.5,0.2
-7.68,112.76,0.625,Penanggungan,16.1,1.0
-8.08,113.36,0.624,Lamongan,11.6,2.4
-8.06,113.28,0.624,Lamongan,11.5,2.5
-8.04,113.26,0.624,Lamongan,11.5,2.5
-8.02,113.02,0.624,Bromo,11.6,2.4
-7.94,112.56,0.624,Arjuno-Welirang,23.5,0.2
-7.94,112.62,0.624,Arjuno-Welirang,24.0,0.2
-7.92,112.68,0.624,Arjuno-Welirang,24.2,0.2
-7.82,112.46,0.624,Arjuno-Welirang,16.2,1.0
-7.76,112.18,0.624,Kelud,23.6,0.2
-7.6,112.4,0.624,Arjuno-Welirang,24.0,0.2
-8.02,113.44,0.623,Lamongan,11.7,2.4
-8.0,113.24,0.623,Lamongan,11.6,2.4
-7.9,112.16,0.623,Kelud,16.6,0.9
-7.86,112.44,0.623,Kelud,16.5,0.9
-7.76,112.16,0.623,Kelud,25.0,0.2
-8.18,113.0,0.622,Semeru,11.7,2.4
-8.08,113.32,0.622,Lamongan,11.7,2.4
-8.0,113.04,0.622,Bromo,11.8,2.3
-7.94,112.46,0.622,Kelud,16.8,0.9
-7.92,112.46,0.622,Kelud,16.8,0.9
-7.88,112.58,0.622,Arjuno-Welirang,16.8,0.9
-7.84,112.68,0.622,Arjuno-Welirang,16.9,0.8
-7.8,112.44,0.622,Arjuno-Welirang,16.8,0.9
-7.88,112.16,0.621,Kelud,17.2,0.8
-7.88,112.6,0.621,Arjuno-Welirang,17.0,0.8
-7.84,112.18,0.621,Kelud,17.3,0.8
-7.82,112.2,0.621,Kelud,17.1,0.8
-7.82,112.7,0.621,Arjuno-Welirang,17.1,0.8
-7.7,112.76,0.621,Penanggungan,17.3,0.8
-8.06,113.02,0.62,Semeru,12.0,2.2
-7.84,112.44,0.62,Kelud,17.7,0.7
-7.82,112.42,0.62,Kelud,17.4,0.8
-7.8,112.22,0.62,Kelud,17.4,0.8
-7.62,112.46,0.62,Arjuno-Welirang,17.5,0.7
-8.18,112.84,0.619,Semeru,12.1,2.2
-8.08,113.38,0.619,Lamongan,12.2,2.2
-7.82,112.44,0.619,Arjuno-Welirang,18.0,0.7
-8.16,113.02,0.618,Semeru,12.2,2.1
-7.86,112.16,0.618,Kelud,18.1,0.7
-8.08,113.3,0.617,Lamongan,12.4,2.1
-8.02,113.24,0.617,Lamongan,12.3,2.1
-7.92,112.14,0.617,Kelud,18.5,0.6
-7.9,112.14,0.617,Kelud,18.8,0.6
-7.84,112.7,0.617,Arjuno-Welirang,18.5,0.6
-7.82,112.18,0.617,Kelud,18.7,0.6
-7.8,112.2,0.617,Kelud,18.7,0.6
-7.72,112.76,0.617,Penanggungan,18.6,0.6
-7.6,112.46,0.617,Penanggungan,18.7,0.6
-7.96,112.48,0.616,Kelud,19.2,0.5
-7.94,112.48,0.616,Kelud,19.0,0.6
-7.92,112.48,0.616,Kelud,19.0,0.6
-7.9,112.56,0.616,Arjuno-Welirang,19.1,0.5
-7.9,112.58,0.616,Arjuno-Welirang,19.0,0.6
-7.9,112.6,0.616,Arjuno-Welirang,19.2,0.5
-7.84,112.16,0.616,Kelud,19.1,0.5
-7.82,112.72,0.616,Arjuno-Welirang,18.9,0.6
-7.7,112.78,0.616,Penanggungan,19.1,0.5
-7.62,112.44,0.616,Arjuno-Welirang,19.2,0.5
-8.06,113.42,0.615,Lamongan,12.5,2.0
-7.98,112.14,0.615,Kelud,19.3,0.5
-7.9,112.54,0.615,Arjuno-Welirang,19.4,0.5
-7.88,112.14,0.615,Kelud,19.3,0.5
-7.78,112.22,0.615,Kelud,19.3,0.5
-7.64,112.42,0.615,Arjuno-Welirang,19.7,0.5
-7.9,112.82,0.614,Bromo,15.1,1.2
-7.86,112.14,0.614,Kelud,20.1,0.4
-7.86,112.7,0.614,Arjuno-Welirang,20.0,0.4
-7.86,112.84,0.614,Bromo,15.2,1.2
-7.84,112.72,0.614,Arjuno-Welirang,20.2,0.4
-7.84,112.86,0.614,Bromo,15.1,1.2
-7.7,112.44,0.614,Arjuno-Welirang,15.2,1.2
-8.04,113.44,0.613,Lamongan,12.8,1.9
-7.94,112.12,0.613,Kelud,20.7,0.4
-7.92,112.12,0.613,Kelud,20.7,0.4
-7.82,112.16,0.613,Kelud,20.4,0.4
-7.82,112.74,0.613,Arjuno-Welirang,20.8,0.4
-7.78,112.2,0.613,Kelud,20.5,0.4
-7.72,112.78,0.613,Penanggungan,20.3,0.4
-7.62,112.42,0.613,Arjuno-Welirang,20.9,0.4
-7.6,112.44,0.613,Arjuno-Welirang,20.7,0.4
-8.1,113.04,0.612,Semeru,13.0,1.8
-8.06,113.26,0.612,Lamongan,13.0,1.8
-7.98,112.12,0.612,Kelud,21.4,0.3
-7.96,112.12,0.612,Kelud,21.0,0.4
-7.96,112.5,0.612,Kelud,21.4,0.3
-7.94,112.5,0.612,Kelud,21.2,0.4
-7.92,112.5,0.612,Kelud,21.2,0.4
-7.92,112.54,0.612,Arjuno-Welirang,21.6,0.3
-7.9,112.12,0.612,Kelud,21.0,0.4
-7.86,112.72,0.612,Arjuno-Welirang,21.6,0.3
-7.84,112.14,0.612,Kelud,21.0,0.4
-7.82,112.88,0.612,Bromo,15.6,1.1
-7.8,112.36,0.612,Kelud,15.5,1.1
-7.76,112.22,0.612,Kelud,21.2,0.4
-8.12,113.04,0.611,Semeru,13.1,1.8
-8.08,113.4,0.611,Lamongan,13.1,1.8
-8.04,113.02,0.611,Semeru,13.2,1.8
-8.02,113.04,0.611,Bromo,13.2,1.8
-8.0,113.46,0.611,Lamongan,13.1,1.8
-7.92,112.52,0.611,Arjuno-Welirang,22.1,0.3
-7.88,112.82,0.611,Bromo,15.9,1.0
-7.86,112.12,0.611,Kelud,22.1,0.3
-7.84,112.74,0.611,Arjuno-Welirang,22.0,0.3
-7.8,112.76,0.611,Arjuno-Welirang,21.9,0.3
-7.8,112.94,0.611,Bromo,15.8,1.0
-7.8,112.96,0.611,Bromo,15.8,1.0
-7.76,112.2,0.611,Kelud,22.3,0.3
-7.74,112.78,0.611,Penanggungan,21.7,0.3
-7.72,112.8,0.611,Penanggungan,22.2,0.3
-7.64,112.4,0.611,Arjuno-Welirang,21.7,0.3
-7.6,112.42,0.611,Arjuno-Welirang,22.3,0.3
-7.96,112.1,0.61,Kelud,23.1,0.2
-7.94,112.1,0.61,Kelud,22.9,0.3
-7.94,112.52,0.61,Kelud,23.4,0.2
-7.92,112.1,0.61,Kelud,22.9,0.3
-7.92,112.74,0.61,Bromo,23.3,0.2
-7.88,112.72,0.61,Arjuno-Welirang,23.2,0.2
-7.86,112.74,0.61,Arjuno-Welirang,23.3,0.2
-7.84,112.12,0.61,Kelud,23.0,0.2
-7.82,112.76,0.61,Arjuno-Welirang,22.8,0.3
-7.82,112.78,0.61,Bromo,23.1,0.2
-7.8,112.8,0.61,Bromo,22.9,0.3
-7.8,112.92,0.61,Bromo,16.1,1.0
-7.8,112.98,0.61,Bromo,16.1,1.0
-7.78,112.78,0.61,Arjuno-Welirang,23.3,0.2
-7.76,112.78,0.61,Arjuno-Welirang,22.8,0.3
-7.74,112.22,0.61,Kelud,23.2,0.2
-7.74,112.8,0.61,Penanggungan,23.4,0.2
-7.62,112.4,0.61,Arjuno-Welirang,22.8,0.3
-8.18,113.02,0.609,Semeru,13.4,1.7
-8.08,113.04,0.609,Semeru,13.4,1.7
-8.08,113.28,0.609,Lamongan,13.4,1.7
-8.04,113.24,0.609,Lamongan,13.3,1.7
-7.98,112.1,0.609,Kelud,23.6,0.2
-7.98,112.52,0.609,Kelud,24.0,0.2
-7.96,112.52,0.609,Kelud,23.6,0.2
-7.94,112.54,0.609,Arjuno-Welirang,23.8,0.2
-7.94,112.64,0.609,Arjuno-Welirang,24.5,0.2
-7.9,112.74,0.609,Bromo,23.6,0.2
-7.88,112.74,0.609,Bromo,24.1,0.2
-7.86,112.1,0.609,Kelud,24.2,0.2
-7.84,112.76,0.609,Bromo,23.8,0.2
-7.82,112.12,0.609,Kelud,24.1,0.2
-7.8,112.78,0.609,Arjuno-Welirang,23.9,0.2
-7.78,112.8,0.609,Bromo,24.4,0.2
-7.74,112.2,0.609,Kelud,24.2,0.2
-7.64,112.38,0.609,Arjuno-Welirang,23.7,0.2
-7.62,112.38,0.609,Arjuno-Welirang,24.7,0.2
-8.14,113.04,0.608,Semeru,13.5,1.7
-7.96,112.8,0.608,Bromo,16.6,0.9
-7.94,112.8,0.608,Bromo,16.5,0.9
-7.92,112.8,0.608,Bromo,16.7,0.9
-7.9,112.72,0.608,Arjuno-Welirang,24.8,0.2
-7.84,112.84,0.608,Bromo,16.6,0.9
-7.78,112.3,0.608,Kelud,16.7,0.9
-7.76,112.8,0.608,Penanggungan,24.8,0.2
-7.62,112.78,0.608,Penanggungan,16.7,0.9
-8.1,113.34,0.607,Lamongan,13.7,1.6
-8.02,113.46,0.607,Lamongan,13.7,1.6
-8.0,113.06,0.607,Bromo,13.7,1.6
-7.82,112.86,0.607,Bromo,16.8,0.9
-7.8,112.9,0.607,Bromo,16.7,0.9
-7.78,112.32,0.607,Kelud,16.7,0.9
-7.6,112.78,0.607,Penanggungan,16.7,0.9
-8.18,112.82,0.606,Semeru,13.8,1.6
-8.1,113.32,0.606,Lamongan,13.9,1.5
-8.1,113.36,0.606,Lamongan,13.8,1.6
-8.0,113.22,0.606,Lamongan,13.8,1.6
-7.98,112.8,0.606,Bromo,17.1,0.8
-7.9,112.8,0.606,Bromo,17.2,0.8
-7.78,112.34,0.606,Kelud,17.0,0.8
-7.74,112.42,0.606,Arjuno-Welirang,17.1,0.8
-7.72,112.42,0.606,Arjuno-Welirang,17.1,0.8
-8.06,113.04,0.605,Semeru,14.0,1.5
-7.92,112.22,0.605,Kelud,9.8,3.5
-7.8,112.88,0.605,Bromo,17.6,0.7
-7.78,112.36,0.605,Kelud,17.6,0.7
-7.7,112.42,0.605,Arjuno-Welirang,17.4,0.8
-8.16,113.04,0.604,Semeru,14.2,1.4
-8.1,113.38,0.604,Lamongan,14.3,1.4
-8.08,113.42,0.604,Lamongan,14.2,1.4
-8.06,113.44,0.604,Lamongan,14.1,1.5
-7.88,112.8,0.604,Bromo,17.9,0.7
-8.02,113.22,0.603,Lamongan,14.4,1.4
-7.78,112.92,0.603,Bromo,18.3,0.6
