stratum,n_cells_volcanic,n_cells_nonvolcanic,match_weight,suit_volcanic,suit_nonvolcanic,sites_volcanic,sites_nonvolcanic,area_km2_volcanic,area_km2_nonvolcanic
4,4302,1726,1726,0.3369888663291931,0.2086249142885208,1,0,404.5033998944897,162.29029944627828
9,314,451,314,0.31038281321525574,0.24978214502334595,0,0,29.52442295836117,42.406097943378626
14,30,72,30,0.4193211495876312,0.29809555411338806,0,0,2.820804741244698,6.769931378987275
19,4,16,4,0.5280381441116333,0.4814458191394806,0,0,0.3761072988326264,1.5044291953305056
28,424,443,424,0.31220632791519165,0.19880321621894836,2,0,39.867373676258396,41.653883345713375
33,1833,3377,1833,0.24690662324428558,0.17515264451503754,2,0,172.35116969005105,317.52858703944486
38,119,427,119,0.28242167830467224,0.21050657331943512,1,0,11.189192140270634,40.149454150382866
43,17,36,17,0.35374853014945984,0.40195000171661377,0,0,1.5984560200386622,3.3849656894936375
48,2,1,1,0.4296632409095764,0.7461646199226379,0,0,0.1880536494163132,0.0940268247081566
57,222,679,222,0.1098424568772316,0.08643020689487457,0,0,20.873955085210763,63.84421397683833
62,869,3786,869,0.11794420331716537,0.10445807129144669,0,0,81.70931067138808,355.9855583450809
67,45,221,45,0.2038506120443344,0.15233255922794342,0,0,4.231207111867047,20.779928260502608
72,1,6,1,0.15893040597438812,0.21623282134532928,0,0,0.0940268247081566,0.5641609482489396
86,119,505,119,0.051013000309467316,0.046507805585861206,0,0,11.189192140270634,47.48354647761908
91,544,3043,544,0.05096355080604553,0.0427323617041111,0,0,51.15059264123719,286.1236275869205
96,7,84,7,0.06407283246517181,0.035890962928533554,0,0,0.6581877729570962,7.898253275485154
115,32,182,32,0.0250043086707592,0.023098064586520195,0,0,3.008858390661011,17.1128820968845
120,267,1828,267,0.040473856031894684,0.02897503413259983,0,0,25.10516219707781,171.88103556651026
129,4438,1150,1150,0.37584179639816284,0.30107390880584717,8,0,417.291048054799,108.13084841438008
134,403,227,227,0.3439115881919861,0.3049907684326172,1,0,37.892810357387106,21.344089208751548
139,50,53,50,0.4273749887943268,0.36018696427345276,0,0,4.7013412354078294,4.9834217095322995
144,10,4,4,0.4708316922187805,0.4223439693450928,0,0,0.940268247081566,0.3761072988326264
153,613,254,254,0.3425842225551605,0.2512228488922119,0,0,57.63844354609999,23.882813475871775
158,2731,2012,2012,0.2540440559387207,0.2098740190267563,4,0,256.7872582779757,189.18197131281107
163,257,272,257,0.28979232907295227,0.24125225841999054,1,0,24.164893949996245,25.575296320618595
168,29,20,20,0.43442708253860474,0.35387352108955383,0,0,2.726777916536541,1.880536494163132
173,2,1,1,0.5067528486251831,0.3455880582332611,0,0,0.1880536494163132,0.0940268247081566
182,369,403,369,0.11566348373889923,0.10649455338716507,0,0,34.69589831730978,37.892810357387106
187,1726,2332,1726,0.1456892192363739,0.12972891330718994,1,0,162.29029944627828,219.2705552194212
192,104,205,104,0.23905619978904724,0.2004997879266739,0,0,9.778789769648286,19.275499065172102
197,5,9,5,0.10369126498699188,0.27687013149261475,0,0,0.470134123540783,0.8462414223734094
211,208,336,208,0.06551038473844528,0.056467000395059586,0,0,19.557579539296572,31.593013101940617
216,1233,2489,1233,0.06493431329727173,0.05270691215991974,0,0,115.93507486515709,234.03276669860176
221,31,131,31,0.04861533269286156,0.0366530567407608,0,2,2.9148315659528548,12.317514036768515
240,87,159,87,0.03485424071550369,0.029052434489130974,0,0,8.180333749609623,14.950265128596898
245,706,2092,706,0.04949178546667099,0.03606956824660301,0,0,66.38293824395856,196.7041172894636
254,4117,233,233,0.6481389999389648,0.477220356464386,16,0,387.1084373234807,21.908250157000488
259,491,117,117,0.5920658111572266,0.5340898036956787,2,0,46.16717093170489,11.001138490854322
264,90,29,29,0.6535603404045105,0.6898491978645325,0,0,8.462414223734093,2.726777916536541
269,12,7,7,0.6137073040008545,0.6514988541603088,0,0,1.1283218964978792,0.6581877729570962
278,767,47,47,0.5553299784660339,0.4441506862640381,3,0,72.11857455115612,4.41926076128336
283,4071,734,734,0.3890427350997925,0.3449842631816864,5,0,382.7832033869055,69.01568933578694
288,442,141,141,0.42250046133995056,0.35821178555488586,0,0,41.559856521005216,13.25778228385008
293,53,32,32,0.5221065878868103,0.4983140826225281,0,0,4.9834217095322995,3.008858390661011
298,4,1,1,0.4989018440246582,0.27259284257888794,0,0,0.3761072988326264,0.0940268247081566
307,672,196,196,0.19813868403434753,0.1738019734621048,0,0,63.186026203881234,18.429257642798692
312,3268,1417,1417,0.26037198305130005,0.2274906486272812,1,0,307.27966314625576,133.23601061145789
317,233,153,153,0.33939987421035767,0.3302030861377716,1,0,21.908250157000488,14.38610418034796
322,4,8,4,0.3056607246398926,0.42678534984588623,0,0,0.3761072988326264,0.7522145976652528
336,437,208,208,0.1509588360786438,0.11209915578365326,0,0,41.089722397464435,19.557579539296572
341,2683,1936,1936,0.15643703937530518,0.09816841036081314,4,0,252.27397069198415,182.03593263499118
346,70,93,70,0.12947259843349457,0.08876492828130722,0,0,6.581877729570962,8.744494697858563
365,165,120,120,0.09084006398916245,0.0468294695019722,0,0,15.514426076845838,11.283218964978792
370,1501,2121,1501,0.11630947142839432,0.07411476224660873,0,0,141.13426388694305,199.43089520600014
379,2916,57,57,0.6311928629875183,0.6316574215888977,3,0,274.1822208489846,5.359529008364926
384,504,47,47,0.522448718547821,0.5780359506607056,0,0,47.38951965291093,4.41926076128336
389,134,25,25,0.5760730504989624,0.5620860457420349,0,0,12.599594510892985,2.3506706177039147
394,33,6,6,0.5975998640060425,0.6540151238441467,0,0,3.1028852153691675,0.5641609482489396
399,7,1,1,0.6326408982276917,0.7005773782730103,0,0,0.6581877729570962,0.0940268247081566
403,769,7,7,0.5054309964179993,0.5451065301895142,0,0,72.30662820057242,0.6581877729570962
408,4955,331,331,0.3171689510345459,0.3537275791168213,4,0,465.90291642891594,31.122878978399832
413,718,150,150,0.3584505617618561,0.3747596740722656,0,0,67.51126014045644,14.10402370622349
418,145,34,34,0.41741180419921875,0.4906810224056244,2,0,13.633889582682707,3.1969120400773243
423,11,4,4,0.5902116298675537,0.35833030939102173,0,0,1.0342950717897226,0.3761072988326264
432,941,120,120,0.16455741226673126,0.1781824678182602,0,0,88.47924205037536,11.283218964978792
437,5144,1127,1127,0.22106508910655975,0.21160221099853516,4,0,483.67398629875754,105.96823144609249
442,583,229,229,0.28455108404159546,0.26991355419158936,2,0,54.8176388048553,21.532142858167862
447,29,11,11,0.3032095432281494,0.2682877779006958,0,0,2.726777916536541,1.0342950717897226
461,780,215,215,0.15723513066768646,0.10844197869300842,0,0,73.34092327236215,20.215767312253668
466,5434,2200,2200,0.18159475922584534,0.1012384369969368,1,0,510.94176546412297,206.85901435794452
471,246,128,128,0.17496515810489655,0.08815228939056396,0,0,23.130598878206523,12.035433562644045
490,339,118,118,0.14852787554264069,0.06876777857542038,0,0,31.875093576065087,11.095165315562479
495,5174,2182,2182,0.1807137429714203,0.09407786279916763,1,0,486.4947910400022,205.1665315131977
504,1004,8,8,0.6053192019462585,0.69704270362854,3,0,94.40293200698922,0.7522145976652528
509,252,13,13,0.5203185677528381,0.6294060349464417,0,0,23.694759826455464,1.2223487212060358
514,125,6,6,0.5917050838470459,0.660018265247345,0,0,11.753353088519574,0.5641609482489396
519,44,1,1,0.6106424331665039,0.8375188708305359,0,0,4.13718028715889,0.0940268247081566
528,255,1,1,0.5788053274154663,0.30352428555488586,1,0,23.976840300579934,0.0940268247081566
533,2696,53,53,0.48608291149139404,0.5222554206848145,5,0,253.49631941319018,4.9834217095322995
538,697,28,28,0.5382843613624573,0.5421048998832703,3,0,65.53669682158515,2.6327510918283847
543,217,12,12,0.6252821683883667,0.5425055027008057,0,0,20.403820961669982,1.1283218964978792
548,24,1,1,0.5939814448356628,0.7578616142272949,0,0,2.2566437929957583,0.0940268247081566
557,676,8,8,0.43919968605041504,0.4528096318244934,0,0,63.56213350271386,0.7522145976652528
562,5217,165,165,0.4632427394390106,0.36200612783432007,9,0,490.53794450245294,15.514426076845838
567,1171,38,38,0.5457749962806702,0.4245278835296631,1,0,110.10541173325137,3.5730193389099507
586,789,32,32,0.48299846053123474,0.32993972301483154,5,0,74.18716469473556,3.008858390661011
591,8708,279,279,0.5103700160980225,0.27143773436546326,23,0,818.7855895586276,26.23348409357569
596,931,7,7,0.5164421796798706,0.10901451110839844,1,0,87.53897380329379,0.6581877729570962
615,616,19,19,0.4605599045753479,0.24137082695960999,0,0,57.92052402022446,1.7865096694549754
620,18456,197,197,0.5967826843261719,0.2872891426086426,24,0,1735.359076813738,18.52328446750685
