filename,title,lang,year_ce,century,word_count,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,has_hyang,has_manhuri,has_wuku
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB131A.xml,"Relief label from Borobudur's hidden base, no. 131A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB132.xml,"Relief label from Borobudur's hidden base, no. 132 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB133.xml,"Relief label from Borobudur's hidden base, no. 133 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB134A.xml,"Relief label from Borobudur's hidden base, no. 134A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB134B.xml,"Relief label from Borobudur's hidden base, no. 134B (8th c. CE)",san-Latn,750.0,8,2,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB135A.xml,"Relief label from Borobudur's hidden base, no. 135A (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB135B.xml,"Relief label from Borobudur's hidden base, no. 135B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB137.xml,"Relief label from Borobudur's hidden base, no. 137 (8th c. CE)",san-Latn,750.0,8,1,1,1,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB138A.xml,"Relief label from Borobudur's hidden base, no. 138A (8th c. CE)",san-Latn,750.0,8,2,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB138B.xml,"Relief label from Borobudur's hidden base, no. 138B (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB139.xml,"Relief label from Borobudur's hidden base, no. 139 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB140.xml,"Relief label from Borobudur's hidden base, no. 140 (8th c. CE)",san-Latn,750.0,8,2,0,0,0,0,0.0,False,False,False
DHARMA_INSIDENKBorobudurHB141.xml,"Relief label from Borobudur's hidden base, no. 141 (8th c. CE)",san-Latn,750.0,8,1,0,0,0,0,0.0,False,False,False
