domain,e150_native_share,e150_native_count,e130_substrate_rate
ACTION,0.10652591170825336,1221,0.45153061224489793
QUALITY,0.052259640551387196,599,0.3785310734463277
GRAMMAR,0.5567963706159483,6382,0.37579617834394907
NUMBER,0.03507241319141511,402,0.32142857142857145
NATURE,0.045367300645611584,520,0.23595505617977527
BODY,0.006368871052172396,73,0.18404907975460122
OTHER,0.19760949223521201,2265,0.17475728155339806
