rank,language,concept,form,p_substrate,semantic_domain,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_reduplication,n_consonant_clusters,has_prefix_like
66,Makassar,"to tie up, fasten",aññikkoʔ,0.9221034,ACTION,8,0.375,0,1,0,0,2,0
67,Tolaki,to laugh,mototao,0.9180647,ACTION,7,0.5714,1,0,0,1,0,1
68,Toraja-Sadan,One Thousand,saŋsaʔbu,0.9154554,NUMBER,8,0.375,1,1,1,0,2,0
69,Tolaki,they,mehiro,0.9150661,GRAMMAR,6,0.5,1,0,0,0,0,1
70,Tolaki,they,mehira,0.9150661,GRAMMAR,6,0.5,1,0,0,0,0,1
71,Tolaki,tail,ekoro,0.911906,BODY,5,0.6,1,0,0,0,0,0
72,Tolaki,wet,meiwoi,0.9104801,QUALITY,6,0.6667,1,0,0,0,0,1
73,Makassar,"dull, blunt",pokkoloʔ,0.9074208,QUALITY,8,0.375,0,1,0,0,1,1
74,Tolaki,where?,humbee,0.9066197,GRAMMAR,6,0.5,1,0,1,0,1,0
75,Tolaki,Twenty,ruambulo,0.904353,NUMBER,8,0.5,1,0,1,0,1,0
76,Tolaki,star,wotiti,0.8995355,NATURE,6,0.5,1,0,0,1,0,0
77,Tolaki,flower,wulele,0.8995355,NATURE,6,0.5,1,0,0,1,0,0
78,Tolaki,back,bunggu,0.89928555,BODY,6,0.3333,1,0,1,0,1,0
79,Tolaki,worm (earthworm),uleule,0.8974142,OTHER,6,0.6667,1,0,0,1,0,0
80,Tolaki,you,inggomiu,0.8963093,GRAMMAR,8,0.5,1,0,1,0,1,0
81,Tolaki,"to open, uncover",hungga,0.8942047,ACTION,6,0.3333,1,0,1,0,1,0
82,Tolaki,sky,lahuene,0.8926983,NATURE,7,0.5714,1,0,0,0,0,0
83,Makassar,green,moncoŋ bulo,0.8920032,QUALITY,11,0.3636,1,0,1,0,1,1
84,Tolaki,all,luwuako,0.89180154,GRAMMAR,7,0.5714,1,0,0,0,0,0
85,Tolaki,to sit,mererehu,0.8881446,ACTION,8,0.5,1,0,0,1,0,1
86,Makassar,to spit,appiʔru,0.88811225,ACTION,7,0.4286,1,1,0,0,2,0
87,Makassar,to chew,añcaʔma,0.88811225,ACTION,7,0.4286,1,1,0,0,2,0
88,Makassar,to dream,assoʔna,0.88811225,ACTION,7,0.4286,1,1,0,0,2,0
89,Makassar,to yawn,aʔlaulau,0.88493586,ACTION,8,0.625,1,1,0,1,1,0
90,Makassar,dirty,raʔmasaʔ,0.8832148,NATURE,8,0.375,0,1,0,0,1,0
91,Tolaki,if,mano,0.8757188,GRAMMAR,4,0.5,1,0,0,0,0,1
92,Bugis,thatch/roof,pabbiŋəŋ,0.87454623,OTHER,8,0.375,0,0,1,0,1,1
93,Tolaki,to climb,momone,0.87192136,ACTION,6,0.5,1,0,0,1,0,1
94,Makassar,"to stab, pierce",annoboʔ,0.8681483,ACTION,7,0.4286,0,1,0,0,1,0
95,Tolaki,house,laika,0.8674525,OTHER,5,0.6,1,0,0,0,0,0
96,Tolaki,Eight,hoalu,0.86408913,NUMBER,5,0.6,1,0,0,0,0,0
97,Tolaki,"shy, ashamed",kohanu,0.86310756,QUALITY,6,0.5,1,0,0,0,0,0
98,Wolio,to breathe,poinuñca,0.86037403,ACTION,8,0.5,1,0,0,0,1,1
99,Makassar,to breathe,aʔmaiʔ,0.8602774,ACTION,6,0.5,0,1,0,0,1,0
100,Makassar,One Thousand,sisaʔbu,0.8600726,NUMBER,7,0.4286,1,1,0,0,1,0
101,Tolaki,below,i lolu,0.8501604,GRAMMAR,6,0.5,1,0,0,0,0,0
102,Tolaki,above,i wawo,0.8501604,GRAMMAR,6,0.5,1,0,0,0,0,0
103,Toraja-Sadan,One Hundred,saratuʔ,0.8462945,NUMBER,7,0.4286,0,1,0,0,0,0
104,Tolaki,"to sniff, smell",siusiu,0.84569997,ACTION,6,0.6667,1,0,0,1,0,0
105,Toraja-Sadan,to blow,pamurruʔ,0.8420832,ACTION,8,0.375,0,1,0,0,1,1
106,Toraja-Sadan,Fifty,limaŋpulo,0.83235055,NUMBER,9,0.4444,1,0,1,0,1,0
107,Makassar,"to sniff, smell",aŋŋaraʔ,0.82981867,ACTION,7,0.4286,0,1,1,0,1,1
108,Makassar,Eight,sagantuju,0.82535535,NUMBER,9,0.4444,1,0,1,0,1,0
109,Makassar,Fifty,limampulo,0.8242517,NUMBER,9,0.4444,1,0,1,0,1,0
110,Tolaki,who?,inae,0.8184977,GRAMMAR,4,0.75,1,0,0,0,0,0
111,Tolaki,to choose,mepili,0.81568336,ACTION,6,0.5,1,0,0,0,0,1
112,Tolaki,person/human being,toono,0.81138724,OTHER,5,0.6,1,0,0,0,0,0
113,Tolaki,warm,mokula,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
114,Tolaki,dry,mowatu,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
115,Tolaki,cold,morini,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
116,Tolaki,yellow,mokuni,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
117,Tolaki,small,mohewu,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
118,Tolaki,narrow,mohewu,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
119,Tolaki,"painful, sick",mohaki,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
120,Tolaki,white,mowila,0.8092731,QUALITY,6,0.5,1,0,0,0,0,1
121,Tolaki,to come,leu,0.8080239,ACTION,3,0.6667,1,0,0,0,0,0
122,Tolaki,"to live, be alive",laa,0.8080239,ACTION,3,0.6667,1,0,0,0,0,0
123,Tolaki,what?,hawo,0.8074529,GRAMMAR,4,0.5,1,0,0,0,0,0
124,Makassar,if,punna,0.79423416,GRAMMAR,5,0.4,1,0,0,0,1,0
125,Makassar,to vomit,taʔlaŋŋɛ,0.79147404,ACTION,8,0.375,1,1,1,0,2,1
126,Tolaki,stick/wood,tangge,0.788697,OTHER,6,0.3333,1,0,1,0,1,1
127,Makassar,One Hundred,sibilaŋŋaŋ,0.7861585,NUMBER,10,0.4,0,0,1,0,1,0
128,Bugis,"to stab, pierce",soppaʔ,0.7861295,ACTION,6,0.3333,0,1,0,0,1,0
129,Tolaki,husband,langgai,0.7812174,OTHER,7,0.4286,1,0,1,0,1,0
130,Tolaki,man/male,langgai,0.7812174,OTHER,7,0.4286,1,0,1,0,1,0
131,Bugis,to split,pue,0.7792673,ACTION,3,0.6667,1,0,0,0,0,0
132,Wolio,mosquito,kawaowaode,0.7726242,OTHER,10,0.6,1,0,0,1,0,1
133,Makassar,to fall,tuʔguruʔ,0.7717345,ACTION,8,0.375,0,1,0,0,1,0
134,Tolaki,neck,woroko,0.7688456,BODY,6,0.5,1,0,0,0,0,0
135,Wolio,to say,kooni,0.76374507,ACTION,5,0.6,1,0,0,0,0,0
136,Makassar,"to live, be alive",tallasaʔ,0.7605413,ACTION,8,0.375,0,1,0,0,1,1
137,Toraja-Sadan,Ten,sangpulo,0.7578216,NUMBER,8,0.375,1,0,1,0,1,0
138,Tolaki,grass,rembu,0.7546903,NATURE,5,0.4,1,0,1,0,1,0
139,Tolaki,wind,pua,0.7522323,NATURE,3,0.6667,1,0,0,0,0,0
140,Tolaki,to cry,hono,0.7508703,ACTION,4,0.5,1,0,0,0,0,0
141,Tolaki,to burn,hunu,0.7508703,ACTION,4,0.5,1,0,0,0,0,0
142,Wolio,intestines,ŋkaluŋkalu,0.7431354,BODY,10,0.4,1,0,1,0,2,0
