# Old Javanese	kaw	https://github.com/davidmoeljadi/OJW	CC BY 4.0
02232251-a	kaw:lemma	alus
01269073-a	kaw:lemma	aluwe
00595299-a	kaw:lemma	alwat
02326695-a	kaw:lemma	alwat
02234781-a	kaw:lemma	alyud
01564315-a	kaw:lemma	amam
01918984-a	kaw:lemma	amam
01922763-a	kaw:lemma	amam
01372049-a	kaw:lemma	amanis
02368336-a	kaw:lemma	amanis
02251212-a	kaw:lemma	amĕcil
01588172-a	kaw:lemma	amenak
01590115-a	kaw:lemma	amenak
01007354-a	kaw:lemma	amita
00934199-a	kaw:lemma	amurah
01749320-a	kaw:lemma	amūrṇa
02025498-a	kaw:lemma	anartha
00727564-a	kaw:lemma	anāśrita
02158826-a	kaw:lemma	andha
02158826-a	kaw:lemma	andhawibhuta	andhawibhuti
02158826-a	kaw:lemma	andhībhūta
01410363-a	kaw:lemma	aneka
00419289-a	kaw:lemma	aṅĕmĕh
00424370-a	kaw:lemma	aṅĕmĕh
02529945-a	kaw:lemma	añĕp
01791911-a	kaw:lemma	anĕpi
02238462-a	kaw:lemma	aṅgarĕgĕs
01749320-a	kaw:lemma	anindya
00988232-a	kaw:lemma	anipis
00988232-a	kaw:lemma	añiriwiṅ
00909545-a	kaw:lemma	aṅlahur	aṅlawur
02236842-a	kaw:lemma	aṅlahur	aṅlawur
02324397-a	kaw:lemma	aṅlih	aṅĕlih
01086545-a	kaw:lemma	aṅluwuṅ
00113818-a	kaw:lemma	aṅrĕgu
01847672-a	kaw:lemma	aṅsal
00122626-a	kaw:lemma	anukāri
01277426-a	kaw:lemma	anuttara
01410606-a	kaw:lemma	apaja-paja
01247240-a	kaw:lemma	apanas
02043217-a	kaw:lemma	apasagi
01410363-a	kaw:lemma	apasehan
02497141-a	kaw:lemma	apĕluh
00113818-a	kaw:lemma	apĕṅiṅ
00289082-a	kaw:lemma	apĕpĕs
01022064-a	kaw:lemma	apĕs	mapĕs, āpĕs, māpĕs
01508719-a	kaw:lemma	apĕs	mapĕs, āpĕs, māpĕs
02324397-a	kaw:lemma	apĕs	mapĕs, āpĕs, māpĕs
00703615-a	kaw:lemma	apĕsĕh
02324397-a	kaw:lemma	apĕsĕh
00831225-a	kaw:lemma	apiṅgiṅ
01447302-a	kaw:lemma	apisit
02251212-a	kaw:lemma	aporaṅ
02497141-a	kaw:lemma	aprayoga
01711071-a	kaw:lemma	aprih
00439588-a	kaw:lemma	apuṅguṅ
00831225-a	kaw:lemma	apuṅguṅ
02324397-a	kaw:lemma	apus
01452593-a	kaw:lemma	apyak
00988232-a	kaw:lemma	araṅraṅ
