period,n_geocoded,n_nlp,mean_lat,mean_lon,mean_volcano_dist_km,median_volcano_dist_km,mean_word_count,mean_preindic_ratio
PRE-929,100,130,-7.59,110.40280000000003,22.7825,27.58,268.5923076923077,0.08823846153846154
POST-929,27,36,-7.611736874074074,112.1124740037037,35.492222222222225,36.07,648.0555555555555,0.2310555555555555
