inventory,n_volcanoes,candi_median,ins_median,gap,mw_U,mw_p,candi_peak_zone,candi_peak_share,ins_peak_zone,ins_peak_share,fisher_or,fisher_p,candi_volc,candi_court,ins_volc,ins_court
published_10,10,15.431364827577468,28.179794391320883,12.748429563743414,8366.0,7.435651845489036e-07,0-10km,42.25352112676056,20-30km,38.50574712643678,1.760558907589711,0.026013163962842874,77,47,67,72
canonical_30,30,14.49879599221135,27.57464157031436,13.075845578103008,8125.0,1.5311394346503783e-07,0-10km,45.070422535211264,20-30km,40.229885057471265,2.696969696969697,4.3161571656471945e-05,89,44,72,96
