rank,language,concept,form,p_substrate,p_austronesian,e022_tier,form_length,vowel_ratio,ends_in_vowel,has_glottal,has_nasal_cluster,has_prefix_like,semantic_domain
274,Wolio,wife,mañcuana,0.4874,0.5126,2,8,0.5,1,0,0,1,OTHER
275,Wolio,to chew,naŋku,0.4867,0.5133,2,5,0.4,1,0,1,1,ACTION
276,Wolio,to sleep,kole,0.4836,0.5164,3,4,0.5,1,0,0,0,ACTION
277,Wolio,to hold,keni,0.4836,0.5164,0,4,0.5,1,0,0,0,ACTION
278,Bugis,to yawn,maŋ-aleale,0.4825,0.5175,2,10,0.5,1,0,1,1,ACTION
279,Makassar,leg/foot,baŋkeŋ,0.4809,0.5191,0,6,0.333,0,0,1,0,BODY
280,Toraja-Sadan,big,kapua,0.4805,0.5195,1,5,0.6,1,0,0,1,QUALITY
281,Toraja-Sadan,Six,annan,0.4699,0.5301,3,5,0.4,0,0,0,0,NUMBER
282,Wolio,below,i tambe,0.4686,0.5314,0,7,0.429,1,0,1,0,GRAMMAR
283,Toraja-Sadan,mosquito,kasisiʔ,0.4684,0.5316,0,7,0.429,0,1,0,1,OTHER
284,Makassar,to come,battu,0.4655,0.5345,0,5,0.4,1,0,0,0,ACTION
285,Makassar,to say,aŋkana,0.4644,0.5356,0,6,0.5,1,0,1,1,ACTION
286,Makassar,to dig,aŋŋɛkɛ,0.4644,0.5356,0,6,0.5,1,0,1,1,ACTION
287,Makassar,they,iya ŋasɛŋ,0.4604,0.5396,1,9,0.444,0,0,1,0,GRAMMAR
288,Wolio,they,incia,0.4574,0.5426,1,5,0.6,1,0,1,0,GRAMMAR
289,Toraja-Sadan,worm (earthworm),kalintiŋ,0.4557,0.5443,3,8,0.375,0,0,1,1,OTHER
290,Toraja-Sadan,to stand,bendan,0.454,0.546,0,6,0.333,0,0,1,0,ACTION
291,Wolio,needle,sorumba,0.4528,0.5472,0,7,0.429,1,0,1,0,OTHER
292,Wolio,to bite,papaki,0.4524,0.5476,1,6,0.5,1,0,0,1,ACTION
293,Wolio,to hide,opo,0.4516,0.5484,2,3,0.667,1,0,0,0,ACTION
294,Bugis,to squeeze,tassipi,0.4511,0.5489,0,7,0.429,1,0,0,1,ACTION
295,Muna,road/path,kangkaha,0.4495,0.5505,0,8,0.375,1,0,1,1,NATURE
296,Makassar,to steal,allukka,0.4454,0.5546,0,7,0.429,1,0,0,0,ACTION
297,Wolio,"to pound, beat",pasaki,0.4453,0.5547,3,6,0.5,1,0,0,1,ACTION
298,Wolio,to fly,polaka,0.4453,0.5547,3,6,0.5,1,0,0,1,ACTION
299,Makassar,water,jeʔneʔ,0.4392,0.5608,0,6,0.333,0,1,0,0,NATURE
300,Bugis,salt,pəjje,0.4371,0.5629,3,5,0.4,1,0,0,0,NATURE
301,Tolaki,to chew,kaa,0.4359,0.5641,2,3,0.667,1,0,0,1,ACTION
302,Wolio,where?,i apai,0.4333,0.5667,2,6,0.667,1,0,0,0,GRAMMAR
303,Bugis,to lie down,lewuu,0.4331,0.5669,2,5,0.6,1,0,0,0,ACTION
304,Bugis,to lie down,liwuu,0.4331,0.5669,2,5,0.6,1,0,0,0,ACTION
305,Muna,rope,kakoo,0.433,0.567,0,5,0.6,1,0,0,1,OTHER
306,Wolio,that,humai,0.4287,0.5713,3,5,0.6,1,0,0,0,GRAMMAR
307,Tolaki,shoulder,bohe,0.4273,0.5727,0,4,0.5,1,0,0,0,BODY
308,Tolaki,blood,beli,0.4273,0.5727,0,4,0.5,1,0,0,0,BODY
309,Wolio,dry,matuu,0.4265,0.5735,3,5,0.6,1,0,0,1,QUALITY
310,Wolio,big,maoge,0.4265,0.5735,1,5,0.6,1,0,0,1,QUALITY
311,Wolio,wide,maewa,0.4265,0.5735,0,5,0.6,1,0,0,1,QUALITY
312,Wolio,"painful, sick",mapii,0.4265,0.5735,0,5,0.6,1,0,0,1,QUALITY
313,Tolaki,to fear,motaku,0.4241,0.5759,0,6,0.5,1,0,0,1,ACTION
314,Makassar,to sit,ammempo,0.4237,0.5763,0,7,0.429,1,0,1,0,ACTION
315,Makassar,to grow,attimbo,0.4237,0.5763,0,7,0.429,1,0,1,0,ACTION
316,Makassar,"to open, uncover",aññuŋkɛ,0.4237,0.5763,3,7,0.429,1,0,1,0,ACTION
317,Makassar,"no, not",tɛna,0.4237,0.5763,2,4,0.5,1,0,0,0,GRAMMAR
318,Wolio,to come,kawa,0.4205,0.5795,0,4,0.5,1,0,0,1,ACTION
319,Wolio,"dull, blunt",makundu,0.4203,0.5797,2,7,0.429,1,0,1,1,QUALITY
320,Makassar,father,maŋgɛ,0.4131,0.5869,0,5,0.4,1,0,1,1,OTHER
321,Wolio,to throw,banaka,0.4114,0.5886,1,6,0.5,1,0,0,0,ACTION
322,Bugis,"dull, blunt",ma-kunru,0.4095,0.5905,2,8,0.375,1,0,0,1,QUALITY
323,Bugis,warm,ma-pəlla,0.4095,0.5905,2,8,0.375,1,0,0,1,QUALITY
324,Toraja-Sadan,to think,taŋaʔ,0.4073,0.5927,0,5,0.4,0,1,1,1,ACTION
325,Wolio,to turn,lari,0.402,0.598,3,4,0.5,1,0,0,0,ACTION
326,Wolio,to split,weta,0.402,0.598,2,4,0.5,1,0,0,0,ACTION
327,Wolio,to blow,towii,0.3841,0.6159,0,5,0.6,1,0,0,0,ACTION
328,Makassar,small,caʔdi,0.3839,0.6161,2,5,0.4,1,1,0,0,QUALITY
329,Wolio,woods/forest,koo,0.3795,0.6205,3,3,0.667,1,0,0,0,NATURE
330,Muna,grass,karuku,0.3771,0.6229,1,6,0.5,1,0,0,1,NATURE
331,Toraja-Sadan,leg/foot,letteʔ,0.3761,0.6239,0,6,0.333,0,1,0,0,BODY
332,Makassar,warm,bambaŋ,0.375,0.625,2,6,0.333,0,0,1,0,QUALITY
333,Bugis,other,laiŋ,0.3739,0.6261,3,4,0.5,0,0,1,0,GRAMMAR
334,Makassar,to see,acciniʔ,0.3715,0.6285,0,7,0.429,0,1,0,0,ACTION
335,Wolio,lightning,berese,0.3694,0.6306,0,6,0.5,1,0,0,0,NATURE
336,Bugis,wet,ma-ricaʔ,0.3675,0.6325,3,8,0.375,0,1,0,1,QUALITY
337,Bugis,heavy,ma-tanəʔ,0.3675,0.6325,0,8,0.375,0,1,0,1,QUALITY
338,Wolio,thatch/roof,pada,0.3674,0.6326,3,4,0.5,1,0,0,1,OTHER
339,Makassar,dog,koŋkoŋ,0.3667,0.6333,0,6,0.333,0,0,1,0,OTHER
340,Bugis,back,monri,0.3654,0.6346,3,5,0.4,1,0,0,1,BODY
341,Toraja-Sadan,intestines,tambuk,0.3634,0.6366,3,6,0.333,0,0,1,1,BODY
342,Makassar,narrow,ecereʔ,0.3564,0.6436,3,6,0.5,0,1,0,0,QUALITY
343,Makassar,nose,kaʔmuru,0.3562,0.6438,0,7,0.429,1,1,0,1,BODY
344,Makassar,cloud,rammaŋ,0.3558,0.6442,0,6,0.333,0,0,1,0,NATURE
345,Makassar,that,añjo,0.3511,0.6489,3,4,0.5,1,0,0,0,GRAMMAR
346,Makassar,to hunt,andoaŋ,0.3503,0.6497,2,6,0.5,0,0,1,0,ACTION
347,Toraja-Sadan,who?,inda,0.3462,0.6538,3,4,0.5,1,0,1,0,GRAMMAR
348,Muna,and,bhe,0.3446,0.6554,3,3,0.333,1,0,0,0,GRAMMAR
349,Bugis,who?,niga,0.3431,0.6569,3,4,0.5,1,0,0,0,GRAMMAR
350,Bugis,they,ia-manəŋ,0.3417,0.6583,1,8,0.5,0,0,1,0,GRAMMAR
351,Bugis,and,sibawa,0.3399,0.6601,3,6,0.5,1,0,0,0,GRAMMAR
352,Toraja-Sadan,to hit,bamba,0.3392,0.6608,0,5,0.4,1,0,1,0,ACTION
353,Muna,woods/forest,karumbu,0.3378,0.6622,3,7,0.429,1,0,1,1,NATURE
354,Bugis,to say,mak-kədaa,0.3347,0.6653,0,9,0.444,1,0,0,1,ACTION
355,Makassar,"no, not",taɛna,0.3341,0.6659,2,5,0.6,1,0,0,1,GRAMMAR
356,Toraja-Sadan,short,kondiʔ,0.3337,0.6663,3,6,0.333,0,1,1,0,QUALITY
357,Muna,lake,katebho,0.3327,0.6673,0,7,0.429,1,0,0,1,NATURE
358,Toraja-Sadan,below,dioŋ,0.3324,0.6676,0,4,0.5,0,0,1,0,GRAMMAR
359,Bugis,to fall,mabuəŋ,0.3307,0.6693,2,6,0.5,0,0,1,1,ACTION
360,Makassar,salt,cɛʔla,0.3286,0.6714,3,5,0.4,1,1,0,0,NATURE
361,Toraja-Sadan,to sew,dasiʔ,0.3219,0.6781,3,5,0.4,0,1,0,0,ACTION
362,Makassar,big,lompo,0.3197,0.6803,1,5,0.4,1,0,1,0,QUALITY
363,Makassar,white,kɛboʔ,0.3151,0.6849,0,5,0.4,0,1,0,0,QUALITY
364,Bugis,ear,doccili,0.3136,0.6864,0,7,0.429,1,0,0,0,BODY
365,Muna,below,we panda,0.3124,0.6876,0,8,0.375,1,0,1,0,GRAMMAR
366,Muna,to see,aewura,0.3118,0.6882,0,6,0.667,1,0,0,0,ACTION
367,Muna,to see,aewora,0.3118,0.6882,0,6,0.667,1,0,0,0,ACTION
368,Muna,to plant,aeladu,0.3118,0.6882,0,6,0.667,1,0,0,0,ACTION
369,Muna,to hide,aekope,0.3118,0.6882,2,6,0.667,1,0,0,0,ACTION
370,Wolio,big,lewa,0.3108,0.6892,1,4,0.5,1,0,0,0,QUALITY
371,Toraja-Sadan,"dull, blunt",ma-pumpu,0.3077,0.6923,2,8,0.375,1,0,1,1,QUALITY
372,Wolio,to hit,bebe,0.3041,0.6959,0,4,0.5,1,0,0,0,ACTION
373,Tolaki,water,woi,0.304,0.696,0,3,0.667,1,0,0,0,NATURE
374,Muna,to think,aefekiri,0.3028,0.6972,0,8,0.625,1,0,0,0,ACTION
375,Muna,to hunt,ahulo,0.3018,0.6982,2,5,0.6,1,0,0,0,ACTION
376,Tolaki,Four,omba,0.3002,0.6998,0,4,0.5,1,0,1,0,NUMBER
377,Makassar,"bad, evil",kodi,0.2949,0.7051,0,4,0.5,1,0,0,0,QUALITY
378,Tolaki,name,tamo,0.2938,0.7062,0,4,0.5,1,0,0,1,OTHER
379,Tolaki,leaf,tawa,0.2908,0.7092,3,4,0.5,1,0,0,1,NATURE
380,Tolaki,wife,tina,0.2893,0.7107,2,4,0.5,1,0,0,0,OTHER
381,Wolio,warm,masodo,0.281,0.719,2,6,0.5,1,0,0,1,QUALITY
382,Wolio,heavy,matamo,0.281,0.719,0,6,0.5,1,0,0,1,QUALITY
383,Wolio,good,malape,0.281,0.719,3,6,0.5,1,0,0,1,QUALITY
384,Tolaki,cloud,gowa,0.2806,0.7194,0,4,0.5,1,0,0,0,NATURE
385,Muna,to yawn,andiwawa,0.2752,0.7248,2,8,0.5,1,0,1,0,ACTION
386,Tolaki,intestines,usu,0.2679,0.7321,3,3,0.667,1,0,0,0,BODY
387,Toraja-Sadan,to hunt,lola,0.262,0.738,2,4,0.5,1,0,0,0,ACTION
388,Wolio,to chew,paŋa,0.2617,0.7383,2,4,0.5,1,0,1,1,ACTION
389,Wolio,rain,wao,0.2589,0.7411,0,3,0.667,1,0,0,0,NATURE
390,Wolio,fire,waa,0.2589,0.7411,0,3,0.667,1,0,0,0,NATURE
391,Toraja-Sadan,to see,tiro,0.2588,0.7412,0,4,0.5,1,0,0,0,ACTION
392,Toraja-Sadan,to throw,tibe,0.2588,0.7412,1,4,0.5,1,0,0,0,ACTION
393,Makassar,red,ɛja,0.2559,0.7441,0,3,0.667,1,0,0,0,QUALITY
394,Makassar,rope,otɛrɛʔ,0.2505,0.7495,0,6,0.5,0,1,0,0,OTHER
395,Makassar,egg,bayâo,0.2437,0.7563,0,6,0.5,1,0,0,0,BODY
396,Toraja-Sadan,to swim,oroŋ,0.2433,0.7567,0,4,0.5,0,0,1,0,ACTION
397,Toraja-Sadan,"to tie up, fasten",pori,0.2373,0.7627,1,4,0.5,1,0,0,1,ACTION
398,Bugis,Eight,arua,0.2366,0.7634,3,4,0.75,1,0,0,0,NUMBER
399,Tolaki,meat/flesh,ramo,0.2328,0.7672,0,4,0.5,1,0,0,0,BODY
400,Toraja-Sadan,to spit,met-tudu,0.2263,0.7737,3,8,0.375,1,0,0,1,ACTION
401,Bugis,good,ma-deceŋ,0.2262,0.7738,3,8,0.375,0,0,1,1,QUALITY
402,Bugis,belly,baua,0.2252,0.7748,0,4,0.75,1,0,0,0,BODY
403,Wolio,tail,lenci,0.2226,0.7774,0,5,0.4,1,0,1,0,BODY
404,Makassar,leaf,lɛkoʔ,0.212,0.788,3,5,0.4,0,1,0,0,NATURE
405,Toraja-Sadan,to hold,tue,0.2085,0.7915,0,3,0.667,1,0,0,0,ACTION
406,Wolio,name,saro,0.208,0.792,0,4,0.5,1,0,0,0,OTHER
407,Muna,to turn,apingka,0.2053,0.7947,3,7,0.429,1,0,1,0,ACTION
408,Toraja-Sadan,One,misa',0.1998,0.8002,0,5,0.4,0,1,0,0,NUMBER
409,Tolaki,wing,kae,0.199,0.801,0,3,0.667,1,0,0,1,BODY
410,Toraja-Sadan,to steal,boko,0.1985,0.8015,0,4,0.5,1,0,0,0,ACTION
411,Toraja-Sadan,to fall,tobaŋ,0.1952,0.8048,2,5,0.4,0,0,1,0,ACTION
412,Muna,to swell,notente,0.192,0.808,3,7,0.429,1,0,1,0,ACTION
413,Muna,red,dea,0.1897,0.8103,0,3,0.667,1,0,0,0,QUALITY
414,Bugis,"to tie up, fasten",mas-sio,0.1889,0.8111,1,7,0.429,1,0,0,1,ACTION
415,Wolio,rat,bokoti,0.1846,0.8154,0,6,0.5,1,0,0,0,OTHER
416,Wolio,ashes,walo,0.1825,0.8175,0,4,0.5,1,0,0,0,NATURE
417,Muna,to flow,nosolo,0.1805,0.8195,3,6,0.5,1,0,0,0,ACTION
418,Wolio,Six,nama,0.1797,0.8203,3,4,0.5,1,0,0,1,NUMBER
419,Bugis,cloud,əlluŋ,0.1773,0.8227,0,5,0.4,0,0,1,0,NATURE
420,Muna,to hit,aewogha,0.1709,0.8291,0,7,0.571,1,0,0,0,ACTION
421,Muna,"to cut, hack",aebhera,0.1709,0.8291,1,7,0.571,1,0,0,0,ACTION
422,Toraja-Sadan,if,iake,0.1709,0.8291,1,4,0.75,1,0,0,0,GRAMMAR
423,Wolio,sky,bula,0.1693,0.8307,0,4,0.5,1,0,0,0,NATURE
424,Wolio,leaf,tawa,0.1685,0.8315,3,4,0.5,1,0,0,1,NATURE
425,Bugis,narrow,ma-cipi,0.165,0.835,3,7,0.429,1,0,0,1,QUALITY
426,Toraja-Sadan,mouth,sadaŋ,0.1594,0.8406,0,5,0.4,0,0,1,0,BODY
427,Muna,wife,anahi,0.1573,0.8427,2,5,0.6,1,0,0,0,OTHER
428,Makassar,fish,jukuʔ,0.1537,0.8463,0,5,0.4,0,1,0,0,OTHER
429,Makassar,road/path,agaŋ,0.1393,0.8607,0,4,0.5,0,0,1,0,NATURE
430,Toraja-Sadan,heavy,ma-gasa,0.1308,0.8692,0,7,0.429,1,0,0,1,QUALITY
431,Wolio,head,baa,0.1232,0.8768,0,3,0.667,1,0,0,0,BODY
432,Toraja-Sadan,grass,riu,0.1144,0.8856,1,3,0.667,1,0,0,0,NATURE
433,Bugis,meat/flesh,juku,0.1045,0.8955,0,4,0.5,1,0,0,0,BODY
434,Toraja-Sadan,rotten,bosi,0.1032,0.8968,3,4,0.5,1,0,0,0,QUALITY
435,Bugis,rope,tulu,0.0886,0.9114,0,4,0.5,1,0,0,0,OTHER
436,Muna,wet,nomeme,0.0883,0.9117,3,6,0.5,1,0,0,0,QUALITY
437,Muna,One Thousand,riwu,0.064,0.936,0,4,0.5,1,0,0,0,NUMBER
438,Muna,back,towu,0.0428,0.9572,3,4,0.5,1,0,0,0,BODY
