block_label,block_size_deg,block_size_km,n_runs,xgb_auc_mean,xgb_auc_std,xgb_auc_ci_low,xgb_auc_ci_high,xgb_tss_mean,xgb_tss_std,xgb_tss_ci_low,xgb_tss_ci_high,xgb_mvr_pass_rate,rf_auc_mean,rf_auc_std,rf_auc_ci_low,rf_auc_ci_high,rf_tss_mean,rf_tss_std,rf_tss_ci_low,rf_tss_ci_high,rf_mvr_pass_rate,delta_xgb_auc_vs_50km,delta_rf_auc_vs_50km
40km,0.36036036036036034,40.0,20,0.7254398961503645,0.0165095894191581,0.7180072423856046,0.7325241180667013,0.4264393384708958,0.02711661396364982,0.4147219839123021,0.4382402762068557,0.05,0.742189169814662,0.00901885070267616,0.7382753578540493,0.7460898549265956,0.4652491423344828,0.015850337422099757,0.4580833299961339,0.4718663984405625,0.25,-0.025458468553446134,-0.0021850375332670424
50km_baseline,0.45,49.95,20,0.7508983647038107,0.012831087578846812,0.7455131339393477,0.7565174225882014,0.46522904674336746,0.020612077461450096,0.4566573963496625,0.47398246727085114,0.55,0.744374207347929,0.009651822205128299,0.7402059349892322,0.7486172455727731,0.45764864555403656,0.015513233324325412,0.45129479910828224,0.46464577867694884,0.25,0.0,0.0
60km,0.5405405405405406,60.0,20,0.7420823852599281,0.011990840918419616,0.7369822240134523,0.7472774241474202,0.4542153377350224,0.027363134734463477,0.44281047202224894,0.46683485706293004,0.25,0.7321497121379429,0.00819571604273352,0.7286271505750356,0.7355930181953446,0.4467396813476411,0.017372321258920954,0.4398677575526187,0.454033632298229,0.0,-0.008815979443882571,-0.012224495209986141
