seed,fold,xgb_auc,xgb_tss,rf_auc,rf_tss,n_train,n_test
375,1,0.8573319400905608,0.6945315221177291,0.8689655172413794,0.6824103099965169,1744,524
375,2,0.6823429030315198,0.31253764304356557,0.7209646657297731,0.40795021080104393,1614,654
375,3,0.6917233028669635,0.3077168450381481,0.6544378043382026,0.29888289977345517,1405,863
375,4,0.8158730158730159,0.5619047619047619,0.726984126984127,0.4277777777777778,2122,146
375,5,0.7943661971830988,0.6591549295774648,0.7380281690140845,0.47183098591549294,2187,81
5621,1,0.8646726360576618,0.6926398679113481,0.859465294976821,0.7087064202705278,1696,572
5621,2,0.6717230443974629,0.32758985200845664,0.7393410852713178,0.44217758985200845,1522,746
5621,3,0.7133873918243862,0.36400654330542465,0.6742243016956309,0.3245268416238655,1547,721
5621,4,0.7321969696969697,0.40909090909090906,0.7015151515151514,0.3242424242424243,2116,152
5621,5,0.7761194029850746,0.5865671641791045,0.7402985074626866,0.4701492537313433,2191,77
8971,1,0.838595762359784,0.6314914831740757,0.883153302866639,0.7472995429995846,1907,361
8971,2,0.7487920052712498,0.4210959806720843,0.814188447177685,0.5467823413134196,1611,657
8971,3,0.6881600091827365,0.27447773186409546,0.6459815962656872,0.2583505509641873,1254,1014
8971,4,0.7484210526315789,0.4568421052631578,0.7047368421052631,0.4273684210526315,2149,119
8971,5,0.7359467455621302,0.6057692307692308,0.7603550295857988,0.4903846153846154,2151,117
10883,1,0.8722067537659742,0.735774969658028,0.876704504890412,0.7350610409081174,1756,512
10883,2,0.6672261749674315,0.2750526104820122,0.705005511574306,0.4234642749774527,1613,655
10883,3,0.6877575662125628,0.2964997243877471,0.6626702889991338,0.3115599653516025,1407,861
10883,4,0.7393970362800204,0.461931527848748,0.664793050587634,0.2968829841594276,2146,122
10883,5,0.7457875457875458,0.48424908424908425,0.7868131868131868,0.5135531135531136,2150,118
11903,1,0.8592496204727825,0.6232921275211452,0.8711776187378009,0.7025229523602978,1762,506
11903,2,0.6982055464926591,0.3799299491411573,0.7307600038384032,0.42719028883984267,1587,681
11903,3,0.6844790928419562,0.3111268603827073,0.6531132935101752,0.3044514191218656,1424,844
11903,4,0.7139376218323588,0.33235867446393763,0.6632553606237817,0.32407407407407407,2141,127
11903,5,0.7557494052339413,0.5424266455194291,0.7335448057097542,0.42981760507533706,2158,110
17010,1,0.8464461646727657,0.6455313159746657,0.8604503870513723,0.7149190710767066,1749,519
17010,2,0.6826902804132405,0.34503478810879185,0.7240934008011807,0.3955829643685431,1642,626
17010,3,0.6974648988418352,0.3098358898703133,0.6498458512227876,0.2793150624475925,1382,886
17010,4,0.7688145597638957,0.5548450565666503,0.6473192326610919,0.2685686178061978,2142,126
17010,5,0.6930926216640503,0.43249607535321827,0.7739403453689169,0.46389324960753536,2157,111
20828,1,0.8536069388618575,0.6926168817431775,0.8541710739722164,0.6961427261829208,1750,518
20828,2,0.6929590017825312,0.3634721831316259,0.7223473121305939,0.4325921756262313,1573,695
20828,3,0.6728417341088608,0.2812790649249691,0.6698120410344685,0.3088968169135306,1443,825
20828,4,0.765929203539823,0.45221238938053093,0.7924778761061948,0.481858407079646,2135,133
20828,5,0.6919540229885057,0.38505747126436785,0.6712643678160919,0.36551724137931035,2171,97
21924,1,0.8530393247399071,0.6214094091474187,0.874108486553687,0.7261008964208597,1712,556
21924,2,0.6546192825262593,0.28505990133897113,0.7290848686197524,0.4593946105574013,1489,779
21924,3,0.6858441534923309,0.2929773093569475,0.6549229459806957,0.3053548468879593,1561,707
21924,4,0.7020833333333334,0.4,0.7354166666666667,0.3833333333333333,2128,140
21924,5,0.7473684210526317,0.5578947368421052,0.6736842105263158,0.39473684210526316,2182,86
22830,1,0.8537756438236578,0.6412774625345555,0.8568310781318201,0.7193365342645133,1765,503
22830,2,0.683312743514207,0.35213342202793874,0.7068564097690773,0.4023804998574551,1581,687
22830,3,0.6951038819926905,0.2954265582298904,0.6785486154555332,0.34539527839057,1412,856
22830,4,0.7955284552845528,0.5060975609756098,0.7174796747967479,0.3967479674796748,2125,143
22830,5,0.8434782608695652,0.6391304347826088,0.7739130434782608,0.4855072463768116,2189,79
25916,1,0.8444673185795162,0.6308800823468863,0.8576428203808544,0.6889346371590324,1904,364
25916,2,0.769966309948474,0.44252873563218387,0.8203527546571542,0.5603448275862069,1543,725
25916,3,0.6827482343165766,0.2716867469879518,0.6632036767760698,0.26521603656003323,1314,954
