fold,dkns_auc,heuristic_auc,random_auc_mean,random_auc_ci_low,random_auc_ci_high,n_test,n_positive
1,0.6779099961990901,0.6137825739063785,0.5000716635945269,0.48663731664970505,0.5129523868817496,100845,2090
2,0.6184159815514954,0.608280907991612,0.49995507262660177,0.49349065389222374,0.5070786111417599,161064,7344
3,0.6318165574071426,0.517757973878238,0.4999002637820434,0.49452957889721094,0.505906805052498,117369,10557
4,0.6202490572618805,0.5266245204046042,0.5004072467966647,0.48867890339648967,0.5119781604760745,131670,2350
5,0.6831430969540524,0.6365342704299957,0.5001976078021187,0.48287643819848686,0.5168047736942329,78114,1152
