cfg_seed,decay_m,max_road_dist_m,min_accept_prob,n_presences,n_pseudoabsences,pa_road_mean_m,pa_road_median_m,pa_accept_mean,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,best_auc
951,16000.0,60000.0,0.03,378,1890,1263.7340742403867,672.509521484375,0.9288592930653428,0.7253832344386524,0.08405998740708914,0.44654969699634145,0.7163245867329546,0.08092917208582154,0.40754673965392446,0.7253832344386524
446,12000.0,20000.0,0.03,378,1890,1188.6683572648064,646.8534545898438,0.9129585957073718,0.7216438560906653,0.09052476463801637,0.39203884258889093,0.7186607312644726,0.08223887726848908,0.40587051395216633,0.7216438560906653
749,16000.0,20000.0,0.03,378,1890,1264.7394565218972,660.518310546875,0.9291918895889582,0.7162478406831481,0.0911872171411446,0.4169720281011278,0.718656592481591,0.07016329125211385,0.41653191636353515,0.718656592481591
1153,20000.0,40000.0,0.03,378,1890,1403.738675384925,705.2672729492188,0.9365390213896762,0.7180840162642396,0.07768622491546329,0.39386426532945695,0.7072353349645936,0.0663461488560865,0.4174808919683711,0.7180840162642396
850,16000.0,40000.0,0.03,378,1890,1337.8074134907395,700.2498168945312,0.9254739515942602,0.7129186539412145,0.08261416746072181,0.4163018699635342,0.7159764191993524,0.0735243556280264,0.4222360262302577,0.7159764191993524
547,12000.0,40000.0,0.03,378,1890,1163.4060766835692,644.3045349121094,0.9142261934406403,0.7154811832435508,0.0744026910883556,0.4130064450998237,0.7029756282421615,0.06931076882669435,0.39960927467655255,0.7154811832435508
1052,20000.0,20000.0,0.03,378,1890,1366.631672730017,672.509521484375,0.9379574914224765,0.7124647573282087,0.06495263849138716,0.41402770370836073,0.7040293853971866,0.06716484170299913,0.3946454817145849,0.7124647573282087
345,8000.0,60000.0,0.03,378,1890,1180.400809125547,646.8534545898438,0.8769827221238715,0.7017626516129398,0.08178661466061464,0.40458042078662826,0.7096559947175358,0.0709434182902455,0.40217141859550753,0.7096559947175358
648,12000.0,60000.0,0.03,378,1890,1281.2679016688514,669.7073364257812,0.9078767561888389,0.7062085509920484,0.06849290464484822,0.43575608749065653,0.7080063896079541,0.06715513566786058,0.4004686394522342,0.7080063896079541
1254,20000.0,60000.0,0.03,378,1890,1301.1413942347128,651.9212036132812,0.9407303990695625,0.7030111675159426,0.07024228898558806,0.3880518734986499,0.7043273210026998,0.06817366163072726,0.40879673739846717,0.7043273210026998
143,8000.0,20000.0,0.03,378,1890,1118.122473390771,625.421142578125,0.882305093997277,0.6983078206289719,0.07819764729655104,0.38827816576415614,0.7027429018657554,0.07039508677360587,0.383408452303673,0.7027429018657554
244,8000.0,40000.0,0.03,378,1890,1078.0250951736693,607.8855285644531,0.8856446418750497,0.6866845989829564,0.05936436935163834,0.34603212898162655,0.6943390096449764,0.07421050991072518,0.38438980070847517,0.6943390096449764
