volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,vei_modifier,start_year_modifier,start_year,start_year_uncertainty,start_month,start_day_modifier,start_day,start_day_uncertainty,evidence_method,end_year_modifier,end_year,end_year_uncertainty,end_month,end_day_modifier,end_day,end_day_uncertainty,latitude,longitude,distance_to_malang_km,ashfall_malang_cm_est,ashfall_malang_cm_source
263300,Semeru,15963,Confirmed Eruption,,2.0,,,1818,,11.0,,8.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15964,Confirmed Eruption,,2.0,,,1829,,2.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15965,Confirmed Eruption,,2.0,,,1830,,12.0,,15.0,,Observations: Reported,,1830.0,,12.0,,16.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15966,Confirmed Eruption,,2.0,,,1832,,4.0,,18.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15967,Confirmed Eruption,,2.0,,,1836,,8.0,,3.0,,Observations: Reported,,1836.0,,8.0,,5.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15968,Confirmed Eruption,,2.0,,,1838,,7.0,,0.0,,Observations: Reported,,1838.0,,10.0,,18.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15969,Confirmed Eruption,,2.0,,,1842,,1.0,,0.0,,Observations: Reported,,1842.0,,3.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15970,Confirmed Eruption,,2.0,,,1844,,9.0,,25.0,,Observations: Reported,,1844.0,,9.0,,27.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15971,Confirmed Eruption,,2.0,,,1845,,1.0,,0.0,,Observations: Reported,,1845.0,,7.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15973,Confirmed Eruption,,2.0,,,1848,,8.0,,4.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15972,Confirmed Eruption,,2.0,,,1848,,2.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15975,Confirmed Eruption,,2.0,,,1851,,1.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15976,Confirmed Eruption,,2.0,,,1856,,9.0,,10.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15977,Confirmed Eruption,,2.0,,,1857,,8.0,,13.0,,Observations: Reported,,1857.0,,9.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15978,Confirmed Eruption,,2.0,,,1860,,4.0,,0.0,,Observations: Reported,,1860.0,,6.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15980,Confirmed Eruption,,2.0,,,1865,,4.0,,15.0,5.0,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15982,Confirmed Eruption,,2.0,,,1867,,4.0,,15.0,5.0,Observations: Reported,,1867.0,,5.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15983,Confirmed Eruption,,2.0,,,1872,,10.0,,23.0,,Observations: Reported,,1872.0,,10.0,,23.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15984,Confirmed Eruption,,2.0,,,1877,,4.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15985,Confirmed Eruption,,2.0,,,1877,,9.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15986,Confirmed Eruption,,2.0,,,1878,,0.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15987,Confirmed Eruption,,2.0,,,1879,,0.0,,0.0,,Observations: Reported,,,,,,,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15989,Confirmed Eruption,,2.0,,,1884,,12.0,?,10.0,,Observations: Reported,,1885.0,,9.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15990,Confirmed Eruption,,2.0,,,1886,,1.0,,25.0,,Observations: Reported,,1886.0,,8.0,,26.0,5.0,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15991,Confirmed Eruption,,2.0,,,1887,,2.0,,0.0,,Observations: Reported,,1887.0,,3.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15992,Confirmed Eruption,,2.0,,,1887,,8.0,?,0.0,,Observations: Reported,,1887.0,,10.0,,11.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
263300,Semeru,15993,Confirmed Eruption,,2.0,,,1888,,2.0,,0.0,,Observations: Reported,,1888.0,,10.0,,0.0,,-8.108,112.922,75,0.0,"Estimated: Pyle(1989) exponential thinning, VEI=2, dist=75km"
