name,lat,lon,zone,nearest_volcano,distance_km,azimuth_to_volcano,azimuth_from_volcano
Candi Ngetos,-7.6935104,111.8424528,A,Wilis,15.768686401513587,216.15764520451674,36.1690348538508
Situs Candi Ganter,-7.8271272,112.3939101,B,Kawi-Butak,12.033939714755931,149.11387483361727,329.10619121485774
Candi Situsumpak,-7.5406294,112.4025429,A,Penanggungan,26.57910063347718,109.40826576931516,289.37826053188314
Candi Kedaton,-7.5704583,112.3796406,A,Arjuno-Welirang,27.82639415079139,129.32447096420594,309.29846532503467
candi jawar,-8.1680934,112.8953201,A,Semeru,7.298970614628095,23.727523016618534,203.7237462463045
Cagar Budaya Candi Pendem,-7.497183,111.2241471,A,Lawu,14.64768030254971,193.9975621674583,14.001792189893706
Candi Songgoriti,-7.8672218,112.4927191,B,Kawi-Butak,7.5219406941035025,218.71757085974235,38.723437649468735
Candi Badut,-7.95776,112.59857,A,Kawi-Butak,16.892039726587065,284.38217112661425,104.40269113091972
Candi Sumberawan,-7.85722,112.652,A,Arjuno-Welirang,16.590176070886262,329.242804843725,149.25324577698063
Candi Satu,-8.4078258,114.1649588,A,Raung,34.23589349843994,336.71211055253974,156.72978915108115
Candi Borobudur,-8.2011378,111.088786,A,Lawu,65.06432108480904,10.069112306424643,190.05490260285168
Candi Mendut,-7.9405761,112.6271802,A,Kawi-Butak,19.646802945377004,276.6752954602348,96.69974070167927
Candi Pendem,-7.4971784,111.2241507,A,Lawu,14.648272610667705,193.9985840420594,14.002814536915707
Candi Prambanan,-8.1992747,111.0914972,A,Lawu,64.80868820650375,9.8410180073177,189.82718318056718
Candi Plaosan,-8.2182728,114.3671726,A,Ijen,22.526665222312683,322.28235455388506,142.3000740321716
Candi Sewu,-7.940663,112.6343583,A,Kawi-Butak,20.43324885407864,276.4435664487095,96.46900218013894
Candi Merak,-7.6066004,112.6133722,A,Penanggungan,2.361891184733264,129.11297772688528,309.1107747681682
Candi Sukuh,-7.6273153,111.1315373,A,Lawu,6.668651043298096,87.79150430918986,267.78348036985847
Candi Cetho,-7.5957362,111.1581311,A,Lawu,4.952049622015978,131.0812291168195,311.07674366316877
Candi Kethek,-7.5939326,111.1602927,A,Lawu,4.913893947631907,134.6714352981826,314.6672366123343
Candi Arjuna,-7.8767471,112.6705275,A,Arjuno-Welirang,19.51035333244896,327.35091645338036,147.36388578309368
Candi Bima,-7.9435133,112.6349423,A,Kawi-Butak,20.535031361466956,277.3020968386834,97.32761770044743
Candi Lawang,-7.5419685,112.3909512,A,Penanggungan,27.74054811906928,108.24262703121576,288.21108988966955
Candi Prambanan,-8.1992747,111.0914972,A,Lawu,64.80868820650375,9.8410180073177,189.82718318056718
Candi Kalasan,-7.9423387,112.6396959,A,Kawi-Butak,21.038605111660075,276.7674222070006,96.79359711061068
Candi Sari,-7.9418671,112.6317556,A,Kawi-Butak,20.164130928051865,276.91337458784494,96.93845311837464
Candi Jago,-8.0057952,112.7641342,A,Semeru,20.766339240193822,123.19050443152116,303.168378503893
Candi Kidal,-8.0258439,112.7091054,A,Semeru,25.155916410594063,111.30861440495312,291.27873893947935
Candi Singosari,-7.8877437,112.6639091,A,Arjuno-Welirang,20.1868494224955,330.96864531732115,150.9807245514403
Candi Badut,-7.9578365,112.5985999,A,Kawi-Butak,16.897343771271263,284.4073334062166,104.42785763847422
Candi Karang Besuki,-7.9523146,112.5997549,A,Kawi-Butak,16.87939018693212,282.28060990029985,102.30128651082492
Candi Tegowangi,-7.7349327,112.161192,B,Kelud,27.05570603573674,143.30247751881086,323.28247093221916
Candi Lor,-8.1796471,113.0723519,A,Semeru,18.367492393328078,295.69474950436387,115.71604813390275
Candi Ngetos,-7.6935164,111.8424533,A,Wilis,15.768180244830306,216.1592371058177,36.170626826964735
Candi Jawi,-7.6624877,112.669879,A,Penanggungan,6.452583752783323,317.0663395062405,137.07164221240168
Candi Bangkal,-7.543256,112.6355419,A,Penanggungan,8.555378084187637,184.09397020087354,4.094701391279045
Candi Tikus,-7.5716315,112.4035216,A,Penanggungan,25.535100813552447,102.17393631917338,282.1439994568198
Candi Brahu,-7.5428461,112.3743975,A,Penanggungan,29.450520562262938,106.9530109393396,286.91928796025377
Candi Gentong,-7.5434943,112.3780969,A,Penanggungan,29.03947301619081,107.05110050164427,287.01786419303124
Candi Kedaton,-7.5704262,112.3796414,A,Arjuno-Welirang,27.828588021591766,129.3302707487686,309.3042652703189
Candi Gajah Mungkur,-7.604506,112.6215523,A,Penanggungan,1.9583424681006854,151.61292822983876,331.6118091768281
Candi Wayang,-7.6054843,112.6217173,A,Penanggungan,1.854338929982603,150.50919283917983,330.50809557336186
Candi Lemari,-7.6078498,112.6123137,A,Penanggungan,2.3717153353648914,124.72678715188852,304.72444376509264
Candi Bayi,-7.6139718,112.6055954,A,Penanggungan,2.771988347601573,103.99523896968054,283.99200413403685
Candi Putri,-7.611832,112.6093412,A,Penanggungan,2.451352343075944,111.74818085938642,291.74544291281165
Candi Pura,-7.6115047,112.6106941,A,Penanggungan,2.3280444854051057,113.9402270779425,293.93766848820894
Candi Gentong,-7.5434943,112.3780969,A,Penanggungan,29.03947301619081,107.05110050164427,287.01786419303124
Candi Lurah,-7.613422,112.6118635,A,Penanggungan,2.128515832769061,110.09991552975617,290.0975116185502
Candi Carik,-7.6132392,112.6109145,A,Penanggungan,2.2337882169242484,109.66768272041372,289.66515305371945
Candi Wisnu,-7.6147858,112.613817,A,Penanggungan,1.8754585983778687,108.0089107538954,288.0067655794038
Candi Kendalisodo,-7.6067777,112.6076324,A,Penanggungan,2.870373298396421,120.81306672939752,300.8101032904492
Candi Naga I,-7.6135783,112.6108332,A,Penanggungan,2.2298681348979605,108.67782795257881,288.67528745384874
Candi Merak,-7.6066004,112.6133722,A,Penanggungan,2.361891184733264,129.11297772688528,309.1107747681682
Candi Naga II,-7.6135783,112.6108332,A,Penanggungan,2.2298681348979605,108.67782795257881,288.67528745384874
Candi Griya,-7.6032082,112.6206324,A,Penanggungan,2.1336011074344325,151.06013213611425,331.0588913306112
Candi Dharmawangsa,-7.604272,112.6221719,A,Penanggungan,1.950112542134088,153.74195188139538,333.7409149216291
Candi Kerajaan,-7.6039862,112.6236257,A,Penanggungan,1.9142345957727442,158.469068517923,338.4682241534809
Candi Baru,-7.2716198,112.664791,A,Penanggungan,38.92757102808585,185.65291620290358,5.657424734934011
Candi Wringin Branjang,-8.0027503,112.2817723,B,Kelud,8.589608691953693,19.650293623360653,199.64665867516047
Candi Sawentar,-7.9403528,112.6251987,A,Kawi-Butak,19.427175794379583,276.67764984821133,96.70182136700896
Candi Simping,-8.1640797,112.1461388,A,Kelud,31.544673278112526,34.40965136846876,214.38699299406903
Candi Naga,-7.6138526,112.6106987,A,Penanggungan,2.2343967979434036,107.81515165293251,287.8125932808557
Candi Gambar Wetan,-7.9680444,112.2388364,B,Kelud,8.712670585215148,60.9569721857053,240.94740741324253
Candi Sirah Kencong,-7.9800031,112.4278234,B,Kawi-Butak,7.104969233858526,20.106121808037756,200.1030545863626
Candi Kedaton,-7.5704262,112.3796414,A,Arjuno-Welirang,27.828588021591766,129.3302707487686,309.3042652703189
Candi Dadi,-8.1302386,111.9268294,A,Wilis,40.367456076699504,332.5649360550373,152.58834256349974
Candi Penampihan,-7.9027228,111.7952694,A,Wilis,11.304467359339712,338.7033330042834,158.70842671974424
Candi Mirigambar,-8.1341346,111.9759543,A,Kelud,43.03295085178129,58.18840537514342,238.14200932097617
Candi Pari,-7.5161315,112.6834255,A,Penanggungan,12.964316757134627,207.01245630252785,27.019492653057625
