algorithm,hf_picked_own,hf_picked_common,auc_common_pick_own,auc_common_pick_common,cost
maxent,1.0,0.0,0.5484019531837022,0.662703707802226,0.11430175461852377
maxent,1.0,0.2,0.5524394577089657,0.6596932309521859,0.10725377324322016
xgboost,1.0,0.2,0.6168652362988665,0.7192424196520875,0.10237718335322099
xgboost,1.0,0.2,0.6193321669672947,0.7131523935506153,0.09382022658332068
randomforest,1.0,0.2,0.634434114653351,0.7076092247008613,0.07317511004751032
randomforest,1.0,0.0,0.6347150764047532,0.7055547088527578,0.07083963244800462
