seed,train_design,algorithm,width_frac,n_windows,boyce
1,tgb,maxent,0.1,51,0.955903979972706
1,tgb,maxent,0.1,101,0.9573029389460039
1,tgb,maxent,0.1,201,0.9586963107717792
1,tgb,maxent,0.2,51,0.9823529411764704
1,tgb,maxent,0.2,101,0.984379732090856
1,tgb,maxent,0.2,201,0.9851510625337501
1,tgb,xgboost,0.05,51,0.8489592760180995
1,tgb,xgboost,0.05,101,0.85166137663883
1,tgb,xgboost,0.05,201,0.857516207621089
1,tgb,xgboost,0.1,51,0.9497952444793895
1,tgb,xgboost,0.1,101,0.9524658193470229
1,tgb,xgboost,0.1,201,0.9534030132084343
1,tgb,xgboost,0.2,51,0.9863348416289593
1,tgb,xgboost,0.2,101,0.985643480759179
1,tgb,xgboost,0.2,201,0.9866531894514323
1,tgb,randomforest,0.05,51,0.8390045248868778
1,tgb,randomforest,0.05,101,0.8835837238286265
1,tgb,randomforest,0.05,201,0.8739380805548476
1,tgb,randomforest,0.1,51,0.9144796380090496
1,tgb,randomforest,0.1,101,0.9403199785830918
1,tgb,randomforest,0.1,201,0.9476604743427292
1,tgb,randomforest,0.2,51,0.9887782805429864
1,tgb,randomforest,0.2,101,0.9910425160163076
1,tgb,randomforest,0.2,201,0.9913111326788259
1,hybrid,maxent,0.05,51,0.9003574831608218
1,hybrid,maxent,0.05,101,0.901777836115336
1,hybrid,maxent,0.05,201,0.9057963894591279
1,hybrid,maxent,0.1,51,0.9555656108597285
1,hybrid,maxent,0.1,101,0.9606140997521477
1,hybrid,maxent,0.1,201,0.9577872947297924
1,hybrid,maxent,0.2,51,0.9863119077616603
1,hybrid,maxent,0.2,101,0.9895281859701079
1,hybrid,maxent,0.2,201,0.9905385665498091
1,hybrid,xgboost,0.05,51,0.8900855251431554
1,hybrid,xgboost,0.05,101,0.8914813569109045
1,hybrid,xgboost,0.05,201,0.8867439790404877
1,hybrid,xgboost,0.1,51,0.9348386814403888
1,hybrid,xgboost,0.1,101,0.9371978707434961
1,hybrid,xgboost,0.1,201,0.9388347717752472
1,hybrid,xgboost,0.2,51,0.9725791855203619
1,hybrid,xgboost,0.2,101,0.9750406961040063
1,hybrid,xgboost,0.2,201,0.9747716302040282
1,hybrid,randomforest,0.05,51,0.725129528002964
1,hybrid,randomforest,0.05,101,0.7212890379140696
1,hybrid,randomforest,0.05,201,0.724622989082256
1,hybrid,randomforest,0.1,51,0.7515837104072397
1,hybrid,randomforest,0.1,101,0.7593055288744323
1,hybrid,randomforest,0.1,201,0.7556999165821358
1,hybrid,randomforest,0.2,51,0.8847963800904977
1,hybrid,randomforest,0.2,101,0.8929722741075252
1,hybrid,randomforest,0.2,201,0.8965330482331961
2,random,maxent,0.05,51,0.864524886877828
2,random,maxent,0.05,101,0.8815911706113688
2,random,maxent,0.05,201,0.8853986216758205
2,random,maxent,0.1,51,0.9239819004524887
2,random,maxent,0.1,101,0.926974161256584
2,random,maxent,0.1,201,0.9284358699628052
2,random,maxent,0.2,51,0.9731894389241652
2,random,maxent,0.2,101,0.9766975928971293
2,random,maxent,0.2,201,0.9782616968008461
2,random,xgboost,0.05,51,0.8869380295111716
2,random,xgboost,0.05,101,0.8679501331183963
2,random,xgboost,0.05,201,0.8647165876536814
2,random,xgboost,0.1,51,0.9628054298642533
2,random,xgboost,0.1,101,0.9578207998126262
2,random,xgboost,0.1,201,0.9562660846532279
2,random,xgboost,0.2,51,0.9771945701357466
2,random,xgboost,0.2,101,0.9783429771240582
2,random,xgboost,0.2,201,0.9776136965318875
2,random,randomforest,0.05,51,0.6711966968937736
2,random,randomforest,0.05,101,0.6970850780422171
2,random,randomforest,0.05,201,0.7237675306522287
2,random,randomforest,0.1,51,0.9464253393665157
2,random,randomforest,0.1,101,0.9569218314595944
2,random,randomforest,0.1,201,0.9553050252887157
2,random,randomforest,0.2,51,0.992760180995475
2,random,randomforest,0.2,101,0.9946971307471726
2,random,randomforest,0.2,201,0.9951621823416456
2,tgb,maxent,0.05,51,0.9339125321967661
2,tgb,maxent,0.05,101,0.9334416624599925
2,tgb,maxent,0.05,201,0.9375167403225574
2,tgb,maxent,0.1,51,0.9607239819004524
2,tgb,maxent,0.1,101,0.9623788210514692
2,tgb,maxent,0.1,201,0.9638674664001982
2,tgb,maxent,0.2,51,0.9929411764705881
2,tgb,maxent,0.2,101,0.9935701805474664
2,tgb,maxent,0.2,201,0.9936954959664802
2,tgb,xgboost,0.05,51,0.8846554151778693
2,tgb,xgboost,0.05,101,0.8803953745185679
2,tgb,xgboost,0.05,201,0.87766445340113
2,tgb,xgboost,0.1,51,0.9063348416289593
2,tgb,xgboost,0.1,101,0.9099788292032973
2,tgb,xgboost,0.1,201,0.9088895958103574
2,tgb,xgboost,0.2,51,0.955656108597285
2,tgb,xgboost,0.2,101,0.9566944382523344
2,tgb,xgboost,0.2,201,0.9546351114106503
2,tgb,randomforest,0.05,51,0.32321519301934043
2,tgb,randomforest,0.05,101,0.41934114242060755
2,tgb,randomforest,0.05,201,0.43132509480459685
2,tgb,randomforest,0.1,51,0.6114580530066331
2,tgb,randomforest,0.1,101,0.6146946131803505
2,tgb,randomforest,0.1,201,0.6446213166287416
2,tgb,randomforest,0.2,51,0.9929411764705881
2,tgb,randomforest,0.2,101,0.9959551425643351
2,tgb,randomforest,0.2,201,0.9968708391777387
2,hybrid,maxent,0.05,51,0.9598859705164977
2,hybrid,maxent,0.05,101,0.9601246379095494
2,hybrid,maxent,0.05,201,0.9623308876492014
2,hybrid,maxent,0.1,51,0.9816511688297224
2,hybrid,maxent,0.1,101,0.9832584443454223
2,hybrid,maxent,0.1,201,0.9833681162521274
2,hybrid,maxent,0.2,51,0.9938461538461538
2,hybrid,maxent,0.2,101,0.9950524026029453
2,hybrid,maxent,0.2,201,0.9951850734005288
2,hybrid,xgboost,0.05,51,0.8946558676972713
2,hybrid,xgboost,0.05,101,0.8982736932826283
2,hybrid,xgboost,0.05,201,0.8952101793440651
2,hybrid,xgboost,0.1,51,0.943798362883111
2,hybrid,xgboost,0.1,101,0.9457450123687551
2,hybrid,xgboost,0.1,201,0.9465185838101904
2,hybrid,xgboost,0.2,51,0.9868319843580038
2,hybrid,xgboost,0.2,101,0.9874896621480891
2,hybrid,xgboost,0.2,201,0.9878671650302883
2,hybrid,randomforest,0.05,51,0.4347262373200186
2,hybrid,randomforest,0.05,101,0.45419006042093424
2,hybrid,randomforest,0.05,201,0.4317173245678214
2,hybrid,randomforest,0.1,51,0.593809396947383
2,hybrid,randomforest,0.1,101,0.6478107043016001
2,hybrid,randomforest,0.1,201,0.6494688409807685
2,hybrid,randomforest,0.2,51,0.9907692307692307
2,hybrid,randomforest,0.2,101,0.993523587652883
2,hybrid,randomforest,0.2,201,0.9943231776620546
3,random,maxent,0.05,51,0.9292033417337958
3,random,maxent,0.05,101,0.9212427598728943
3,random,maxent,0.05,201,0.9165081757910579
3,random,maxent,0.1,51,0.9345701357466063
3,random,maxent,0.1,101,0.9364469216636497
3,random,maxent,0.1,201,0.938803964694935
3,random,maxent,0.2,51,0.9847058823529411
3,random,maxent,0.2,101,0.9833866726502751
3,random,maxent,0.2,201,0.9839887778552349
3,random,xgboost,0.05,51,0.7322503288188379
3,random,xgboost,0.05,101,0.7535251880247037
3,random,xgboost,0.05,201,0.7399341565314236
3,random,xgboost,0.1,51,0.8359276018099547
3,random,xgboost,0.1,101,0.8287526427201869
3,random,xgboost,0.1,201,0.8333968161025054
3,random,xgboost,0.2,51,0.8589787101454145
3,random,xgboost,0.2,101,0.8546634207151825
3,random,xgboost,0.2,201,0.8582513970767947
3,random,randomforest,0.05,51,0.7783157616910155
3,random,randomforest,0.05,101,0.8073457559828057
3,random,randomforest,0.05,201,0.8437494691985241
3,random,randomforest,0.1,51,0.9613339670778764
3,random,randomforest,0.1,101,0.9657626595825115
3,random,randomforest,0.1,201,0.9665444676770553
3,random,randomforest,0.2,51,0.9917647058823529
3,random,randomforest,0.2,101,0.9926586856730665
3,random,randomforest,0.2,201,0.9939215936207175
3,tgb,maxent,0.05,51,0.9172850678733031
3,tgb,maxent,0.05,101,0.9218341399931534
3,tgb,maxent,0.05,201,0.9248933880731836
3,tgb,maxent,0.1,51,0.9522171945701356
3,tgb,maxent,0.1,101,0.9571689828137162
3,tgb,maxent,0.1,201,0.9580938581535636
3,tgb,maxent,0.2,51,0.9826244343891402
3,tgb,maxent,0.2,101,0.9831333721607455
3,tgb,maxent,0.2,201,0.9852456612009094
3,tgb,xgboost,0.05,51,0.8072597502825294
3,tgb,xgboost,0.05,101,0.8104693605897122
3,tgb,xgboost,0.05,201,0.8057959882840806
3,tgb,xgboost,0.1,51,0.8775256259326858
3,tgb,xgboost,0.1,101,0.8796743092106186
3,tgb,xgboost,0.1,201,0.8788201997080057
3,tgb,xgboost,0.2,51,0.9512217194570135
3,tgb,xgboost,0.2,101,0.9559084330513246
3,tgb,xgboost,0.2,201,0.958218636847199
3,tgb,randomforest,0.05,51,0.6877491267375825
3,tgb,randomforest,0.05,101,0.7029064265437439
3,tgb,randomforest,0.05,201,0.7144977443312003
3,tgb,randomforest,0.1,51,0.9269892986376738
3,tgb,randomforest,0.1,101,0.9526699418238487
3,tgb,randomforest,0.1,201,0.9561438800417482
3,tgb,randomforest,0.2,51,0.9917647058823529
3,tgb,randomforest,0.2,101,0.9941991846243448
3,tgb,randomforest,0.2,201,0.995306260499644
3,hybrid,maxent,0.05,51,0.9227358087386236
3,hybrid,maxent,0.05,101,0.9235984112264464
3,hybrid,maxent,0.05,201,0.9214924137063049
3,hybrid,maxent,0.1,51,0.9494117647058822
3,hybrid,maxent,0.1,101,0.939647465488741
3,hybrid,maxent,0.1,201,0.939155145635452
3,hybrid,maxent,0.2,51,0.980384171838516
3,hybrid,maxent,0.2,101,0.9814875757249256
3,hybrid,maxent,0.2,201,0.9821923826535169
3,hybrid,xgboost,0.05,51,0.8586425339366515
3,hybrid,xgboost,0.05,101,0.8435649908435091
3,hybrid,xgboost,0.05,201,0.8500324372067921
3,hybrid,xgboost,0.1,51,0.8912217194570136
3,hybrid,xgboost,0.1,101,0.8827250013254041
3,hybrid,xgboost,0.1,201,0.878138834520099
3,hybrid,xgboost,0.2,51,0.9388235294117647
3,hybrid,xgboost,0.2,101,0.9329407859260496
3,hybrid,xgboost,0.2,201,0.9343180193620225
3,hybrid,randomforest,0.05,51,0.5318128359187353
3,hybrid,randomforest,0.05,101,0.6087908707024413
3,hybrid,randomforest,0.05,201,0.620794151459385
3,hybrid,randomforest,0.1,51,0.8849773755656108
3,hybrid,randomforest,0.1,101,0.8885349112877258
3,hybrid,randomforest,0.1,201,0.8953137145412666
3,hybrid,randomforest,0.2,51,0.9893212669683258
3,hybrid,randomforest,0.2,101,0.9911240535818286
3,hybrid,randomforest,0.2,201,0.9917175170512041
4,random,maxent,0.05,51,0.8634389140271492
4,random,maxent,0.05,101,0.8780475020689105
4,random,maxent,0.05,201,0.8801931457659511
4,random,maxent,0.1,51,0.9144796380090496
4,random,maxent,0.1,101,0.9171515268153618
4,random,maxent,0.1,201,0.9188406771676841
4,random,maxent,0.2,51,0.9704977375565611
4,random,maxent,0.2,101,0.9720792079207919
4,random,maxent,0.2,201,0.9736064140848821
4,random,xgboost,0.05,51,0.8686877828054299
4,random,xgboost,0.05,101,0.8520033898791989
4,random,xgboost,0.05,201,0.8622698168244084
4,random,xgboost,0.1,51,0.9315595377845255
4,random,xgboost,0.1,101,0.9290910255895816
4,random,xgboost,0.1,201,0.9296241290643084
4,random,xgboost,0.2,51,0.9701576961237783
4,random,xgboost,0.2,101,0.9698191010454216
4,random,xgboost,0.2,201,0.970041580709335
4,random,randomforest,0.05,51,0.4708439666246281
4,random,randomforest,0.05,101,0.5364842247631771
4,random,randomforest,0.05,201,0.5474487543130319
4,random,randomforest,0.1,51,0.8056108597285067
4,random,randomforest,0.1,101,0.8142039266528693
4,random,randomforest,0.1,201,0.8399046245105356
4,random,randomforest,0.2,51,0.9752036199095022
4,random,randomforest,0.2,101,0.9786516559495658
4,random,randomforest,0.2,201,0.9792418479187084
4,tgb,maxent,0.05,51,0.8851331480353185
4,tgb,maxent,0.05,101,0.8845472865747038
4,tgb,maxent,0.05,201,0.8905463889027564
4,tgb,maxent,0.1,51,0.9343650311221968
4,tgb,maxent,0.1,101,0.9338753687779389
4,tgb,maxent,0.1,201,0.9361538944717888
4,tgb,maxent,0.2,51,0.9695927601809954
4,tgb,maxent,0.2,101,0.973150531813624
4,tgb,maxent,0.2,201,0.9750270433906533
4,tgb,xgboost,0.05,51,0.8358675027446358
4,tgb,xgboost,0.05,101,0.8586164226198012
4,tgb,xgboost,0.05,201,0.8672367264164553
4,tgb,xgboost,0.1,51,0.9263105502495275
4,tgb,xgboost,0.1,101,0.9350856606908312
4,tgb,xgboost,0.1,201,0.9379780838950453
4,tgb,xgboost,0.2,51,0.9786425339366516
4,tgb,xgboost,0.2,101,0.9794525334886429
4,tgb,xgboost,0.2,201,0.9791276829332779
4,tgb,randomforest,0.05,51,0.4440928952944518
4,tgb,randomforest,0.05,101,0.5150904713307077
4,tgb,randomforest,0.05,201,0.5275162161436923
4,tgb,randomforest,0.1,51,0.5254582619267779
4,tgb,randomforest,0.1,101,0.5786866274775069
4,tgb,randomforest,0.1,201,0.6061467145693736
4,tgb,randomforest,0.2,51,0.9944796380090498
4,tgb,randomforest,0.2,101,0.9958998252766452
4,tgb,randomforest,0.2,201,0.9964397034582412
4,hybrid,maxent,0.05,51,0.8959026224605732
4,hybrid,maxent,0.05,101,0.9041054403498728
4,hybrid,maxent,0.05,201,0.9128372647375053
4,hybrid,maxent,0.1,51,0.9457918552036199
4,hybrid,maxent,0.1,101,0.9497146185206755
4,hybrid,maxent,0.1,201,0.9522223741101414
4,hybrid,maxent,0.2,51,0.9833254148538166
4,hybrid,maxent,0.2,101,0.9846154742554616
4,hybrid,maxent,0.2,201,0.981691913149546
4,hybrid,xgboost,0.05,51,0.8807891583511821
4,hybrid,xgboost,0.05,101,0.8759053094091152
4,hybrid,xgboost,0.05,201,0.8734125446815175
4,hybrid,xgboost,0.1,51,0.9234389140271494
4,hybrid,xgboost,0.1,101,0.9225791797851257
4,hybrid,xgboost,0.1,201,0.9176279607907196
4,hybrid,xgboost,0.2,51,0.9643422789184436
4,hybrid,xgboost,0.2,101,0.9672128760958154
4,hybrid,xgboost,0.2,201,0.9678578210597518
4,hybrid,randomforest,0.05,51,0.30659159821539833
4,hybrid,randomforest,0.05,101,0.3558497513389431
4,hybrid,randomforest,0.05,201,0.37690446620791
4,hybrid,randomforest,0.1,51,0.6251244482114883
4,hybrid,randomforest,0.1,101,0.6293241573712387
4,hybrid,randomforest,0.1,201,0.6523573015108327
4,hybrid,randomforest,0.2,51,0.9867873303167422
4,hybrid,randomforest,0.2,101,0.990215492137449
4,hybrid,randomforest,0.2,201,0.990873708575853
