seed,hard_frac,zdist_mean,algorithm,auc_own,auc_common,tss_common,boyce
0,0.0,2.0935819335034522,maxent,0.6736598103021467,0.667837228787185,0.3502493428637422,0.6063171115012927
0,0.0,2.0935819335034522,xgboost,0.6863906336515815,0.6870125796524972,0.3554653615851112,0.35376266899190656
0,0.0,2.0935819335034522,randomforest,0.6902633724280094,0.6886342022083705,0.37783542176788826,0.460254045908915
0,0.1,2.1663466677664434,maxent,0.6882346162403373,0.6547796048714778,0.3627438589476487,0.4776055554898746
0,0.1,2.1663466677664434,xgboost,0.742292874819665,0.7232158470624969,0.40888550161660725,0.5760428430336766
0,0.1,2.1663466677664434,randomforest,0.7231788004747047,0.7041887282680759,0.4123784946942,0.4961953322733633
0,0.2,2.264763492847868,maxent,0.687960770368848,0.6539815970173738,0.33677364015326083,0.6602379683992795
0,0.2,2.264763492847868,xgboost,0.7318139821000668,0.7128313270795283,0.39922106388897216,0.580175062222265
0,0.2,2.264763492847868,randomforest,0.7258359440169305,0.7080014014700995,0.4100670327195651,0.578472995249539
0,0.3,2.3225569903312278,maxent,0.708268239130564,0.6428467854676007,0.30763057017252715,0.6781644891539401
0,0.3,2.3225569903312278,xgboost,0.7766059633965179,0.7282330652798528,0.4319267654472271,0.6451966324014925
0,0.3,2.3225569903312278,randomforest,0.7580942728246073,0.7090448805229737,0.4197838368648782,0.5602934521323604
0,0.4,2.3961861541269185,maxent,0.7097399235252397,0.6547892245679436,0.3326720812573468,0.6253516154257623
0,0.4,2.3961861541269185,xgboost,0.7344216834823092,0.690237348086679,0.3685542266700474,0.5283397741600078
0,0.4,2.3961861541269185,randomforest,0.7473761514323932,0.6932431342338586,0.4000488054125745,0.5032729500491862
0,0.5,2.508675404776351,maxent,0.7150160440372024,0.6343351812447008,0.3158350231647038,0.5416877913101069
0,0.5,2.508675404776351,xgboost,0.7656395634624585,0.6980370199107517,0.37825167274318894,0.5959834627474845
0,0.5,2.508675404776351,randomforest,0.7644032804747937,0.6815024965957704,0.36428911266599084,0.5263408626535265
0,0.6,2.5152645368693585,maxent,0.757418977715772,0.656999264013481,0.3442991420514192,0.5822744401379261
0,0.6,2.5152645368693585,xgboost,0.7708200000012045,0.6908365114783815,0.3556915792080889,0.6456205848477035
0,0.6,2.5152645368693585,randomforest,0.7706605856179338,0.6834230714234548,0.38552064876847547,0.5375472935255893
0,0.7,2.575163946304605,maxent,0.7605225528604271,0.6444343541433893,0.2970577861221037,0.607474426665917
0,0.7,2.575163946304605,xgboost,0.7868632951169394,0.6737870405948334,0.3163719147829006,0.4815558292244275
0,0.7,2.575163946304605,randomforest,0.7807167808441268,0.6634687509852515,0.33551624039409556,0.4944710160854946
0,0.8,2.698334704961815,maxent,0.771302534833461,0.6173148542604358,0.26998397901089577,0.48658514307633577
0,0.8,2.698334704961815,xgboost,0.8008470639092689,0.6585809822230176,0.3090855257688926,0.5717120203193653
0,0.8,2.698334704961815,randomforest,0.8060661236687418,0.652636227642768,0.3113690933154899,0.4815617551432746
0,0.9,2.72526765981134,maxent,0.8041900119708348,0.6061396752211754,0.2639000115371803,0.49593664340936383
0,0.9,2.72526765981134,xgboost,0.8273433289334472,0.6485531974112154,0.30129579599483575,0.4355034050807863
0,0.9,2.72526765981134,randomforest,0.8235923468910171,0.6415049939774127,0.28979308345176913,0.47088620738169834
0,1.0,2.786358356371961,maxent,0.7963888158202673,0.5426615994228116,0.16099006594912985,-0.06765219330037771
0,1.0,2.786358356371961,xgboost,0.8573459088277747,0.6163133246919588,0.2558141813322966,0.20921373151209405
0,1.0,2.786358356371961,randomforest,0.848429617340814,0.6352765725055278,0.27427487046451143,0.4135011677327241
1,0.0,2.0965868536894736,maxent,0.6862753301254549,0.6587528591633592,0.32618086504063737,0.5560345306802728
1,0.0,2.0965868536894736,xgboost,0.7401639932955555,0.7160587069895784,0.401120343682169,0.49439478500951495
1,0.0,2.0965868536894736,randomforest,0.7263789552904167,0.7079813597190802,0.401570844723833,0.59492571584607
1,0.1,2.1762902861525966,maxent,0.6980970340797339,0.6613783879181049,0.35109127891523384,0.6624977696258088
1,0.1,2.1762902861525966,xgboost,0.7119206729548151,0.6959234517194223,0.3853724696701828,0.37248642619114014
1,0.1,2.1762902861525966,randomforest,0.7157882141625846,0.7024222101684141,0.40490011138932047,0.6183670060493014
1,0.2,2.2649210031770552,maxent,0.6897957104096625,0.666163326793443,0.333221788177076,0.624022343586792
1,0.2,2.2649210031770552,xgboost,0.7517693227616256,0.7280050872964754,0.4635967449812,0.48002840309514105
