filename,title,lang,total_words,unique_words,ttr,guiraud,mean_word_length,hapax_ratio,hapax_count,sanskrit_phon_ratio,sanskrit_sem_ratio,sanskrit_sem_count,indigenous_count,formulaic_ratio,nf_ttr,nf_guiraud,nf_word_count,year_ce,century
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",omy-Latn,119,107,0.8991596638655462,9.808673918201862,6.605042016806722,0.8319327731092437,99,0.6448598130841121,0.205607476635514,22,0,0.1092436974789916,0.8867924528301887,9.130087106158284,106,1286.0,13.0
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",omy-Latn,234,135,0.5769230769230769,8.82522608121828,5.547008547008547,0.3888888888888889,91,0.5851851851851851,0.037037037037037035,5,2,0.029914529914529916,0.5682819383259912,8.562030719639639,227,686.0,7.0
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",omy-Latn,243,177,0.7283950617283951,11.35455529406264,5.407407407407407,0.6172839506172839,150,0.632768361581921,0.04519774011299435,8,1,0.024691358024691357,0.7215189873417721,11.107643622093889,237,684.0,7.0
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",omy-Latn,237,196,0.8270042194092827,12.731568128247966,6.248945147679325,0.7088607594936709,168,0.6173469387755102,0.02040816326530612,4,0,0.004219409282700422,0.826271186440678,12.693418820630328,236,1356.0,14.0
DHARMA_INSIDENK00351.xml,"Foundation of Sarungga's Hermitage (N. 351), 823 Śaka",kaw-Latn,16,16,1.0,4.0,4.6875,1.0,16,0.625,0.3125,5,0,0.3125,1.0,3.3166247903554,11,901.0,10.0
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,819,468,0.5714285714285714,16.353243452861925,5.694749694749695,0.4432234432234432,363,0.43803418803418803,0.04487179487179487,21,5,0.018315018315018316,0.5659203980099502,16.04661276078311,804,1037.0,11.0
DHARMA_INSIDENKAbhayananda.xml,Abhayananda (779 Śaka),kaw-Latn,34,34,1.0,5.8309518948453,4.647058823529412,1.0,34,0.47058823529411764,0.14705882352941177,5,1,0.08823529411764706,1.0,5.567764362830022,31,857.0,9.0
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,1453,957,0.6586373021335169,25.106092848983405,6.0605643496214725,0.5650378527185134,821,0.4482758620689655,0.03343782654127482,32,4,0.011011699931176875,0.6555323590814196,24.84977831399502,1437,1301.0,14.0
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,274,184,0.6715328467153284,11.115846517275257,5.37956204379562,0.5693430656934306,156,0.45652173913043476,0.03260869565217391,6,1,0.0,0.6715328467153284,11.115846517275257,274,1286.0,13.0
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,330,266,0.806060606060606,14.642818076180596,5.887878787878788,0.7090909090909091,234,0.42857142857142855,0.015037593984962405,4,3,0.0030303030303030303,0.8054711246200608,14.609922930129239,329,928.0,10.0
