population_label,population_n,concentration_factor,heartland_density_pct,rpp_nap,threshold,alpha,nap_rise_pp,detects
central,1270000,1.0,18.1,2.0,0.175,0.55,16.88,False
central,1270000,1.0,18.1,2.0,0.175,0.7,21.48,True
central,1270000,1.0,18.1,2.0,0.2,0.4,12.28,False
central,1270000,1.0,18.1,2.0,0.2,0.55,16.88,False
central,1270000,1.0,18.1,2.0,0.2,0.7,21.48,True
central,1270000,1.0,18.1,3.0,0.15,0.4,15.96,True
central,1270000,1.0,18.1,3.0,0.15,0.55,21.95,True
central,1270000,1.0,18.1,3.0,0.15,0.7,27.94,True
central,1270000,1.0,18.1,3.0,0.175,0.4,15.96,False
central,1270000,1.0,18.1,3.0,0.175,0.55,21.95,True
central,1270000,1.0,18.1,3.0,0.175,0.7,27.94,True
central,1270000,1.0,18.1,3.0,0.2,0.4,15.96,False
central,1270000,1.0,18.1,3.0,0.2,0.55,21.95,True
central,1270000,1.0,18.1,3.0,0.2,0.7,27.94,True
central,1270000,1.0,18.1,4.0,0.15,0.4,18.79,True
central,1270000,1.0,18.1,4.0,0.15,0.55,25.83,True
central,1270000,1.0,18.1,4.0,0.15,0.7,32.87,True
central,1270000,1.0,18.1,4.0,0.175,0.4,18.79,True
central,1270000,1.0,18.1,4.0,0.175,0.55,25.83,True
central,1270000,1.0,18.1,4.0,0.175,0.7,32.87,True
central,1270000,1.0,18.1,4.0,0.2,0.4,18.79,False
central,1270000,1.0,18.1,4.0,0.2,0.55,25.83,True
central,1270000,1.0,18.1,4.0,0.2,0.7,32.87,True
central,1270000,2.0,36.3,2.0,0.15,0.4,21.28,True
central,1270000,2.0,36.3,2.0,0.15,0.55,29.27,True
central,1270000,2.0,36.3,2.0,0.15,0.7,37.25,True
central,1270000,2.0,36.3,2.0,0.175,0.4,21.28,True
central,1270000,2.0,36.3,2.0,0.175,0.55,29.27,True
central,1270000,2.0,36.3,2.0,0.175,0.7,37.25,True
central,1270000,2.0,36.3,2.0,0.2,0.4,21.28,True
central,1270000,2.0,36.3,2.0,0.2,0.55,29.27,True
central,1270000,2.0,36.3,2.0,0.2,0.7,37.25,True
central,1270000,2.0,36.3,3.0,0.15,0.4,25.22,True
central,1270000,2.0,36.3,3.0,0.15,0.55,34.67,True
central,1270000,2.0,36.3,3.0,0.15,0.7,44.13,True
central,1270000,2.0,36.3,3.0,0.175,0.4,25.22,True
central,1270000,2.0,36.3,3.0,0.175,0.55,34.67,True
central,1270000,2.0,36.3,3.0,0.175,0.7,44.13,True
central,1270000,2.0,36.3,3.0,0.2,0.4,25.22,True
central,1270000,2.0,36.3,3.0,0.2,0.55,34.67,True
central,1270000,2.0,36.3,3.0,0.2,0.7,44.13,True
central,1270000,2.0,36.3,4.0,0.15,0.4,27.78,True
central,1270000,2.0,36.3,4.0,0.15,0.55,38.2,True
central,1270000,2.0,36.3,4.0,0.15,0.7,48.62,True
central,1270000,2.0,36.3,4.0,0.175,0.4,27.78,True
central,1270000,2.0,36.3,4.0,0.175,0.55,38.2,True
central,1270000,2.0,36.3,4.0,0.175,0.7,48.62,True
central,1270000,2.0,36.3,4.0,0.2,0.4,27.78,True
central,1270000,2.0,36.3,4.0,0.2,0.55,38.2,True
central,1270000,2.0,36.3,4.0,0.2,0.7,48.62,True
central,1270000,4.0,72.5,2.0,0.15,0.4,33.62,True
central,1270000,4.0,72.5,2.0,0.15,0.55,46.23,True
central,1270000,4.0,72.5,2.0,0.15,0.7,58.84,True
central,1270000,4.0,72.5,2.0,0.175,0.4,33.62,True
central,1270000,4.0,72.5,2.0,0.175,0.55,46.23,True
central,1270000,4.0,72.5,2.0,0.175,0.7,58.84,True
central,1270000,4.0,72.5,2.0,0.2,0.4,33.62,True
central,1270000,4.0,72.5,2.0,0.2,0.55,46.23,True
central,1270000,4.0,72.5,2.0,0.2,0.7,58.84,True
central,1270000,4.0,72.5,3.0,0.15,0.4,35.51,True
central,1270000,4.0,72.5,3.0,0.15,0.55,48.83,True
central,1270000,4.0,72.5,3.0,0.15,0.7,62.14,True
central,1270000,4.0,72.5,3.0,0.175,0.4,35.51,True
central,1270000,4.0,72.5,3.0,0.175,0.55,48.83,True
central,1270000,4.0,72.5,3.0,0.175,0.7,62.14,True
central,1270000,4.0,72.5,3.0,0.2,0.4,35.51,True
central,1270000,4.0,72.5,3.0,0.2,0.55,48.83,True
central,1270000,4.0,72.5,3.0,0.2,0.7,62.14,True
central,1270000,4.0,72.5,4.0,0.15,0.4,36.54,True
central,1270000,4.0,72.5,4.0,0.15,0.55,50.24,True
central,1270000,4.0,72.5,4.0,0.15,0.7,63.94,True
central,1270000,4.0,72.5,4.0,0.175,0.4,36.54,True
central,1270000,4.0,72.5,4.0,0.175,0.55,50.24,True
central,1270000,4.0,72.5,4.0,0.175,0.7,63.94,True
central,1270000,4.0,72.5,4.0,0.2,0.4,36.54,True
central,1270000,4.0,72.5,4.0,0.2,0.55,50.24,True
central,1270000,4.0,72.5,4.0,0.2,0.7,63.94,True
