cfg_seed,region_blend,hard_frac_target,hard_frac_actual,n_presences,n_pseudoabsences,pa_zdist_mean,pa_road_mean_m,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,best_auc
375,0.0,0.3,0.6190476190476191,378,1890,2.3330287950627717,433.8817663687247,0.7683274718090318,0.06945780607056873,0.5071691403363339,0.7418760566615134,0.0699586178242535,0.45777043685285734,0.7683274718090318
1041,0.5,0.3,0.6132275132275132,378,1890,2.3155922889168647,467.6104706476605,0.7598593720552159,0.06432451283628379,0.5110725930520317,0.7438116264936583,0.06874714020338729,0.4459809147939072,0.7598593720552159
1263,0.7,0.15,0.5370370370370371,378,1890,2.2123358031621136,449.8793791876899,0.7564584046059558,0.0897015098398559,0.49952228168316537,0.7321117622880007,0.07985915234529829,0.4223031409555496,0.7564584046059558
486,0.3,0.0,0.4671957671957672,378,1890,2.1301000029075547,435.65123664311,0.7534584063460772,0.08190208870080312,0.47095704560062285,0.7366289614333227,0.0729570339059471,0.4302126520027717,0.7534584063460772
708,0.3,0.3,0.6169312169312169,378,1890,2.3047670170289285,474.24449931755265,0.7467116423737276,0.0631721991980617,0.45507459633598746,0.7340395384833428,0.07678823245781363,0.44698523361882775,0.7467116423737276
1374,0.7,0.3,0.6132275132275132,378,1890,2.302097587440249,527.2269723185786,0.742876117308638,0.07209736262163377,0.442360029569872,0.741367465672269,0.0677858803584995,0.44985995092712694,0.742876117308638
264,0.0,0.15,0.5555555555555556,378,1890,2.2391635238731475,453.01313698279165,0.7398365374434132,0.05517409160896101,0.43827293966398234,0.7295158873602767,0.07698178581939286,0.4419977944278008,0.7398365374434132
153,0.0,0.0,0.4507936507936508,378,1890,2.1066072964712523,440.36032835137905,0.7382125855816632,0.06493247645370573,0.45834785684699436,0.7364829401320919,0.08919556185473879,0.43854617690222053,0.7382125855816632
597,0.3,0.15,0.5375661375661376,378,1890,2.2377730323076506,449.6952466520683,0.7349572398459022,0.06837687843374927,0.4430573029937551,0.7186678069252836,0.06534025817836277,0.4138896429940764,0.7349572398459022
930,0.5,0.15,0.5417989417989418,378,1890,2.2280010777616472,459.79869031048327,0.7323941090693267,0.07878463147834337,0.4408786642634812,0.715926965739776,0.08201439010533602,0.42244086859541097,0.7323941090693267
1152,0.7,0.0,0.45396825396825397,378,1890,2.1057782886512935,443.94011007440156,0.7209196669224954,0.08969901548006884,0.4195507536445506,0.7134807174907232,0.08794660501564175,0.38655867907548236,0.7209196669224954
819,0.5,0.0,0.46084656084656084,378,1890,2.1085273631449115,420.3467752698868,0.7116220386119669,0.07773541247278351,0.39230584292757703,0.7065671335815201,0.07463172405371586,0.3873057149871866,0.7116220386119669
