cx,cy,mean_suitability,site_count,cell_area_km2,predicted_count,residual,residual_density,dist_to_volcano_km,nearest_volcano
501443.46289971133,9246919.398341302,0.7257805557643789,0,626.0832539287221,2.016705360458179,-2.016705360458179,-3.2211456668153837,188.88094608669314,Kelud
526434.4548051511,9246919.398341302,0.7909365218294222,0,626.0832539287221,2.1977523518463893,-2.1977523518463893,-3.5103196548627023,170.78187512578126,Kelud
551425.4467105907,9246919.398341302,0.8187329477492843,0,626.0832539287221,2.2749894736030143,-2.2749894736030143,-3.6336852316800914,154.61560497306584,Kelud
576416.4386160304,9246919.398341302,0.7996578844989868,0,626.0832539287221,2.2219861491099255,-2.2219861491099255,-3.54902664328871,140.64830736046025,Arjuno-Welirang
601407.4305214703,9246919.398341302,0.7482056175745982,1,626.0832539287221,2.0790172286972575,-1.0790172286972575,-1.7234404880282912,124.6763365133158,Arjuno-Welirang
626398.4224269099,9246919.398341302,0.6985747631939709,7,626.0832539287251,1.941109414443242,5.0588905855567585,8.080220248364407,112.05146479290745,Arjuno-Welirang
651389.4143323496,9246919.398341302,0.7179113578966477,1,626.0832539287221,1.9948394487906422,-0.9948394487906422,-1.5889890722167472,103.9998653409046,Arjuno-Welirang
676380.4062377894,9246919.398341302,0.693288425982441,0,626.0832539287221,1.9264204226990995,-1.9264204226990995,-3.0769397050802083,101.61452933735366,Arjuno-Welirang
701371.3981432291,9246919.398341302,0.7014561221808551,0,626.0832539287221,1.9491157630125195,-1.9491157630125195,-3.1131894213455853,105.2813017910257,Arjuno-Welirang
726362.3900486687,9246919.398341302,0.7018722390942366,0,626.0832539287221,1.9502720149996093,-1.9502720149996093,-3.115036223635591,114.41980507765976,Arjuno-Welirang
751353.3819541085,9246919.398341302,0.7101777505503515,0,626.0832539287193,1.9733502985687428,-1.9733502985687428,-3.151897588996067,127.86215403332528,Arjuno-Welirang
776344.3738595482,9246919.398341302,0.711895387625581,0,626.0832539287221,1.97812304684565,-1.97812304684565,-3.1595207736874786,130.66236807147186,Lamongan
801335.3657649879,9246919.398341302,0.715101534101413,0,626.0832539287251,1.9870318729816916,-1.9870318729816916,-3.1737502329169476,136.38202110519788,Lamongan
826326.3576704275,9246919.398341302,0.7210906245685939,0,626.0832539287221,2.003673584795963,-2.003673584795963,-3.2003309020369928,146.20723745515468,Lamongan
851317.3495758674,9246919.398341302,0.6991029114604724,0,626.0832539287221,1.9425769646989088,-1.9425769646989088,-3.102745445608207,147.17196281372597,Raung
876308.341481307,9246919.398341302,0.699097637088308,0,626.0832539287251,1.9425623089540935,-1.9425623089540935,-3.1027220369884545,151.94061274161024,Raung
893480.0659807504,9246919.398341302,0.6967716233391243,0,234.7812202232719,1.9360990820748096,-1.9360990820748096,-8.246396710237816,157.44851255547397,Raung
501443.46289971133,9221928.406435862,0.8363676159888586,0,626.0832539287221,2.323990414295337,-2.323990414295337,-3.7119510859172684,173.54395310433767,Kelud
526434.4548051511,9221928.406435862,0.8890771945367418,0,626.0832539287221,2.4704529900157004,-2.4704529900157004,-3.94588575003949,153.64875767787456,Kelud
551425.4467105907,9221928.406435862,0.8802288235077438,0,626.0832539287221,2.4458662783109344,-2.4458662783109344,-3.9066150754918443,135.45285956990136,Kelud
576416.4386160304,9221928.406435862,0.8453955266461971,1,626.0832539287221,2.3490760075532293,-1.3490760075532293,-2.1547869218473266,119.7335080426867,Kelud
601407.4305214703,9221928.406435862,0.8165909085728451,0,626.0832539287221,2.2690374515281237,-2.2690374515281237,-3.624178473533246,105.31672801740534,Arjuno-Welirang
