filename,title,lang,date_ce,century,lat,lon,geocode_method,confidence,geocode_note,nearest_volcano,volcano_dist_km
DHARMA_INSIDENKBorobudurHB125B.xml,"Relief label from Borobudur's hidden base, no. 125B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB126A.xml,"Relief label from Borobudur's hidden base, no. 126A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB126B.xml,"Relief label from Borobudur's hidden base, no. 126B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB127A.xml,"Relief label from Borobudur's hidden base, no. 127A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB127B.xml,"Relief label from Borobudur's hidden base, no. 127B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB128.xml,"Relief label from Borobudur's hidden base, no. 128 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB131A.xml,"Relief label from Borobudur's hidden base, no. 131A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB131B.xml,"Relief label from Borobudur's hidden base, no. 131B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB132.xml,"Relief label from Borobudur's hidden base, no. 132 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB133.xml,"Relief label from Borobudur's hidden base, no. 133 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB134A.xml,"Relief label from Borobudur's hidden base, no. 134A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB134B.xml,"Relief label from Borobudur's hidden base, no. 134B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB135A.xml,"Relief label from Borobudur's hidden base, no. 135A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB135B.xml,"Relief label from Borobudur's hidden base, no. 135B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB137.xml,"Relief label from Borobudur's hidden base, no. 137 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB138A.xml,"Relief label from Borobudur's hidden base, no. 138A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB138B.xml,"Relief label from Borobudur's hidden base, no. 138B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB139.xml,"Relief label from Borobudur's hidden base, no. 139 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB140.xml,"Relief label from Borobudur's hidden base, no. 140 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB141.xml,"Relief label from Borobudur's hidden base, no. 141 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB142.xml,"Relief label from Borobudur's hidden base, no. 142 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB144.xml,"Relief label from Borobudur's hidden base, no. 144 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB147.xml,"Relief label from Borobudur's hidden base, no. 147 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB148A.xml,"Relief label from Borobudur's hidden base, no. 148A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB148B.xml,"Relief label from Borobudur's hidden base, no. 148B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB149.xml,"Relief label from Borobudur's hidden base, no. 149 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB150A.xml,"Relief label from Borobudur's hidden base, no. 150A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB150B.xml,"Relief label from Borobudur's hidden base, no. 150B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB151.xml,"Relief label from Borobudur's hidden base, no. 151 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB152A.xml,"Relief label from Borobudur's hidden base, no. 152A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB152B.xml,"Relief label from Borobudur's hidden base, no. 152B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB153A.xml,"Relief label from Borobudur's hidden base, no. 153A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB153B.xml,"Relief label from Borobudur's hidden base, no. 153B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB154A.xml,"Relief label from Borobudur's hidden base, no. 154A (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB154B.xml,"Relief label from Borobudur's hidden base, no. 154B (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB154C.xml,"Relief label from Borobudur's hidden base, no. 154C (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBorobudurHB157.xml,"Relief label from Borobudur's hidden base, no. 157 (8th c. CE)",san-Latn,,,-7.61,110.2,known_location,high,"Borobudur, Magelang",Merapi,27.58
DHARMA_INSIDENKBromoSemeru2.xml,Bromo Semeru 2,kaw-Latn,,,-7.94,112.95,known_location,high,Bromo-Semeru area,Bromo,0.0
DHARMA_INSIDENKBromoSemeru4.xml,Bromo Semeru 4,kaw-Latn,,,-7.94,112.95,known_location,high,Bromo-Semeru area,Bromo,0.0
DHARMA_INSIDENKBromoSemeru6.xml,Bromo Semeru 6,kaw-Latn,,,-7.94,112.95,known_location,high,Bromo-Semeru area,Bromo,0.0
