Culture_ID,Name,Latitude,Longitude,island_type,is_volcanic,ritual_complexity,mortuary_index
mentawai,Mentawai,-1.4,98.9,mainland,0,1.0,0.6666666666666666
merina,Merina,-18.9,47.5,mainland,0,1.2727272727272727,1.6666666666666667
minahasa,Minahasa,1.3,124.9,mainland,0,1.2727272727272727,1.3333333333333333
moken,Moken,11.7,98.3,mainland,0,0.7272727272727273,1.6666666666666667
moriori,Moriori,-43.8,-176.5,volcanic_high,1,1.4444444444444444,1.0
mota,Mota,-13.8,167.7,volcanic_high,1,1.1818181818181819,1.0
motu,Motu,-9.5,147.1,mainland,0,0.7272727272727273,1.3333333333333333
mussau,Mussau,-1.4,149.6,continental,0,0.5,0.6666666666666666
nage,Nage,-8.7,121.2,continental,0,0.9090909090909091,1.3333333333333333
nendo,Nendo,-10.7,165.9,volcanic_high,1,0.5454545454545454,0.6666666666666666
ngaju,Ngaju,-1.7,114.0,mainland,0,1.0909090909090908,0.6666666666666666
nggela,Nggela,-9.1,160.2,volcanic_high,1,0.6363636363636364,0.6666666666666666
nguna,Nguna,-17.4,168.4,volcanic_high,1,1.0,1.0
nias,Nias,1.2,97.5,mainland,0,1.0909090909090908,1.0
niue,Niue,-19.1,-169.9,raised_atoll,0,1.6666666666666667,1.5
nuaulu,Nuaulu,-3.2,129.0,mainland,0,1.1818181818181819,2.0
nukuoro,Nukuoro,3.8,155.0,raised_atoll,0,1.0,0.6666666666666666
ontong-java,Ontong Java,-5.5,159.7,raised_atoll,0,0.5454545454545454,1.3333333333333333
paiwan,Paiwan,22.5,120.9,mainland,0,1.4545454545454546,2.0
palau,Palau,7.4,134.6,volcanic_high,1,1.3636363636363635,1.6666666666666667
palawan-batak,Palawan Batak,10.1,119.1,mainland,0,1.2727272727272727,1.3333333333333333
pukapuka,Pukapuka,-10.9,-165.8,raised_atoll,0,1.0909090909090908,1.3333333333333333
puyuma,Puyuma,22.8,121.1,mainland,0,1.3636363636363635,2.0
rapa-nui,Rapa Nui,-27.1,-109.4,volcanic_high,1,1.6363636363636365,1.3333333333333333
rarotonga,Rarotonga,-21.2,-159.8,volcanic_high,1,1.0909090909090908,1.0
rejang,Rejang,-3.4,102.8,mainland,0,1.5,1.5
rennell,Rennell,-11.6,160.3,raised_atoll,0,0.9090909090909091,1.3333333333333333
roti,Roti,-10.7,123.2,continental,0,1.0909090909090908,2.3333333333333335
rotuma,Rotuma,-12.5,177.1,volcanic_high,1,1.3,1.3333333333333333
roviana,Roviana,-8.1,157.5,volcanic_high,1,1.3636363636363635,2.0
saa,Sa'a,-9.6,161.5,,0,1.2,1.6666666666666667
sama-dilaut,Sama Dilaut (Tawi-Tawi),5.1,119.8,volcanic_high,1,0.8181818181818182,1.3333333333333333
samoan,Samoa,-13.9,-171.8,volcanic_high,1,1.0,1.0
savu,Savu,-10.5,121.9,continental,0,1.0909090909090908,1.0
simbo,Simbo,-8.3,156.5,volcanic_high,1,1.1818181818181819,1.3333333333333333
siraya,Siraya,22.9,120.4,,0,1.0,0.6666666666666666
small_islands,Small Islands,-16.1,167.5,volcanic_high,1,1.0909090909090908,1.6666666666666667
south_pentecost,South Pentecost,-15.9,168.2,volcanic_high,1,0.45454545454545453,0.6666666666666666
southern-toraja,Southern Toraja,-3.1,119.8,mainland,0,1.5454545454545454,2.0
subanun,Subanun,7.1,122.1,mainland,0,0.9090909090909091,1.3333333333333333
tagbanuwa,Tagbanuwa,9.5,118.4,mainland,0,1.1818181818181819,1.3333333333333333
tanala,Tanala,-20.9,47.6,mainland,0,0.9090909090909091,1.3333333333333333
tanimbar,Tanimbar,-7.5,131.5,continental,0,1.5,2.5
tanna,Tanna,-19.5,169.4,volcanic_high,1,1.3636363636363635,1.6666666666666667
taumako,Taumako,-9.9,167.2,volcanic_high,1,0.7777777777777778,0.3333333333333333
tetum,Tetum,-9.3,125.2,continental,0,1.0,1.3333333333333333
tikopia,Tikopia,-12.3,168.8,volcanic_high,1,1.3636363636363635,1.3333333333333333
tinguian,Tinguian,17.6,120.8,volcanic_high,1,0.9090909090909091,1.0
toabaita,To'abaita,-8.4,160.6,volcanic_high,1,1.0909090909090908,2.0
toba-batak,Toba Batak,2.3,99.0,mainland,0,1.3636363636363635,2.3333333333333335
tokelau,Tokelau,-9.4,-171.2,raised_atoll,0,1.1818181818181819,1.0
tolai,Tolai,-4.4,152.2,volcanic_high,1,0.8181818181818182,0.6666666666666666
tonga,Tonga,-21.2,-175.2,continental,0,1.0909090909090908,1.3333333333333333
tongareva,Tongareva,-9.0,-158.0,raised_atoll,0,0.45454545454545453,0.0
trobriand-islands,Trobriand Islands,-8.5,151.1,raised_atoll,0,1.0909090909090908,2.3333333333333335
tsou,Tsou,23.4,120.7,mainland,0,1.2727272727272727,0.6666666666666666
ulithi,Ulithi,10.1,139.7,raised_atoll,0,1.2727272727272727,1.6666666666666667
uvea,Uvea,-13.3,-176.2,volcanic_high,1,1.3333333333333333,3.0
visayans,Visayans,11.2,122.4,volcanic_high,1,1.2727272727272727,1.3333333333333333
waropen,Waropen,-2.3,136.5,mainland,0,0.9090909090909091,1.3333333333333333
wogeo,Wogeo,-3.2,144.1,volcanic_high,1,0.36363636363636365,0.6666666666666666
yami,Yami,22.0,121.5,volcanic_high,1,,
yap,Yap,9.5,138.1,volcanic_high,1,1.0909090909090908,0.6666666666666666
