name,lat,lon,age_bp,context,source
Song Terus,-8.017,110.917,300000,cave,"Sémah et al. 2004; Simanjuntak 2002. Gunung Sewu karst, East Java."
Trinil,-7.374,111.358,500000,river_terrace,"Dubois 1894; Huffman et al. 2010. Solo River terrace, Ngawi."
Sangiran,-7.450,110.850,1600000,river_erosion,"von Koenigswald 1940; Larick et al. 2001. Solo basin dome, eroded by Cemoro River."
Wajak,-8.033,111.500,28000,cave,"Dubois 1922; Storm et al. 2013. Tulungagung karst, East Java."
