century,n,pre_indic_ratio,pre_indic_ratio_std,n_plants,n_organic,n_lithic,n_metal,has_hyang,has_wuku,has_manhuri,word_count,has_ritual,visibility_score
6,1,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,-1.5169459852287537
7,4,0.33325,0.47140455025381334,1.0,1.25,0.5,0.5,0.5,0.0,0.0,137.75,0.25,-0.07813349921041812
8,55,0.004545454545454545,0.033709993123162106,1.1272727272727272,0.18181818181818182,0.05454545454545454,0.10909090909090909,0.01818181818181818,0.0,0.0,16.854545454545455,0.2545454545454545,-1.4850204957098228
9,30,0.1446,0.1579800511195136,1.7333333333333334,1.3,0.3333333333333333,0.8,0.5666666666666667,0.0,0.0,266.03333333333336,0.8,0.000787059576283682
10,47,0.15136170212765956,0.17049409342464608,3.234042553191489,2.234042553191489,0.5319148936170213,1.2553191489361701,0.6170212765957447,0.0,0.1702127659574468,644.2553191489362,0.851063829787234,1.0843103703460397
11,11,0.2127272727272727,0.20527352041073924,2.8181818181818183,2.3636363636363638,0.6363636363636364,1.0,0.7272727272727273,0.0,0.09090909090909091,829.7272727272727,0.7272727272727273,1.38977135203563
12,2,0.111,0.15697770542341355,2.5,3.0,0.0,1.0,0.5,0.0,0.0,510.5,0.5,0.8263049672203209
13,10,0.36920000000000003,0.27671758567576116,2.8,2.5,0.4,1.7,0.7,0.3,0.5,518.8,0.7,1.4761615936950905
14,6,0.08333333333333333,0.139363792523979,2.1666666666666665,1.5,0.5,1.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,518.8333333333334,0.6666666666666666,0.13628288479580405
