language,total,cognate,loan,sanskrit,arabic,malay,pan_rescued,residual,pct_residual
Muna,219,185,2,1,2,0,7,26,11.9
Bugis,242,180,1,0,0,0,12,49,20.2
Makassar,217,137,1,0,0,1,12,67,30.9
Wolio,254,171,2,0,0,0,15,68,26.8
Toraja-Sadan,216,171,0,0,1,0,13,32,14.8
Tolaki,209,75,5,0,0,1,16,114,54.5
