language,lang_id,n_total,n_has_cognacy,n_marked_loan,n_sanskrit,n_arabic,n_malay,n_residual,pct_residual
Muna,27,219,185,2,7,9,1,31,14.2
Bugis,48,242,180,1,14,6,0,55,22.7
Makassar,166,217,137,1,8,9,2,71,32.7
Wolio,192,254,171,2,17,14,3,73,28.7
Toraja-Sadan,226,216,171,0,8,10,3,40,18.5
Tolaki,674,209,75,5,8,6,1,125,59.8
