concept,n_languages,languages,forms,pan_known
to fear,2,Makassar|Tolaki,mallaʔ|motaku,
"to sniff, smell",2,Makassar|Tolaki,aŋŋaraʔ|siusiu,
to laugh,2,Makassar|Tolaki,ammakkalaʔ|mototao,
to dream,2,Makassar|Tolaki,assoʔna|mo'ipi,
"to live, be alive",2,Makassar|Tolaki,tallasaʔ|laa,
to grow,2,Makassar|Tolaki,attimbo|toro,
to dig,2,Makassar|Tolaki,aŋŋɛkɛ|metanggali,
dog,2,Makassar|Wolio,koŋkoŋ|mantoa,
egg,2,Makassar|Tolaki,bayâo|ti'olu,
wing,2,Makassar|Tolaki,kaʔñiʔ|kae,
water,2,Makassar|Tolaki,jeʔneʔ|woi,
sea,2,Makassar|Wolio,tamparaŋ|andala,
fire,2,Makassar|Wolio,pɛpɛʔ|waa,
black,2,Makassar|Tolaki,lɛʔlɛŋ|me'eto,
white,2,Makassar|Tolaki,kɛboʔ|mowila,
"bad, evil",2,Makassar|Tolaki,kodi|mosaa,
to drink,2,Wolio|Tolaki,sumpu|mo'inu,
name,2,Wolio|Tolaki,saro|tamo,
mosquito,2,Wolio|Toraja-Sadan,kawaowaode|kasisiʔ,
root,2,Wolio|Tolaki,kulese|akara,
sky,2,Wolio|Tolaki,bula|lahuene,
to burn,2,Wolio|Tolaki,maŋau|hunu,
wide,2,Wolio|Tolaki,maewa|molua,
"painful, sick",2,Wolio|Tolaki,mapii|mohaki,
old,2,Wolio|Tolaki,mancuana|motu'o,
this,2,Wolio|Tolaki,sii|inono,
far,2,Wolio|Tolaki,marido|mondae,
mouth,2,Toraja-Sadan|Tolaki,sadaŋ|pondu,
cold,2,Toraja-Sadan|Tolaki,ma-sakkaʔ|morini,
Ten,2,Toraja-Sadan|Tolaki,sangpulo|hopulo,
he/she,2,Tolaki|Tolaki,i'ia|ie'i,
lake,1,Muna,katebho,
belly,1,Bugis,baua,
hair,1,Bugis,gəmməʔ,
to eat,1,Bugis,manre,
ear,1,Bugis,doccili,
woman/female,1,Bugis,makunrai,
fat/grease,1,Bugis,lunraʔ,
thick,1,Bugis,ma-umpəʔ,
dirty,1,Makassar,raʔmasaʔ,
dust,1,Makassar,alimbuʔbuʔ,
skin,1,Makassar,bukku lɛŋ,
nose,1,Makassar,kaʔmuru,
father,1,Makassar,maŋgɛ,
bird,1,Makassar,jaŋanɟaŋaŋ,
fish,1,Makassar,jukuʔ,
fruit,1,Makassar,rapporappo,
fog,1,Makassar,saliu,
when?,1,Makassar,riŋapanna,
head,1,Wolio,baa,
needle,1,Wolio,sorumba,
to scratch,1,Wolio,kaŋkaru,
rat,1,Wolio,bokoti,
tail,1,Wolio,lenci,
rain,1,Wolio,wao,
lightning,1,Wolio,berese,
ashes,1,Wolio,walo,
"in, inside",1,Wolio,[i] nuñca,
to swim,1,Toraja-Sadan,oroŋ,
to think,1,Toraja-Sadan,taŋaʔ,
child,1,Toraja-Sadan,pia,
One,1,Toraja-Sadan,misa',
shoulder,1,Tolaki,bohe,
"to know, be knowledgeable",1,Tolaki,to'ori,
neck,1,Tolaki,woroko,
to hear,1,Tolaki,podea,
person/human being,1,Tolaki,toono,
man/male,1,Tolaki,langgai,
house,1,Tolaki,laika,
stick/wood,1,Tolaki,tangge,
sharp,1,Tolaki,monggaso,
to work,1,Tolaki,mombaho,
to choose,1,Tolaki,mepili,
to buy,1,Tolaki,po'oli,
feather,1,Tolaki,wulumanumanu,
flower,1,Tolaki,wulele,
star,1,Tolaki,wotiti,
wind,1,Tolaki,pua,
yellow,1,Tolaki,mokuni,
long,1,Tolaki,mendaa,
"shy, ashamed",1,Tolaki,kohanu,
new,1,Tolaki,wo'ohu,
"correct, true",1,Tolaki,meara'i,
night,1,Tolaki,wingi,
day,1,Tolaki,oleo,
to climb,1,Tolaki,momone,
above,1,Tolaki,i wawo,
I,1,Tolaki,inaku,
thou,1,Tolaki,inggo'o,
you,1,Tolaki,inggomiu,
what?,1,Tolaki,hawo,
Four,1,Tolaki,omba,
