filename,year_ce,text_length,plants,variants_matched,n_plants,ritual_keywords,has_ritual_context
DHARMA_INSIDENKBorobudurHB150A.xml,750,1450,padi|sirih,pari|pān,2,,False
DHARMA_INSIDENKBorobudurHB150B.xml,750,1463,padi,pari,1,,False
DHARMA_INSIDENKBorobudurHB151.xml,750,1327,padi,pari,1,svarga,True
DHARMA_INSIDENKBorobudurHB152A.xml,750,1392,padi,pari,1,,False
DHARMA_INSIDENKBorobudurHB152B.xml,750,1326,padi,pari,1,svarga,True
DHARMA_INSIDENKBorobudurHB153A.xml,750,1354,padi,pari,1,,False
DHARMA_INSIDENKBorobudurHB153B.xml,750,1228,padi,pari,1,svargga,True
DHARMA_INSIDENKBorobudurHB154A.xml,750,1466,padi,pari,1,,False
DHARMA_INSIDENKBorobudurHB154B.xml,750,1583,padi,pari,1,,False
DHARMA_INSIDENKBorobudurHB154C.xml,750,1327,padi,pari,1,svargga,True
DHARMA_INSIDENKBorobudurHB157.xml,750,1364,padi,pari,1,,False
DHARMA_INSIDENKBromoSemeru2.xml,,1931,padi|pinang,pari|jambe,2,,False
DHARMA_INSIDENKBromoSemeru4.xml,,1710,padi|pinang,pari|jambe,2,,False
DHARMA_INSIDENKBromoSemeru6.xml,,1708,padi|pinang,pari|jambe,2,,False
DHARMA_INSIDENKBukateja.xml,750,1350,padi,pari,1,,False
DHARMA_INSIDENKBulai.xml,,3823,padi,pari,1,,False
DHARMA_INSIDENKBularut.xml,1042,11966,padi|waringin|pala,pari|vata|pala,3,,False
DHARMA_INSIDENKCamundi.xml,,2092,sirih,pān,1,nakṣatra|tithi,True
DHARMA_INSIDENKCanggal.xml,732,11229,padma|waringin|cendana|pala,utpala|vata|candana|pala,4,svargga|atīta,True
DHARMA_INSIDENKCanggu.xml,,11544,padi|sirih|waringin|pala,pari|pān|vata|pala,4,maṅhuri|nakṣatra|tithi|pūjā|hyaṁ,True
DHARMA_INSIDENKDalinan.xml,903,19618,padi|sirih|tebu|waringin|pala,śāli|pān|gula|vata|pala,5,sīma|maṅhuri|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKDawangsari.xml,850,6570,tebu|waringin,gula|vata,2,,False
DHARMA_INSIDENKdevadravya.xml,850,3340,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKDinoyoIIa.xml,864,4945,padi|waringin,pari|vata,2,sīma|tithi|hyaṁ,True
DHARMA_INSIDENKDisunuh.xml,787,4315,padi|tebu,pari|gula,2,sīma|tithi,True
DHARMA_INSIDENKE62.xml,,2201,padi,pari,1,sīma,True
DHARMA_INSIDENKGajahMada.xml,1351,2535,padi,pari,1,nakṣatra|tithi,True
DHARMA_INSIDENKGandasuli.xml,,7115,padi|sirih|waringin,"padi,pari|pān|vata",3,hyaṁ,True
DHARMA_INSIDENKGandhakuti.xml,,10983,sirih|waringin|kunyit|pala,pān|vata|kuñit|pala,4,nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKGaraman.xml,,30472,padma|padi|sirih|pinang|tebu|kapas|waringin|cendana|jati|pala,"kamala|pari|sirih,pān|pinaṅ|gula|kapas|waringin,vata|candana|jati|pala",10,sīma|maṅhuri|nakṣatra|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKGenengII.xml,,4560,padi|waringin,pari|vata,2,nakṣatra|maṅhuri|tithi|hyaṁ,True
DHARMA_INSIDENKGondangLor.xml,1150,4019,padi,"pari,śali",1,,False
DHARMA_INSIDENKGulungGulung.xml,929,18592,padma|padi|kelapa|kapas|waringin|cendana|jati|pala,padma|pari|kalapa|kapas|vata|candana|śāka|pala,8,sīma|piṇḍa|nakṣatra|tithi|pūjā|hyaṁ,True
DHARMA_INSIDENKGuntur.xml,,7155,padi,pari,1,tithi,True
DHARMA_INSIDENKHampran.xml,752,7415,padi,pari,1,,False
DHARMA_INSIDENKHarinjing.xml,,5808,padma|waringin,kamala|vata,2,sīma|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKHering.xml,948,8909,tebu|waringin|bambu|pala,gula|vata|bulu|pala,4,piṇḍa|maṅhuri|tithi|nakṣatra,True
DHARMA_INSIDENKHimadvalandit.xml,,4985,padi|sirih|waringin|pala,pari|suruh|vata|pala,4,kabuyutan|hyaṁ|pūjā,True
DHARMA_INSIDENKHorren.xml,1053,6965,sirih|tebu,pān|gula,2,sīma|hyaṁ,True
DHARMA_INSIDENKHujungGaluh-Sangsang.xml,907,9643,padi|tebu|kapas|waringin,"pari,śali|gula|kapas|vata",4,sīma|nakṣatra|tithi,True
DHARMA_INSIDENKHuludayeuh.xml,,9416,padi|jati,pari|jati,2,yajña,True
DHARMA_INSIDENKHumanding.xml,875,12135,padi|tebu|waringin|bambu|pala,pari|gula|vata|bulu|pala,5,sīma|tithi|hyaṁ,True
DHARMA_INSIDENKHuwung.xml,823,1454,padi,pari,1,,False
DHARMA_INSIDENKJamwi.xml,,2378,padi|waringin,pari|vata,2,hyaṁ,True
DHARMA_INSIDENKJeruJeru.xml,930,15788,padma|padi|kapas|waringin|cendana|jati,padma|pari|kapas|vata|candana|śāka,6,sīma|piṇḍa|sapatha|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKJragung.xml,,2498,sirih,pān,1,,False
DHARMA_INSIDENKJurungan.xml,876,9600,waringin|bambu,vata|bulu,2,sīma|hyaṁ,True
DHARMA_INSIDENKKabhagavanan.xml,,7078,padi|waringin|jati,pari|vata|śāka,3,tithi,True
DHARMA_INSIDENKKakalangan.xml,,4374,padi,pari,1,piṇḍa,True
DHARMA_INSIDENKKaladi.xml,,15882,padi|pinang|waringin|pala,pari|pinaṅ|vata|pala,4,sīma|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKKalasan.xml,,15306,padi|sirih|tebu|pala,pari|pān|ikṣu|pala,4,piṇḍa|pūjā,True
DHARMA_INSIDENKKandangan.xml,,4625,padi|sirih|tebu|kapas|waringin,pari|pān|gula|kapas|vata,5,sīma|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKKanjuruhan.xml,760,10858,padi|tebu|pala,pari|gula|pala,3,pūjā,True
DHARMA_INSIDENKKarangloMojokerto.xml,1097,2641,pala,pala,1,hyaṁ,True
DHARMA_INSIDENKKasugihan.xml,907,5932,padi|sirih|waringin,pari|pān|vata,3,nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKKawali_1a.xml,,5059,padi|pala,pari|pala,2,hyaṁ,True
DHARMA_INSIDENKKawali_1b.xml,,2841,padi,pari,1,kabuyutan,True
DHARMA_INSIDENKKawali_2.xml,,1542,padi,pari,1,,False
DHARMA_INSIDENKKawali_3.xml,,1517,padi,pari,1,,False
DHARMA_INSIDENKKawali_4.xml,,1246,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKKawali_5.xml,,1682,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKKawali_6.xml,,3128,padi,pari,1,,False
DHARMA_INSIDENKKayuAraHiwang.xml,901,5361,padi|tebu|waringin|pala,pari|gula|vata|pala,4,sīma|hyaṁ,True
DHARMA_INSIDENKKayumwungan.xml,824,10075,padi|sirih|waringin|bambu|jati|pala,"pari|pān|vata|veṇu|jati,śāka|pala",6,piṇḍa|hyaṁ,True
DHARMA_INSIDENKKebantenan_1.xml,,13723,padi|kapas,pari|kapas,2,hyaṁ|hyang,True
DHARMA_INSIDENKKebantenan_2.xml,,8562,padi|waringin|pala,"pari|waringin,vata|pala",3,hyaṁ,True
DHARMA_INSIDENKKebantenan_3.xml,,2815,padi,pari,1,kabuyutan,True
DHARMA_INSIDENKKebantenan_4.xml,,5468,padi|waringin,pari|vata,2,,False
DHARMA_INSIDENKKedungwangi.xml,,7100,waringin|pala,vata|pala,2,sīma|svargga|hyaṁ,True
DHARMA_INSIDENKKetanen.xml,904,3151,padi|waringin|pala,pari|vata|pala,3,,False
DHARMA_INSIDENKKinewu.xml,907,8519,padma|padi|waringin,padma|pari|vata,3,nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKKiringan.xml,917,10176,padi|waringin,pari|vata,2,sīma|tithi|hyaṁ,True
DHARMA_INSIDENKKubu-Kubu.xml,905,10139,padi|waringin|pala,pari|vata|pala,3,maṅhuri|atīta|hyaṁ|tithi,True
DHARMA_INSIDENKKurungan.xml,,16574,padma|padi|tebu|kapas|waringin,"kamala|padi,pari|gula|kapas|vata",5,sīma|piṇḍa|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKLaguna.xml,898,3799,waringin,vata,1,tithi,True
DHARMA_INSIDENKLanda.xml,850,8372,waringin,vata,1,sīma|hyaṁ|hyang,True
DHARMA_INSIDENKLinggasuntan.xml,929,17113,padma|padi|tebu|kapas|waringin|pala,padma|pari|gula|kapas|vata|pala,6,sīma|piṇḍa|sapatha|nakṣatra|tithi|pūjā|hyaṁ,True
DHARMA_INSIDENKLinggawangi.xml,,2106,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKLintakan.xml,919,36267,padma|padi|tebu|waringin|pala,padma|pari|gula|vata|pala,5,sīma|piṇḍa|sapatha|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKLuitan.xml,,4657,padi|waringin,pari|vata,2,nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKLurah.xml,,2054,padi,pari,1,,False
DHARMA_INSIDENKMadhawapura.xml,1250,7765,padi|tebu|bambu|pala,pari|ikṣu|bulu|pala,4,hyaṁ,True
DHARMA_INSIDENKMalenga.xml,,6273,padma|waringin|pala,padma|vata|pala,3,nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKMamali.xml,878,3544,waringin,vata,1,sīma|piṇḍa|hyaṁ,True
DHARMA_INSIDENKManahimanuk.xml,1356,12971,padi|waringin,pari|vata,2,sīma|piṇḍa|maṅhuri|hyaṁ,True
DHARMA_INSIDENKManjusrigerha.xml,792,3889,padi,pari,1,hyaṁ,True
DHARMA_INSIDENKMantyasihI.xml,,15429,padi|sirih|waringin|kapur_barus|pala,pari|pān|vata|kapur|pala,5,sīma|piṇḍa|nakṣatra|tithi|pūjā|hyaṁ,True
DHARMA_INSIDENKMantyasihII.xml,907,2583,padi|waringin|pala,pari|vata|pala,3,sīma|piṇḍa|hyang,True
DHARMA_INSIDENKMantyasihIII.xml,,11722,padi|sirih|waringin|kapur_barus|pala,pari|pān|vata|kapur|pala,5,sīma|hyaṁ,True
DHARMA_INSIDENKMaribong.xml,1248,5493,waringin|pala,vata|pala,2,nakṣatra|tithi|wuku,True
DHARMA_INSIDENKMarinci_I.xml,,2182,padi,pari,1,,False
DHARMA_INSIDENKMarinci_II.xml,,3567,padi|pala,pari|pala,2,tithi,True
DHARMA_INSIDENKMasahar.xml,930,36156,padma|padi|sirih|waringin|lada|pala,padma|pari|pān|vata|lada|pala,6,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|hyang|hyaṁ,True
DHARMA_INSIDENKMpuMano.xml,,9664,padma|waringin|kapur_barus,kamala|waringin|bhīmasena,3,sīma|nakṣatra|tithi|hyaṁ,True
DHARMA_INSIDENKMula-Malurung.xml,,28275,padma|padi|sirih|tebu|waringin|kapur_barus|pala,"kamala|pari|pān|gula|waringin,vata|kapur|pala",7,sīma|piṇḍa|maṅhuri|nakṣatra|tithi|pūjā|svargga|hyaṁ,True
DHARMA_INSIDENKMunduan.xml,,7779,padma|sirih,padma|pān,2,tithi|hyaṁ,True
