volume,year,match_type,match_desc,match_text,depth_m,depth_unit,site_name,has_site,has_volcanic,location,sites_nearby,volcanic_nearby,locations_nearby,page_est,context
OV_1924,1924,depth_m,op een diepte van X,op een diepte van 0 ,0.0,meter,ontgraving,True,False,,ontgraving; ontgraving,,,71,"k van de as op bet Oosten. Den 2den Dec.  braebt de verdere ontgraving v^ den 2den muur aan bet Uebt, dat deze een voorsprong  bad; deze werd opgemeten, en in kaart gebraebt. Noordel^k van de as was alles    i    \    OUDHEIDKUNDIG VERSLAG, DERDE EN VIERDE KWARTAAL 1925    87    nog intact (d.w.z. de fundeerlng), doch Zuidel^k daarvan lag alles door elkaar en  was er geen verband meer te vinden.   Den Ssten werden in den Noordhoek van dezen Oostelqken voorsprong zeven  aardewerk-potten gevonden op een diepte van 0 80 M. en alle onderstboven bij en  op elkaar liggend (plattegrond onder letter B).   Er werd doorgewerkt tot den 16den Dec., dock zonder verder resultaat.   Van den 16den tot den 27sten heeft rapporteur door ziekte geen leiding aan  de ontgraving kunnen geven; dat werd gedurende "
OV_1925,1925,depth_voet,X voet in den grond,30 voeten in den grond,9.14,voet,Ruine van Tjandie,True,False,Residentie Djokdjokarta,Ruine van Tjandie; beeld voorstellende; beeld scb; beeld ter,,Residentie Djokdjokarta; Residentie Djokdjakarta,45,bbend laten  we hier volgen.   De inventaris is niet door Dieduksman geteekend; dat iii| van z^n hand is bl^kt ait  de mededeehng ondor No. 9.     62 OUDHEIDKUNDIG VERSLAG. EERSTE EN TWEEDE KWARTAAL 1926    Ly^t mn s^er^chiUendc oudhcden u^apend en ^cLgedeentcn in ringen \^erzameld  door Jacob Anthonie Di^ukdman te Djokdjakarta Jam.   1. Een zilvere Indoebeeld voorstellende afgod betoro Wisnoe zittende op de  troon op eene lunning de hoogte van 7 Centimeter de breedte van 4 Centimeter  gevonden 30 voeten in den grond tgdens uitgraven van een put op Prabanan  Residentie Djokdjokarta die beeld scb^n voor christus geboorte.   2. Een metalen oud Wisnoebeeld ter hoogte van 12 Centimeter b^ een  diameter van 7 Centimeter voorstellende zittende man leunende op z^n dampar en  de linkerhand houdend
OV_1925,1925,depth_voet,X voet in den grond,"20 
voeten in den grond",6.1,voet,Ruine van Tjandie,True,False,Residentie Djokdjakarta,Ruine van Tjandie; beeld ter; beeld ter; beeld waarvan,,Residentie Djokdjakarta; Residentie  Djokdjakarta; Residentie Soerakarta,45,"voor christus geboorte.   2. Een metalen oud Wisnoebeeld ter hoogte van 12 Centimeter b^ een  diameter van 7 Centimeter voorstellende zittende man leunende op z^n dampar en  de linkerhand houdende een bloem Djojokesoemo vast, (Djojokesoemo beteekent  hertrouwd in den str^d) javaansche benaming Betoro TVisnoe (opgegraven in de oude  Ruine van Tjandie Djograng, Residentie Djokdjakarta tgdens bet graven van een  waterleiding).   3. Een gouden boede kaloong met soorten van edelgesteentjes gevonden 20  voeten in den grond met bet maken van een put op goenoong Kidool Residentie  Djokdjakarta.   A. Een metalen staande Boedabeeld ter hoogte van \4 Centimeter bij een  diameter van 7 Centimeter zi^nde afgod Betoro Goeroe met z^n 8 armen gewapcnd,  b9 is de beschermer der goden gevonden 25 voeten ond"
OV_1925,1925,depth_voet,X voet diep,25 voeten onder,7.62,voet,Ruine van Tjandie,True,False,Residentie Djokdjakarta,Ruine van Tjandie; Ruine van Boroboedor; Ruine van Tjandie; beeld ter; beeld waarvan,,Residentie Djokdjakarta; Residentie  Djokdjakarta; Residentie Soerakarta; Residentie Kadoe; Residentie Djokdjakarta,45,"enaming Betoro TVisnoe (opgegraven in de oude  Ruine van Tjandie Djograng, Residentie Djokdjakarta tgdens bet graven van een  waterleiding).   3. Een gouden boede kaloong met soorten van edelgesteentjes gevonden 20  voeten in den grond met bet maken van een put op goenoong Kidool Residentie  Djokdjakarta.   A. Een metalen staande Boedabeeld ter hoogte van \4 Centimeter bij een  diameter van 7 Centimeter zi^nde afgod Betoro Goeroe met z^n 8 armen gewapcnd,  b9 is de beschermer der goden gevonden 25 voeten onder de begane grond tgdens  bet graven van een put te Dorowatie Residentie Soerakarta.   5. Een metalen Boedabeeld waarvan de zitten beschadigd ter hoogte van  7 Centimeter, javaansche benaming afgod Betoro Bajoe gevonden t^dens bet graven  van een put in de Ruine van Boroboedor Resident"
OV_1925,1925,depth_voet,X voet diep,25 voeten onder,7.62,voet,Ruine van Tjandie,True,False,Residentie Ojokdjakarta,Ruine van Tjandie; Ruine van Tangalan; Ruine van Prambanan; Ruine van Tjandie,,Residentie Ojokdjakarta; Residentie Ojokdjakarta; Residentie Djokdjakarta; Residentie Djokdjakarta,46,"er  gevonden en uitgegraven in de Ruine van Tjandie Sewoe^ Residentie Ojokdjakarta.   14. Twee metalen Indoe Instrumenten uit de Boeda tijden gevonden en uit-  gegraven in de Ruine van Tangalan Residentie Ojokdjakarta.   15. Een metalen Torentje met 9 punten gevonden in de valij op den berg  Tjindol Residentie Djokdjakarta.   16. Twee stuks Boedamunten gevonden in de Ruine van Prambanan.   17. Een metalen Boeda klok boogte van 36 Centimeter bg een gemiddelde  diameter van 33 Centimeter gevonden 25 voeten onder den beganen grond in de  Ruine van Tjandie Tangalan Residentie Djokdjakarta.   18. Zes diverse Boedawapens z^n van de voorwereld, gevonden met Rusische  Beenderen versteen met bet instorten van de Berg Kedoong Poetjang t^dens zware  aardbeving van den lOde Jun^ 1868 op Ojokdjakarta. "
OV_1925,1925,depth_m,X M onder den grond,1.20 M. onder het maaiveld,1.2,meter,,False,True,,,laharmateriaal,,91,"eren weriunan aangetroffen, bestaande uit een koperen blaadje,  waarop enkele werktuigen en gereedschappen lagen, alles oorspronkelqk samen-  gebundeld in een doek, waarvan het weefsel, gepreserveerd door het tegen de onder-  z^de van het blad gevormd kopergroen, nog tegen die onderz^de aangekleefd zat.  In de directe nab^heid werd een pot gevonden, die geheel met aarde en zand  gevuld was, en waarin alleen enkele z.g. ,,ma''-munt}es en een reepje bladgoud  aangetroffen werden. Een en ander lag 1.20 M. onder het maaiveld.   In het Westel^k en Zuidelgk deel der stad werd de aangroei^^ van den  bodem vooral bevonden te bestaan uit een sterk humushoudenden grond, te danken  aan het zware oerbosch, dat eens de stad overwoekerde. Het laharmateriaal wordt  da ar anders dan op groote diepte < — a"
OV_1925,1925,depth_m,op een diepte van X,"op een diepte 
van 60 ",0.6,meter,monument,True,False,,monument,,,123,"an den onderkant overgaand in achtkant en spits toeloopend; daar  echter de indieping in den ronden steen 29 c.M. bedraagt, is het duidelgk, dat dit  niet de er bg behoorende van de topbekroning is. Niet onmogelijk is het echter, dat  deze steen op een anderen ronden steen gepast heeft; daar hg spits toeloopt, zou  het dan de bovenste geweest moeten zijn.   In de binnenruimte werd nog een onderzoek ingesteld, of er wellicht onder  den vloer voorwerpen verborgen waren; daar echter alle lagen tot op een diepte  van 60 c.M. doorloopen, werd van een verder openbreken hiervan afgezien en het  gemaakte gat gedicht.   Van de natuursteenen bovendorpel van den toegang naar de binnenruimte  werd geen spoor gevonden, bg de bevolking en in sommige kampongs werd nog  geinformeerd, doch zonder resultaat"
OV_1928,1928,depth_m,X.X M diep,1.50 M. diep,1.5,meter,,False,False,,,,,11,"n Juni was de steiger gereed en kon met het afbreken begonnen worden.  Al spoedig bleek het gewenscht, om de bovenste lagen van de daketage in hun  geheel af te nemen. De gedeelten van de kern, die na het afhalen van de huid en  de gewelven bleven staan, waren zoo klein, dat het voor een richtige uitvoering  gemakkel^ker en goedkooper was, om den geheelen top laag voor laag weg te  nemen.   Hierbg kwamen tusschen de gewelven, dus boven de scheidingsmuren, twee  merkwaardige sleuven van ongeveer 1.50 M. diep aan het licht, foto’s Nos. 9742  en43. De bedoeling van deze sleuven is tot dusver onbekend. Het zijn lange, smalle  gleuven met zeer onregelmatige, ruw bekapte wanden. Dit zou een aanwijzing kunnen      OUDHEIDKUNDIG VERSLAG, EERSTE EN TWEEDE KWARTAAL 1929 11    zqn, dat het gewone uit"
OV_1928,1928,depth_m,X.X M diep,4.60 M. diep,4.6,meter,tempeltje,True,False,desa Pajak bij,tempeltje,,desa Pajak bij,12,"nen gaan, zouden zeer kostbare maatregelen geno-  men moeten worden. Hiervoor ontbreken ecbter de fondsen.   Van Sari (Sorogedoeg) werd een situatie-teekening gemaakt met de bedoebng,  om bier, zoodra zicb de gelegenbeid voordoet, een flink terrein aan te  koopen.   Van den Ass. Resident te Djocja, Dr. Adam, ontvingen we bet bericbt,  dat in de desa Pajak bij Pioengan een oude put was gevonden. een bezoek  bleek bet een waterput te zgn bestaande uit 7 ringen van witte steen. De put is  ongeveer 4.60 M. diep en beeft een diameter van 0.77 M. In boever we bier  werhebjk met een ouden put te doen bebben, is moedijk te beoordeelen. De bevolking,  die den put belaas op eigen boutje beeft uitgegraven, beweert er niets dan aarde in  gevonden te bebben. Of dit inderdaad zoo is, is al beel lastig u"
OV_1928,1928,depth_m,diepte van X.X M,diepte van 1.20 M,1.2,meter,tempelterrein,True,False,,tempelterrein; tempel; monumentjes; monumentjes,,,15,"jk de gedachte opkwam, dat ook hier een aantal grafmonumentjes geweest  moeten zijn, zooals bg Kedasan het geval is. Echter werd geen enkele steen in  verband aangetroffen en het gelukte tot heden nog niet de juiste plaats te vinden  waar deze monumentjes eventueel gestaan hebben. In den Zuid-W^esthoek van het  gehuurde terrein (Noord-W^esthoek van het tempelterrein) kwam een restant van  eene fundeering, vermoedelijk van den ringmuur afkomstig, voor den dag. In den  Zuid-Oosthoek werden op een diepte van 1.20 M. tot 1.50 M. 7 stuks urnen van  gebakken aarde bij elkaar aangetroffen, gevuld met aarde en bij enkelen tusschen  de aarde sterk vergane stukjes ijzer in den vorm van lepeltjes.   In verband met de werkzaamheden aan den tempel werd van een verder  onderzoek voorloopig afgezien, lat"
OV_1928,1928,depth_m,X.X M diep,0.68 M. diep,0.68,meter,tempel,True,False,desa Bandjardadap,tempel; beeldje gevonden,,desa Bandjardadap; desa Poegeran; district Kotagedeh; district Kotagedeh,115,"gelgk, dat de fundeeringen nog in den grond zitten.  Zoodra bet riet geoogst is, bopen we dit nog nader te onderzoeken. Te oordeelen  naar de grootte van bet voetstok, dat 0.90 M. in het vierkant en 0.89 M. hoog  is, moet het een vrg groote tempel geweest zgn. Het voetstuk is zeer eenvoudig.  Enkele vlakke lijsten en ingediepte paneelen maken de eenige versiering uit. Ook  de tuit is zeer sober gebouden. In het midden van het voetstuk is een vierkante  opening van 0.30 M. Deze opening is echter 0.68 M. diep en daaruit is met vrij  groote zekerbeid op te maken, dat het voetstuk voor een bnggam bestemd was.   In de desa Bandjardadap, district Kotagedeh, Gouvemement Djokja-  karta werd een staand, tweearmig beeldje gevonden. Het beeldje, waaraan de  voeten ontbreken, is 0.60 M.. hoog. De beid"
OV_1929,1929,depth_m,X.X M diep,2.50 M. diep,2.5,meter,tjandi heeft een,True,False,,tjandi heeft een; tempelput; Yoni,,,29,"op het terrein opgesteld. Van de steenen zijn in den  loop der eeuwen nogal veel stukken afgesprongen; daar echter deze stukken grooten-  deels bewaard zijn kunnen zij vaak nog gehecht worden, zoodat dan het ornament  weder in zijn oorspronkelijken toestand wordt teruggebracht.   Hiema volgde het soubasement. In de cella bevond zich een Yoni welke  geleidelijk met de lagen is gezakt, daar het stuk te zwaar was om het er uit te lichten.  De tjandi heeft een tempelput van 1.90 bij 1.90 M. en is i 2.50 M. diep. Hierin  werden, behalve wat ingevallen steenen, twee urnen gevonden, een op 0.50 M. en de  andere op 1.00 M. diepte. Zij bleken bij onderzoek ledig te zijn; het deksel der  eerste is nog geheel gaaf en werd iets verder dan de urn gevonden, terwijl van  het deksel der tweede nog slechts"
OV_1929,1929,depth_m,X.X M diep,1.00 M. diep,1.0,meter,tjandi heeft een,True,False,,tjandi heeft een; tempelput; Yoni,,,29,"deze stukken grooten-  deels bewaard zijn kunnen zij vaak nog gehecht worden, zoodat dan het ornament  weder in zijn oorspronkelijken toestand wordt teruggebracht.   Hiema volgde het soubasement. In de cella bevond zich een Yoni welke  geleidelijk met de lagen is gezakt, daar het stuk te zwaar was om het er uit te lichten.  De tjandi heeft een tempelput van 1.90 bij 1.90 M. en is i 2.50 M. diep. Hierin  werden, behalve wat ingevallen steenen, twee urnen gevonden, een op 0.50 M. en de  andere op 1.00 M. diepte. Zij bleken bij onderzoek ledig te zijn; het deksel der  eerste is nog geheel gaaf en werd iets verder dan de urn gevonden, terwijl van  het deksel der tweede nog slechts enkele stukken over waren. De fundeering zit  op rb 1-30 M. beneden maaiveld en was nog vrijwel gaaf, zoodat zij n"
OV_1929,1929,depth_m,X M onder den grond,"0.75 M. onder het 
maaiveld",0.75,meter,ontgravingen,True,False,,ontgravingen,,,35,"het ook globaal, overzicht van een geheel  stadsdeel, door ontgravingen geverifieerd, geproduceerd zal kunnen worden.   Voorts is nog gezocht naar den verderen loop van het nog behouden gebleven  stuk stadsmuur bij Panggoeng. Een sleuf Noordelijk daarvan bracht het gewenschte  resultaat. Het is de Westelijke stadsmuur, die na een poort gepasseerd te zijn, in  den waren hoek Panggoeng met den Zuidelijken stadsmuur samentreft. Hier staat de  muur op zand en bevindt zich de fundeeringsaanleg op dz 0.75 M. onder het  maaiveld. Hier werd tot een diepte van dz 5 M. doorgegraven om te zien op welke  diepte eigenlijk de maagdelijke grond wordt aangetroffen. Maar uit deze groote  diepte kwamen nog voorwerpen te voorschijn (de bekerachtige potten met deksels,  in den voorgrond van foto no. 1006 te z"
