name,lat,lon,suitability,burial_depth_cm,zone,dist_nearest_volcano_km,nearest_volcano
Tugu Rantai,-8.1025155,112.0085994,0.78899515,60.8887107216152,A,38.14147425417845,Kelud
Bundaran Wates,-7.9180332,112.1277752,0.6164537,142.26603092273675,B,19.893288676000196,Kelud
Monumen Pesawat Tempur,-7.3831308,112.7697028,0.5002338,10.745460855078331,A,44.042044398493076,Arjuno-Welirang
Monumen Pahlawan Kadet Suwoko,-7.1140095,112.4262582,0.8963799,5.591148816908163,A,70.32304153642225,Arjuno-Welirang
Petrokimia Gresik,-7.1571463,112.6390218,0.68928194,5.325582169335521,A,63.97783761959204,Arjuno-Welirang
Peri Mandiri Residence,-7.4196018,112.5847958,0.824981,19.37817799323988,A,34.42044951678761,Arjuno-Welirang
Kediri Lagi,-7.8157932,112.0620009,0.73231626,88.93697885121055,A,29.924310786376235,Kelud
Tugu PKK meneh,-7.9600822,112.6377993,0.8979637,81.62585383100485,A,26.610055101802672,Arjuno-Welirang
Monumen Mayangkara,-7.3069798,112.7355757,0.8441304,8.393766434932239,A,50.15422387413025,Arjuno-Welirang
Candi Tawangalun,-7.3988488,112.7891649,0.9592451,10.8900433703504,A,43.64617646475273,Arjuno-Welirang
Candi Kethek,-7.5939326,111.1602927,0.955767,0.9443784504430094,A,131.85587518272348,Kelud
omah bu feling,-7.4568728,112.7285638,0.8075976,16.1265609260939,A,34.671298801985884,Arjuno-Welirang
MONUMEN TUGU BUAYA,-8.4508179,114.3296286,0.8290513,0.0299906004793391,A,44.73110390565385,Ijen
Lontar,-7.165975,112.6392067,0.78517216,5.540797593222675,A,63.004497255580745,Arjuno-Welirang
Tugu Adipura Bundaran Loceret,-7.6468715,111.8926795,0.72943807,27.46624142613278,A,55.54014373362398,Kelud
osm_7723512611,-7.0278873,112.0981019,0.4787084,3.3731291136262533,A,94.03942250337693,Arjuno-Welirang
Batu Lumpang,-7.23649,112.0372,0.5974419,8.171720047715922,A,80.71311564844915,Arjuno-Welirang
Monumen UM,-7.9633537,112.6192574,0.93063366,86.23393954580185,A,26.51104127068611,Arjuno-Welirang
osm_8010525783,-7.0635391,113.2347395,0.705075,0.7967672392584371,A,102.27093397569712,Lamongan
osm_8244908987,-8.3332714,114.1124988,0.7222143,0.0987708488208852,A,24.423739708747952,Raung
Watu semar,-7.6885769,112.5864062,0.8667685,58.3277254419648,A,4.667257185356147,Arjuno-Welirang
Kendalisodo,-7.7024158,112.5445359,0.88123703,69.900788385063,A,4.472818644393006,Arjuno-Welirang
Petilasan Brawijaya,-7.7041743,112.5452303,0.967401,70.19324262060462,A,4.28724184188693,Arjuno-Welirang
Petilasan Joko Lelono,-7.7030316,112.5457665,0.91016406,69.78601497634436,A,4.325968295882949,Arjuno-Welirang
Makam Krapyak,-7.6903015,112.5481078,0.9789426,66.12907682734794,A,5.224681499990994,Arjuno-Welirang
Candi Wisnu,-7.6147858,112.613817,0.96154875,41.052667055678725,A,13.401082558698644,Arjuno-Welirang
Candi Guru,-7.6148901,112.6127009,0.9589532,41.19872066972384,A,13.3513089394858,Arjuno-Welirang
Candi Selokelir,-7.6251042,112.6080982,0.72585225,43.38882454607164,A,12.114776590151884,Arjuno-Welirang
Candi,-7.6176551,112.610255,0.97268254,41.92348464612649,A,12.976234307466983,Arjuno-Welirang
Candi Naga,-7.6138526,112.6106987,0.9696472,41.26866753097179,A,13.394540389995008,Arjuno-Welirang
Candi Lurah,-7.613422,112.6118635,0.96287185,41.06582027514003,A,13.4784473091905,Arjuno-Welirang
Candi,-7.6252159,112.6159826,0.9750896,42.43703612175143,A,12.392492830265612,Arjuno-Welirang
Candi Merak,-7.6066004,112.6133722,0.97719586,39.83793055622437,A,14.251994380247607,Arjuno-Welirang
Petilasan Narotama,-7.6073212,112.5938023,0.83108765,42.18130634083087,A,13.687802877375626,Arjuno-Welirang
Recolanang,-7.6726034,112.5835064,0.68320316,55.61057541672944,A,6.340681485138117,Arjuno-Welirang
Tugu Reyog Ponorogo,-7.7993025,111.5123117,0.7324232,6.214874699404189,A,88.84099490650978,Kelud
Tugu Program Pokok PKK,-6.9030605,112.0689503,0.7700369,1.821073300191871,A,107.46890730972794,Arjuno-Welirang
Tugu Gerdu Laut,-6.8868998,112.0524298,0.9068589,1.6584971660546208,A,109.95310124502544,Arjuno-Welirang
Replika Kaabah,-6.9011758,112.0411517,0.65205395,1.7489358329502234,A,109.26911519429025,Arjuno-Welirang
osm_9581120223,-6.9177319,112.0535194,0.81143814,1.9163248129299348,A,106.9828463856352,Arjuno-Welirang
Perempatan Gununggangsir,-7.5857822,112.723543,0.73691845,27.163777111055676,A,22.83819733786113,Arjuno-Welirang
Patung Kuda Tirtawangi,-8.2366844,114.3582219,0.79534453,0.0315939387633571,A,23.631039382716143,Ijen
Tugu Pakah,-6.9820666,112.1138449,0.63144094,2.762435194995842,A,97.38826604519537,Arjuno-Welirang
Monumen Mastrip,-7.3074674,112.718817,0.8759778,8.753148579042444,A,49.48097727622772,Arjuno-Welirang
osm_9989878290,-7.2948913,112.7388562,0.8523349,7.917385351212632,A,51.539803107814954,Arjuno-Welirang
Tugu Manunggal Utara,-6.8970317,112.0796219,0.7923497,1.7906083242218516,A,107.43928042724048,Arjuno-Welirang
Tugu Singget,-6.9846945,111.6224474,0.5377927,1.0448518484607694,A,129.46723388908194,Kelud
Tugu Kartonyono,-7.4107521,111.4433315,0.76234764,2.3202371733891978,A,111.41403418028811,Kelud
Candi Penampihan,-7.9027228,111.7952694,0.897738,26.227179388745384,A,56.55111045833296,Kelud
osm_10314896612,-8.1929773,114.4430387,0.83814394,0.0212585413399394,A,26.739545508037544,Ijen
Tugu Perbatasan Tuban - Lamongan,-6.9001609,112.170954,0.8967812,1.9617600032456075,A,102.37050884905545,Arjuno-Welirang
osm_11005901019,-7.9723886,112.6218083,0.8962426,85.40399021630479,A,27.550356906695733,Arjuno-Welirang
osm_11083954444,-7.7165972,111.147358,0.77020204,1.0198355631622054,A,130.03955325016454,Kelud
Boonpring,-8.1557317,112.7620369,0.6406515,64.79876846384471,A,18.390754200631715,Semeru
Candi Rengganis,-7.9647946,113.5730157,0.8976395,2.343506786003416,A,25.365807211263096,Lamongan
osm_11197251057,-8.004959,113.7464172,0.7760858,0.8747037894399221,A,35.17334916599821,Raung
osm_11197381439,-7.9958393,113.4541422,0.51318175,5.079073518645468,A,12.416572829096689,Lamongan
Goa Botol,-7.6169471,112.6193855,0.92577535,40.74177690970246,A,13.385395397587343,Arjuno-Welirang
Canti Pasetran,-7.5757693,112.6150601,0.5536302,35.15383086246037,A,17.60114222503032,Arjuno-Welirang
Canti Jedong,-7.579683,112.6130256,0.45845625,35.89903944575401,A,17.123967778406946,Arjuno-Welirang
Candi Tumpak Wolu,-7.6032232,112.6158902,0.87925047,39.04867270552739,A,14.693750843720405,Arjuno-Welirang
Candi Wayang,-7.6054843,112.6217173,0.9457914,38.75264045248345,A,14.6675267688269,Arjuno-Welirang
Candi NN,-7.6047027,112.6170999,0.91236377,39.13905943166653,A,14.579123286865721,Arjuno-Welirang
Candi Gajah Mungkur,-7.604506,112.6215523,0.9790901,38.62597785810956,A,14.763110631985251,Arjuno-Welirang
Candi Griya,-7.6032082,112.6206324,0.96324325,38.53358236593533,A,14.863911305067155,Arjuno-Welirang
Candi Kerajaan,-7.6039862,112.6236257,0.9582717,38.32646071772683,A,14.89797364990318,Arjuno-Welirang
