lat,lon,sed_rate_mm_yr,depth_400ce_m,depth_200bce_m,depth_1000bce_m
-8.45,110.24999999999999,0.51,0.8,1.1,1.5
-8.45,110.29999999999998,0.51,0.8,1.1,1.5
-8.45,110.34999999999998,0.51,0.8,1.1,1.5
-8.45,110.39999999999998,0.51,0.8,1.1,1.5
-8.45,110.44999999999997,0.51,0.8,1.1,1.5
-8.45,110.49999999999997,0.51,0.8,1.1,1.5
-8.45,110.54999999999997,0.51,0.8,1.1,1.5
-8.45,110.59999999999997,0.51,0.8,1.1,1.5
-8.45,110.64999999999996,0.51,0.8,1.1,1.5
-8.45,110.69999999999996,0.51,0.8,1.1,1.5
-8.45,110.74999999999996,0.51,0.8,1.1,1.5
-8.45,110.79999999999995,0.51,0.8,1.1,1.5
-8.45,110.84999999999995,0.51,0.8,1.1,1.5
-8.45,110.89999999999995,0.51,0.8,1.1,1.5
-8.45,110.94999999999995,0.51,0.8,1.1,1.5
-8.45,110.99999999999994,0.51,0.8,1.1,1.5
-8.45,111.04999999999994,0.51,0.8,1.1,1.5
-8.45,111.09999999999994,0.51,0.8,1.1,1.5
-8.45,111.14999999999993,0.51,0.8,1.1,1.5
-8.45,111.19999999999993,0.51,0.8,1.1,1.5
-8.45,111.24999999999993,0.51,0.8,1.1,1.5
-8.45,111.29999999999993,0.51,0.8,1.1,1.5
-8.45,111.34999999999992,0.51,0.8,1.1,1.5
-8.45,111.39999999999992,0.51,0.8,1.1,1.5
-8.45,111.44999999999992,0.51,0.8,1.1,1.5
-8.45,111.49999999999991,0.51,0.8,1.1,1.5
-8.45,111.54999999999991,0.51,0.8,1.1,1.5
-8.45,111.59999999999991,0.51,0.8,1.1,1.5
-8.45,111.6499999999999,0.51,0.8,1.1,1.5
-8.45,111.6999999999999,0.51,0.8,1.1,1.6
-8.45,111.7499999999999,0.52,0.8,1.1,1.6
-8.45,111.7999999999999,0.52,0.8,1.2,1.6
-8.45,111.8499999999999,0.53,0.9,1.2,1.6
-8.45,111.89999999999989,0.53,0.9,1.2,1.6
-8.45,111.94999999999989,0.54,0.9,1.2,1.6
-8.45,111.99999999999989,0.55,0.9,1.2,1.7
-8.45,112.04999999999988,0.56,0.9,1.2,1.7
-8.45,112.09999999999988,0.57,0.9,1.3,1.7
-8.45,112.14999999999988,0.58,0.9,1.3,1.8
-8.45,112.19999999999987,0.6,1.0,1.3,1.8
-8.45,112.24999999999987,0.61,1.0,1.4,1.8
-8.45,112.29999999999987,0.62,1.0,1.4,1.9
-8.45,112.34999999999987,0.63,1.0,1.4,1.9
-8.45,112.39999999999986,0.64,1.0,1.4,2.0
-8.45,112.44999999999986,0.66,1.1,1.5,2.0
-8.45,112.49999999999986,0.68,1.1,1.5,2.0
-8.45,112.54999999999986,0.7,1.1,1.6,2.1
-8.45,112.59999999999985,0.73,1.2,1.6,2.2
-8.45,112.64999999999985,0.76,1.2,1.7,2.3
-8.45,112.69999999999985,0.8,1.3,1.8,2.4
-8.45,112.74999999999984,0.84,1.4,1.9,2.5
-8.45,112.79999999999984,0.88,1.4,1.9,2.7
-8.45,112.84999999999984,0.9,1.5,2.0,2.7
-8.45,112.89999999999984,0.92,1.5,2.0,2.8
-8.45,112.94999999999983,0.91,1.5,2.0,2.8
-8.45,112.99999999999983,0.89,1.4,2.0,2.7
-8.45,113.04999999999983,0.85,1.4,1.9,2.6
-8.45,113.09999999999982,0.8,1.3,1.8,2.4
