bin,site_count,area_km2,density_per_1000km2
0-25,147,11343.350286648654,12.959134319692295
25-50,136,18033.89909066066,7.541353054949235
50-75,37,18528.427299638923,1.996931493517588
75-100,22,16372.745497360724,1.3436964499048976
100-150,41,28523.223527745322,1.4374251900427095
150-200,0,25507.073993337013,0.0
200+,0,73739.68678455325,0.0
