algorithm,design,k,jaccard_mean,jaccard_sd,single_run_mean,single_run_min
xgboost,random,1,0.683188506660513,0.011592190481924142,0.683188506660513,0.6630778795071776
xgboost,random,2,0.77214257227372,0.009366371981762076,0.683188506660513,0.6630778795071776
xgboost,random,3,0.8197248848177903,0.006298116691789711,0.683188506660513,0.6630778795071776
xgboost,random,4,0.8521972317031896,0.006454996509868086,0.683188506660513,0.6630778795071776
xgboost,random,5,0.8781278074276241,0.005574667699395109,0.683188506660513,0.6630778795071776
xgboost,random,6,0.8995322446695391,0.004566642055118163,0.683188506660513,0.6630778795071776
xgboost,random,7,0.9177495952696566,0.0035668148342028077,0.683188506660513,0.6630778795071776
xgboost,random,8,0.9362193427987006,0.0026231079067666092,0.683188506660513,0.6630778795071776
xgboost,random,9,0.9566742268359416,0.001673609890402433,0.683188506660513,0.6630778795071776
xgboost,tgb,1,0.6720369903971998,0.01851502995429113,0.6720369903971998,0.6370109731165599
xgboost,tgb,2,0.7647396844447869,0.01180192556188722,0.6720369903971998,0.6370109731165599
xgboost,tgb,3,0.8145935251927984,0.009390970377481092,0.6720369903971998,0.6370109731165599
xgboost,tgb,4,0.8475411187055054,0.005748080245177064,0.6720369903971998,0.6370109731165599
xgboost,tgb,5,0.873924403210038,0.005359512533596302,0.6720369903971998,0.6370109731165599
xgboost,tgb,6,0.894999625053334,0.004188216347662244,0.6720369903971998,0.6370109731165599
xgboost,tgb,7,0.9153069922969084,0.0037657738615314517,0.6720369903971998,0.6370109731165599
xgboost,tgb,8,0.9344523080959752,0.0028985075020412764,0.6720369903971998,0.6370109731165599
xgboost,tgb,9,0.9554556323292489,0.0018886113232979777,0.6720369903971998,0.6370109731165599
xgboost,hybrid,1,0.6495201548766375,0.017895377575408294,0.6495201548766375,0.6230609064960494
xgboost,hybrid,2,0.7464486639611009,0.011980648998845345,0.6495201548766375,0.6230609064960494
xgboost,hybrid,3,0.7988695842091748,0.00815935972073248,0.6495201548766375,0.6230609064960494
xgboost,hybrid,4,0.8357224539834445,0.008657527077301953,0.6495201548766375,0.6230609064960494
xgboost,hybrid,5,0.861076261647387,0.005831408166225843,0.6495201548766375,0.6230609064960494
xgboost,hybrid,6,0.8859338252045826,0.005739995690055489,0.6495201548766375,0.6230609064960494
xgboost,hybrid,7,0.9080531005124329,0.004352290674364009,0.6495201548766375,0.6230609064960494
xgboost,hybrid,8,0.9287081667921567,0.0031618375581099526,0.6495201548766375,0.6230609064960494
xgboost,hybrid,9,0.9515817045825354,0.0021096591341760182,0.6495201548766375,0.6230609064960494
randomforest,random,1,0.8014100185038717,0.037095300634909144,0.8014100185038717,0.7571206783304473
randomforest,random,2,0.8634031753529355,0.02379866255129054,0.8014100185038717,0.7571206783304473
randomforest,random,3,0.8916970702198461,0.017848149189457506,0.8014100185038717,0.7571206783304473
randomforest,random,4,0.9151357621856324,0.012718414247015626,0.8014100185038717,0.7571206783304473
randomforest,random,5,0.9304613167818329,0.009839106702669484,0.8014100185038717,0.7571206783304473
randomforest,random,6,0.942137014861565,0.008431315002479865,0.8014100185038717,0.7571206783304473
randomforest,random,7,0.9547410697837907,0.0073404662191308805,0.8014100185038717,0.7571206783304473
randomforest,random,8,0.9638066858002825,0.005447180215206475,0.8014100185038717,0.7571206783304473
randomforest,random,9,0.9755237400855078,0.003842856547405654,0.8014100185038717,0.7571206783304473
randomforest,tgb,1,0.8015111809460942,0.031308704978871574,0.8015111809460942,0.7301818288721318
randomforest,tgb,2,0.8656047055882753,0.020943323922919595,0.8015111809460942,0.7301818288721318
randomforest,tgb,3,0.8983989589849668,0.01503476215834068,0.8015111809460942,0.7301818288721318
randomforest,tgb,4,0.9161639674418783,0.011666752452539095,0.8015111809460942,0.7301818288721318
randomforest,tgb,5,0.9313534253718849,0.008319903325555723,0.8015111809460942,0.7301818288721318
randomforest,tgb,6,0.9434039374235031,0.00898067389149434,0.8015111809460942,0.7301818288721318
randomforest,tgb,7,0.9541891680338895,0.007574390418539269,0.8015111809460942,0.7301818288721318
randomforest,tgb,8,0.9647919840377817,0.005653099139534753,0.8015111809460942,0.7301818288721318
randomforest,tgb,9,0.9761093114823967,0.004293114537464084,0.8015111809460942,0.7301818288721318
randomforest,hybrid,1,0.767220961482588,0.0768645219358998,0.767220961482588,0.6040391927065589
randomforest,hybrid,2,0.8426417082084351,0.04505637333224648,0.767220961482588,0.6040391927065589
randomforest,hybrid,3,0.8817909163570234,0.027390937390631784,0.767220961482588,0.6040391927065589
randomforest,hybrid,4,0.9059100443274754,0.01669676767925469,0.767220961482588,0.6040391927065589
randomforest,hybrid,5,0.9222612088206141,0.010615740512581875,0.767220961482588,0.6040391927065589
randomforest,hybrid,6,0.9387872710296561,0.00826270867165413,0.767220961482588,0.6040391927065589
randomforest,hybrid,7,0.9484964427907535,0.006674079576088736,0.767220961482588,0.6040391927065589
randomforest,hybrid,8,0.96131744460223,0.00485729031064031,0.767220961482588,0.6040391927065589
randomforest,hybrid,9,0.9745058865407987,0.003716141989192424,0.767220961482588,0.6040391927065589
maxent,random,1,0.7778172507824512,0.021924088179196964,0.7778172507824512,0.741882972740995
maxent,random,2,0.8454102747216873,0.019215922608949422,0.7778172507824512,0.741882972740995
maxent,random,3,0.8802669925951723,0.015280598232541603,0.7778172507824512,0.741882972740995
maxent,random,4,0.9029756645773631,0.014893230676110805,0.7778172507824512,0.741882972740995
maxent,random,5,0.9186095130989187,0.013954675672747328,0.7778172507824512,0.741882972740995
maxent,random,6,0.9345251580986965,0.009704594223539755,0.7778172507824512,0.741882972740995
maxent,random,7,0.9479181652470143,0.007826170637883397,0.7778172507824512,0.741882972740995
maxent,random,8,0.9591181480518736,0.005818625115219677,0.7778172507824512,0.741882972740995
maxent,random,9,0.9727614186862457,0.003583070068738998,0.7778172507824512,0.741882972740995
maxent,tgb,1,0.7904420901960236,0.023452105280978967,0.7904420901960236,0.7450076349458141
maxent,tgb,2,0.8568984457216661,0.01911608801929451,0.7904420901960236,0.7450076349458141
maxent,tgb,3,0.8883852284811597,0.017644129585113664,0.7904420901960236,0.7450076349458141
maxent,tgb,4,0.908976800842895,0.01345050013771845,0.7904420901960236,0.7450076349458141
maxent,tgb,5,0.9257012341366866,0.011258911851408242,0.7904420901960236,0.7450076349458141
maxent,tgb,6,0.9398952268328745,0.009965125223990092,0.7904420901960236,0.7450076349458141
maxent,tgb,7,0.9520187005214595,0.007418683252888307,0.7904420901960236,0.7450076349458141
maxent,tgb,8,0.9625158142039317,0.005297255012350604,0.7904420901960236,0.7450076349458141
maxent,tgb,9,0.9747977468113881,0.002818275309571411,0.7904420901960236,0.7450076349458141
maxent,hybrid,1,0.7837887916610395,0.0305535829745391,0.7837887916610395,0.7238217978383762
maxent,hybrid,2,0.8456527372713132,0.020782552532881724,0.7837887916610395,0.7238217978383762
maxent,hybrid,3,0.8783869934895203,0.016571197915090083,0.7837887916610395,0.7238217978383762
maxent,hybrid,4,0.901228883267575,0.012157483173312162,0.7837887916610395,0.7238217978383762
maxent,hybrid,5,0.9137233459003532,0.009137361498843838,0.7837887916610395,0.7238217978383762
maxent,hybrid,6,0.929654236328387,0.00873256784186155,0.7837887916610395,0.7238217978383762
maxent,hybrid,7,0.9449741653759418,0.008487491673119369,0.7837887916610395,0.7238217978383762
maxent,hybrid,8,0.9573425517481272,0.0065415945980926045,0.7837887916610395,0.7238217978383762
maxent,hybrid,9,0.9715320215714621,0.00503620393820658,0.7837887916610395,0.7238217978383762
