title,date,source,identifier,relevance,phase1_tags,text_length,n_depths,depths_m,depth_contexts,n_locations,locations,primary_lat,primary_lon,materials,volcanic_context,has_depth,has_volcanic
OUDHEIDKUNDIGE DIENST,1935/10/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000458045:mpeg21:a00018:ocr,3,ARCHAEOLOGY,7595,0,,,7,"Soerabaja (-7.25,112.75); Malang (-7.98,112.63); Singosari (-7.89,112.66); Kediri (-7.82,112.01); Djokja (-7.80,110.36); Soerakarta (-7.57,110.82); Prambanan (-7.75,110.49)",-7.25,112.75,metal; stone; statue; temple,asch,False,True
Oost-Indië De Bataviasche moordzaak. Gewezen politieman voor de rechtbank.,1935/12/12,Gemeentearchief Venlo,http://resolver.kb.nl/resolve?urn=MMGAVL01:000030488:mpeg21:a0035:ocr,3,VOLCANIC; JAVA,9179,0,,,4,"Soerabaja (-7.25,112.75); Malang (-7.98,112.63); Singosari (-7.89,112.66); Batavia (-6.17,106.83)",-7.25,112.75,stone,asch,False,True
OUDHEIDKUNDIGE VONDSTEN.,1914/03/30,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001528224:mpeg21:a00173:ocr,3,ARCHAEOLOGY,180,0,,,1,"Modjokerto (-7.47,112.43)",-7.47,112.43,,,False,False
Oudheidkundig Onderzoek.,1929/10/19,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011072525:mpeg21:a0019:ocr,3,ARCHAEOLOGY,523,0,,,2,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43)",-7.98,112.63,,,False,False
UIT DE INDISCHE BLADEN. Oudheidkundig onderzoek.,1912/07/26,KB C 236,http://resolver.kb.nl/resolve?urn=ddd:010549028:mpeg21:a0034:ocr,3,ARCHAEOLOGY,827,0,,,2,"Modjokerto (-7.47,112.43); Batavia (-6.17,106.83)",-7.47,112.43,,asch,False,True
OUDHEIDKUNDIGE VONDSTEN,1935/04/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000461083:mpeg21:a00052:ocr,3,ARCHAEOLOGY,3999,0,,,2,"Modjokerto (-7.47,112.43); Trowoelan (-7.55,112.38)",-7.47,112.43,stone,,False,False
Oudheidkundig onderzoek.,1940/11/27,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/40-2 - 41-1",http://resolver.kb.nl/resolve?urn=ddd:011176384:mpeg21:a0089:ocr,3,ARCHAEOLOGY,2176,0,,,2,"Modjokerto (-7.47,112.43); Blitar (-8.08,112.17)",-7.47,112.43,,,False,False
De oudheidkundige vereeniging „Modjopait.”,1938/08/02,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286094:mpeg21:a0212:ocr,3,ARCHAEOLOGY,1719,0,,,2,"Modjokerto (-7.47,112.43); Pasoeroean (-7.64,112.90)",-7.47,112.43,,,False,False
Wetenschappelijk nieuws. oudheidkundig verslag.,1920/12/01,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001679051:mpeg21:a00048:ocr,3,ARCHAEOLOGY,4059,0,,,2,"Modjokerto (-7.47,112.43); Batavia (-6.17,106.83)",-7.47,112.43,tools; statue; temple,Kloet,False,True
Hindoe-oudheden.,1938/08/27,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286116:mpeg21:a0233:ocr,3,ARCHAEOLOGY,3234,0,,,5,"Modjokerto (-7.47,112.43); Singosari (-7.89,112.66); Prambanan (-7.75,110.49); Boroboedoer (-7.61,110.20); Batavia (-6.17,106.83)",-7.47,112.43,metal; stone; statue; temple,asch,False,True
OUDHEIDKUNDIGE MUSEA Naar decentralisatie.,1940/03/29,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=KBNRC01:000088708:mpeg21:a0188:ocr,3,ARCHAEOLOGY,1007,0,,,3,"Malang (-7.98,112.63); Kediri (-7.82,112.01); Batavia (-6.17,106.83)",-7.98,112.63,,,False,False
Wetenschappen. HOOFD OUDHEIDKUNDIGEN DIENST. De regionale oudheidkundige musea.,1940/03/13,Koninklijke Bibliotheek C55,http://resolver.kb.nl/resolve?urn=ddd:010984284:mpeg21:a0193:ocr,3,ARCHAEOLOGY,1228,0,,,3,"Malang (-7.98,112.63); Kediri (-7.82,112.01); Batavia (-6.17,106.83)",-7.98,112.63,,,False,False
OUDHEIDKUNDIGE DIENST.,1913/07/29,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB23:001500074:mpeg21:a00124:ocr,3,ARCHAEOLOGY,1475,0,,,6,"Soerabaja (-7.25,112.75); Kediri (-7.82,112.01); Pasoeroean (-7.64,112.90); Madioen (-7.63,111.52); Djokja (-7.80,110.36); Semarang (-6.97,110.42)",-7.25,112.75,,asch,False,True
Waar ligt de tempel?,1941/07/23,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP SP/41-3",http://resolver.kb.nl/resolve?urn=ddd:011177053:mpeg21:a0114:ocr,2,TEMPLE,3772,0,,,0,,,,statue; temple,,False,False
Over de „Tjandi Mendoet”. De Boeddhistische tempel uit de Progro-vallei.,1933/01/06,Tresoar,http://resolver.kb.nl/resolve?urn=ddd:010746049:mpeg21:a0118:ocr,2,TEMPLE,4943,0,,,1,"Boroboedoer (-7.61,110.20)",-7.61,110.2,stone; statue; temple,,False,False
DE JONGSTE HERSTELLINGEN AAN DE TJANDI HENDOET.,1910/01/13,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011035487:mpeg21:a0067:ocr,2,TEMPLE,12843,0,,,2,"Prambanan (-7.75,110.49); Boroboedoer (-7.61,110.20)",-7.75,110.49,statue; stone; bone; tools; temple,Merapi,False,True
"De Heilige Tempelkat van Oengaran. De Amerikaansche, de kampongkat en de Semarangsche havenmeester.",1927/05/23,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001701056:mpeg21:a00022:ocr,2,TEMPLE,13994,0,,,2,"Semarang (-6.97,110.42); Boroboedoer (-7.61,110.20)",-6.97,110.42,metal; statue; stone; bone; tools; temple,,False,False
HET DJOKJASCHE MUSEUM.,1934/03/16,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000452146:mpeg21:a00026:ocr,2,VOLCANIC,1025,0,,,2,"Djokja (-7.80,110.36); Batavia (-6.17,106.83)",-7.8,110.36,metal; statue,asch,False,True
Een Oude Cultuur. De Vondsten uit vervlogen tijden op de Pasemah vlakte. Aan den voet van den machtigen Dempo. Beeld bij doesoen Padang.,1932/11/11,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001757021:mpeg21:a00003:ocr,2,STATUE,1976,0,,,0,,,,stone; statue,,False,False
"Stikte de Vesuvius in zijn protest? Sinds maart 1944 zwijgt de vulkaan, die Pompeji begroef",1956/03/17,Centre Céramique,http://resolver.kb.nl/resolve?urn=MMCC02:211173066:mpeg21:a00194:ocr,2,VOLCANIC,14851,0,,,0,,,,metal; stone; statue; bone,vulkaan; vulkanisch; lava; uitbarsting; modder; Merapi,False,True
Candi,1992/02/22,Nederlands Dagblad,http://resolver.kb.nl/resolve?urn=ddd:010559901:mpeg21:a0201:ocr,2,TEMPLE,2515,0,,,1,"Borobudur (-7.61,110.20)",-7.61,110.2,statue; temple,,False,False
Tjandi Sawentar.,1923/11/14,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010026890:mpeg21:a0136:ocr,2,TEMPLE,4840,0,,,2,"Blitar (-8.08,112.17); Batavia (-6.17,106.83)",-8.08,112.17,metal; stone; statue; temple,lahar; Kloet,False,True
Oude tempels.,1922/06/22,KB C 142,http://resolver.kb.nl/resolve?urn=ddd:010210419:mpeg21:a0163:ocr,2,TEMPLE,4390,0,,,0,,,,tools; statue; temple,,False,False
De Tjandi Panataran.,1930/04/19,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010279250:mpeg21:a0189:ocr,2,TEMPLE,5505,0,,,1,"Blitar (-8.08,112.17)",-8.08,112.17,stone; statue; temple,lahar; asch; Kloet,False,True
KUNST EN LETTEREN. DE TJANDI MENDOET.,1902/03/24,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000126346:mpeg21:a0063:ocr,2,TEMPLE,6161,0,,,6,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43); Pasoeroean (-7.64,112.90); Soerakarta (-7.57,110.82); Prambanan (-7.75,110.49); Boroboedoer (-7.61,110.20)",-7.98,112.63,stone; statue; temple,vulkanisch; asch; uitbarsting; Kloet; Merapi,False,True
Het stadsbeeld.,1933/07/06,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011109726:mpeg21:a0226:ocr,2,STATUE,1614,0,,,1,"Modjokerto (-7.47,112.43)",-7.47,112.43,statue,,False,False
BEELDENDE KUNSTEN.,1902/07/21,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000911146:mpeg21:a00106:ocr,2,STATUE,2559,0,,,4,"Kediri (-7.82,112.01); Blitar (-8.08,112.17); Pasoeroean (-7.64,112.90); Batavia (-6.17,106.83)",-7.82,112.01,stone; statue; temple,asch,False,True
"De Zwervende Geleerde vol Energie De ontgraving van de Vleermuizengroi door Dr Van Siein Callenfels was een voorbeeld voor verdere onderzoekingen Hij putte zijn kennis uit fenomenaal Geheugen Ontembare energie, onverwoestbare Vitaliteit",1938/05/21,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010226691:mpeg21:a0309:ocr,2,STATUE,2575,0,,,1,"Kediri (-7.82,112.01)",-7.82,112.01,metal; statue; temple,Kloet,False,True
