title,date,source,identifier,relevance,phase1_tags,text_length,n_depths,depths_m,depth_contexts,n_locations,locations,primary_lat,primary_lon,materials,volcanic_context,has_depth,has_volcanic
Boorput van meer =dan 3 k.m. diepte Olie-exploratie in West-Java,1939/03/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB27:021094115:mpeg21:a00106:ocr,4,DEPTH; JAVA,3561,3,1600.0m; 3104.0m; 3104.0m,"oenig), welke thans 1600 M. diep is. De beide andere | ibon), welke op een diepte van 3104 M. is stopgezet, en di | an Cheribon), welke op een diepte van 3104 M. is stopgezet, en",1,"Batavia (-6.17,106.83)",-6.17,106.83,statue,,True,False
OLIE-EXPLORATIE IN WEST-JAVA De B. P. M. heeft de diepste boring in Nederlandsch-Indië op haar naam,1939/03/10,KB C 236,http://resolver.kb.nl/resolve?urn=ddd:010406426:mpeg21:a0186:ocr,4,DEPTH; JAVA,2074,0,,,1,"Batavia (-6.17,106.83)",-6.17,106.83,statue,,False,False
Olie-exploratie in West-Java DE DIEPSTE BORING IN NEDERLANDSCHINDIË,1939/03/10,Regionaal Archief Nijmegen,http://resolver.kb.nl/resolve?urn=MMRANM02:000034182:mpeg21:a0005:ocr,4,DEPTH; JAVA,3008,3,1600.0m; 3104.0m; 3104.0m,"andoeng), wel thans 1600 M. diep is. De beide andere | ibon), welke op een diepte van 3104 M stopgezet, en die i | v; Cheribon), welke op een diepte van 3104 M stopgezet, en die",2,"Batavia (-6.17,106.83); Bandoeng (-6.91,107.61)",-6.17,106.83,statue,,True,False
Olie-exploratie in West-Java De diepste boring in Nederlandsch-Indië,1939/03/10,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000150097:mpeg21:a0245:ocr,4,DEPTH; JAVA,4275,3,1600.0m; 3104.0m; 3104.0m,"doeng), welke thans 1600 m. diep is De beide andere | ibon), welke op een diepte van 3104 m. is stopgezet, en di | an Cheribon), welke op een diepte van 3104 m. is stopgezet, en",2,"Batavia (-6.17,106.83); Bandoeng (-6.91,107.61)",-6.17,106.83,statue,,True,False
MODJOKERTO. (Van onzen correspondent.) Oudheidkundig bodemonderzoek in Majaphit.,1941/07/11,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-3",http://resolver.kb.nl/resolve?urn=ddd:011176484:mpeg21:a0105:ocr,4,ARCHAEOLOGY; JAVA,646,0,,,2,"Modjokerto (-7.47,112.43); Batavia (-6.17,106.83)",-7.47,112.43,,,False,False
Modjokerto OUDHEIDKUNDIG BODEM. ONDERZOEK MADJAPAHIT.,1941/07/12,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011122387:mpeg21:a0232:ocr,4,ARCHAEOLOGY; JAVA,745,0,,,2,"Modjokerto (-7.47,112.43); Batavia (-6.17,106.83)",-7.47,112.43,,,False,False
Oudheden op Java.,1914/03/12,KB 1634 B1,http://resolver.kb.nl/resolve?urn=ddd:010324083:mpeg21:a0049:ocr,4,ARCHAEOLOGY; JAVA,500,0,,,1,"Modjokerto (-7.47,112.43)",-7.47,112.43,statue,,False,False
Oudheidkundige vondsten. Merkwaardige steenen.,1935/04/08,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010284815:mpeg21:a0307:ocr,4,ARCHAEOLOGY; STONE,4010,0,,,2,"Modjokerto (-7.47,112.43); Trowoelan (-7.55,112.38)",-7.47,112.43,stone,,False,False
KEDIRI. (Van onzen correspondent.) Oudheidkundig verkenningswerk.,1941/10/09,"Koninklijk Instituut voor Taal-, Land- en Volkenku",http://resolver.kb.nl/resolve?urn=ddd:011176327:mpeg21:a0110:ocr,4,ARCHAEOLOGY; JAVA,3431,0,,,5,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43); Kediri (-7.82,112.01); Blitar (-8.08,112.17); Prambanan (-7.75,110.49)",-7.98,112.63,statue; temple; inscription,,False,False
Kediri OUDHEIDKUNDIG ONDERZOEK.,1940/11/27,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121494:mpeg21:a0239:ocr,4,ARCHAEOLOGY; JAVA,2171,0,,,3,"Modjokerto (-7.47,112.43); Kediri (-7.82,112.01); Madioen (-7.63,111.52)",-7.47,112.43,,,False,False
Kediri OUDHEIDKUNDIG VERKENNINGSWERK.,1941/10/11,Koninklijke Bibliotheek C64,http://resolver.kb.nl/resolve?urn=ddd:011122830:mpeg21:a0210:ocr,4,ARCHAEOLOGY; JAVA,3444,0,,,5,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43); Kediri (-7.82,112.01); Blitar (-8.08,112.17); Prambanan (-7.75,110.49)",-7.98,112.63,temple; inscription,,False,False
UIT DEN OOSTHOEK. UIT MALANG. (Van onzen redacteur). Oudheidkundige dienst.,1931/08/08,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011109238:mpeg21:a0186:ocr,4,ARCHAEOLOGY; JAVA,1418,0,,,4,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43); Blitar (-8.08,112.17); Batavia (-6.17,106.83)",-7.98,112.63,statue,asch,False,True
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1940/07/15,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011122428:mpeg21:a0093:ocr,4,ARCHAEOLOGY; JAVA,3588,0,,,7,"Soerabaja (-7.25,112.75); Modjokerto (-7.47,112.43); Kediri (-7.82,112.01); Blitar (-8.08,112.17); Madioen (-7.63,111.52); Djember (-8.17,113.70); Jember (-8.17,113.70)",-7.25,112.75,pottery; temple,asch,False,True
MODJOKERTO. (Van onzen correspondent.) Oudheidkundige vereeniging „Majapahit.”,1939/07/19,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285830:mpeg21:a0221:ocr,4,ARCHAEOLOGY; JAVA,3406,0,,,4,"Malang (-7.98,112.63); Modjokerto (-7.47,112.43); Kediri (-7.82,112.01); Pasoeroean (-7.64,112.90)",-7.98,112.63,,,False,False
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1939/07/18,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121789:mpeg21:a0243:ocr,4,ARCHAEOLOGY; JAVA,3383,0,,,3,"Soerabaja (-7.25,112.75); Malang (-7.98,112.63); Modjokerto (-7.47,112.43)",-7.25,112.75,,,False,False
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige musea.,1940/03/07,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/40-1",http://resolver.kb.nl/resolve?urn=ddd:011176811:mpeg21:a0211:ocr,4,ARCHAEOLOGY; JAVA,1347,0,,,3,"Malang (-7.98,112.63); Kediri (-7.82,112.01); Batavia (-6.17,106.83)",-7.98,112.63,,,False,False
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige  musea.,1940/03/07,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286278:mpeg21:a0217:ocr,4,ARCHAEOLOGY; JAVA,1252,0,,,3,"Malang (-7.98,112.63); Kediri (-7.82,112.01); Batavia (-6.17,106.83)",-7.98,112.63,,,False,False
Wetenschappelijke Berichten. De opgravingen van Graikeiders te Emmen.,1913/07/23,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010032927:mpeg21:a0126:ocr,3,ARCHAEOLOGY,7212,0,,,0,,,,statue; stone; pottery; bone; tools,,False,False
MUSEUM VAN OUDHEDEN TE LEYDEN.,1844/02/06,KB T948,http://resolver.kb.nl/resolve?urn=ddd:010088942:mpeg21:a0006:ocr,3,ARCHAEOLOGY,10837,0,,,1,"Batavia (-6.17,106.83)",-6.17,106.83,metal; statue; stone; tools; inscription,,False,False
MUSEUM VAN OUDHEDEN TE LEYDEN.,1854/03/15,Koninklijke Bibliotheek T 948,http://resolver.kb.nl/resolve?urn=ddd:010787982:mpeg21:a0010:ocr,3,ARCHAEOLOGY,11319,0,,,1,"Batavia (-6.17,106.83)",-6.17,106.83,metal; statue; stone; bone; tools,asch,False,True
Oude tempels bij Malang.,1925/06/06,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010657593:mpeg21:a0145:ocr,3,TEMPLE; JAVA,3956,0,,,1,"Malang (-7.98,112.63)",-7.98,112.63,stone; statue; temple; inscription,,False,False
Oudheidkundige vondsten in Palembang.,1935/05/04,KB C 21,http://resolver.kb.nl/resolve?urn=ddd:010663926:mpeg21:a0198:ocr,3,ARCHAEOLOGY,5808,0,,,1,"Boroboedoer (-7.61,110.20)",-7.61,110.2,stone; statue; temple; inscription,modder,False,True
OUDHEIDKUNDIGE VONDSTEN. Geen ophef gewettigd.,1935/07/22,KB 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010382280:mpeg21:a0048:ocr,3,ARCHAEOLOGY,616,0,,,0,,,,,,False,False
Oudheidkundige vondsten ERNSTIGE OVERDRIJVING,1935/06/11,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010971191:mpeg21:a0082:ocr,3,ARCHAEOLOGY,1178,0,,,0,,,,temple,,False,False
OUDHEIDKUNDIGE VONDSTEN IN INDIE.,1937/08/18,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB32:164690042:mpeg21:a00046:ocr,3,ARCHAEOLOGY,281,0,,,0,,,,temple,,False,False
BEELDEN VIT MIDDEN- EN OOST-JAVA.,1937/11/20,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003465039:mpeg21:a00302:ocr,3,STATUE; JAVA,233,0,,,0,,,,statue,,False,False
Oudheden in het Loemadjangsche. Belangrijke vondsten.,1938/01/13,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003460021:mpeg21:a00130:ocr,3,ARCHAEOLOGY,465,0,,,0,,,,metal,,False,False
"De Vondsten op Celebes. Verwachtingen verre overtroffen, zegt dr. Stein. De eerste conclusies van den oudheidkundige.",1933/09/18,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001747032:mpeg21:a00154:ocr,3,ARCHAEOLOGY,988,0,,,0,,,,pottery; stone; tools,,False,False
Oudheidkundige dienst.,1937/10/14,KB NBM C 44 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010017463:mpeg21:a0238:ocr,3,ARCHAEOLOGY,749,0,,,1,"Batavia (-6.17,106.83)",-6.17,106.83,,,False,False
Op zoek naar de aapmens Ned. oudheidkundige naar Z. Afrika,1951/01/09,Regionaal Archief Zutphen,http://resolver.kb.nl/resolve?urn=MMRAZ03:179298007:mpeg21:a00078:ocr,3,ARCHAEOLOGY,2017,0,,,0,,,,bone,,False,False
Op zoek naar de aapmens Ned. oudheidkundige naar Z. Afrika,1950/12/28,Historisch Centrum Overijssel,http://resolver.kb.nl/resolve?urn=MMHCO02:163902100:mpeg21:a00119:ocr,3,ARCHAEOLOGY,2010,0,,,0,,,,bone,,False,False
"De Oudheidkundige Dienst, Het jaarverslag over 1938.",1939/06/06,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:003473065:mpeg21:a00131:ocr,3,ARCHAEOLOGY,926,0,,,0,,,,stone; temple,,False,False
Oudheidkundige Dienst.,1939/06/07,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000477054:mpeg21:a00041:ocr,3,ARCHAEOLOGY,923,0,,,0,,,,stone; temple,,False,False
Oudheidkundige vondsten op Bali.,1925/09/26,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001695061:mpeg21:a00011:ocr,3,ARCHAEOLOGY,1281,0,,,0,,,,statue; temple; inscription,,False,False
Voorwerpen met Oudheidkundige Waarde.,1925/11/20,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000429069:mpeg21:a00087:ocr,3,ARCHAEOLOGY,1750,0,,,0,,,,metal; stone; statue; temple,,False,False
KOSTBARE OUDHEIDKUNDIGE VONDSTEN.,1934/06/28,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000456114:mpeg21:a00019:ocr,3,ARCHAEOLOGY,4094,0,,,4,"Djokja (-7.80,110.36); Batavia (-6.17,106.83); Goenoeng Kidoel (-7.98,110.61); Wonosari (-7.96,110.60)",-7.8,110.36,tools; stone; metal; temple,,False,False
WETENSCHAPPEN. OUDHEIDKUNDIGE VOORWERPEN. Medewerking gevraagd.,1925/11/13,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010278033:mpeg21:a0082:ocr,3,ARCHAEOLOGY,2718,0,,,0,,,,metal; statue; stone; tools; temple,,False,False
LETTEREN EN KUNST. OUDHEIDKUNDIGE VONDSTEN OP BALL.,1925/10/31,Tilburg University Library,http://resolver.kb.nl/resolve?urn=MMKB23:001960105:mpeg21:a00087:ocr,3,ARCHAEOLOGY,1036,0,,,0,,,,statue; temple; inscription,,False,False
Voorwerpen van oudheidkundige waarde.,1925/11/18,Universitaire Bibliotheken Leiden,http://resolver.kb.nl/resolve?urn=MMKB23:001698045:mpeg21:a00023:ocr,3,ARCHAEOLOGY,2731,0,,,0,,,,metal; statue; stone; tools; temple,,False,False
Voorwerpen van Oudheidkundige Waarde.,1925/11/21,Koninklijke Bibliotheek C 96,http://resolver.kb.nl/resolve?urn=ddd:011071720:mpeg21:a0132:ocr,3,ARCHAEOLOGY,2719,0,,,0,,,,metal; statue; stone; tools; temple,,False,False
HET NIEUWS VAN DEN DAG  VOOR NEDERLANDSCH-INDIË. Oude Steen-Cultuur Bewaard Gebleven ? Oude Man in Goenoeng Kidoelsche Ontdekt die met Primitieve Middelen Beelden Maakt Merkwaardige Voortzetting van Vroegere Kunst. De Beelden in Tapa-Houding.,1936/08/08,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010230487:mpeg21:a0334:ocr,3,STATUE; STONE,2781,0,,,1,"Goenoeng Kidoel (-7.98,110.61)",-7.98,110.61,metal; statue; stone; pottery; bone; tools,,False,False
DE OUDHEIDKUNDIGE OPGRAVINGEN TE MODJOPAIT. (Van onzen correspondent.) BIZONDERHEDEN OVER DE OPPERVORSTELIJKE RESIDENTIE. Kedaton en kraton.,1941/07/24,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-3",http://resolver.kb.nl/resolve?urn=ddd:011176495:mpeg21:a0131:ocr,3,ARCHAEOLOGY,2682,0,,,0,,,,,,False,False
WETENSCHAPPEN. BALI. Oudheidkundige vondsten.,1925/09/28,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010277994:mpeg21:a0181:ocr,3,ARCHAEOLOGY,2204,0,,,0,,,,statue; temple; inscription,,False,False
Oudheidkundige vondsten op Ball. BALI EN LOMBOK.,1925/10/27,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010028094:mpeg21:a0149:ocr,3,ARCHAEOLOGY,2131,0,,,0,,,,statue; temple; inscription,,False,False
Oudheidkundige vondsten op Bali.,1925/09/25,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010220370:mpeg21:a0012:ocr,3,ARCHAEOLOGY,2182,0,,,0,,,,statue; temple; inscription,,False,False
