title,date,source,identifier,description,relevance,tags
NEDERLANDSCH-INDIË. De Sultan van Deli. Viert zijn 12½ jaring jublieum.,1937/08/18,KB NBM C 44 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010017364:mpeg21:a0179:ocr,,0,
Verspreide Indische Berichten.,1899/03/25,KB C 76,http://resolver.kb.nl/resolve?urn=ddd:010299677:mpeg21:a0098:ocr,,0,
Vieuwe schakel ontdekt in de menselijke afstamming,1954/10/23,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000839020:mpeg21:a00140:ocr,,0,
Wetenschappen Het Prae-historisch Onderzoek op Celebes. De Reis van Dr. Van Stein Callenfels.,1933/11/04,KB C55,http://resolver.kb.nl/resolve?urn=ddd:010229943:mpeg21:a0115:ocr,,0,
WETENSCHAPPEN. PRAEHISTORISCH ONDERZOEK. Dr. Van Stem Callenfels op Celebes. NEOLITHISCHE CULTUUR. Een „zot” idee.,1933/11/03,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010284911:mpeg21:a0110:ocr,,0,
BINNENLAND Praehistorisch onderzoek. DR. VAN STEIN CALLENFELS OP CELEBES.,1933/11/14,Koninklijke Bibliotheek 1634 C1,http://resolver.kb.nl/resolve?urn=ddd:010970942:mpeg21:a0094:ocr,,0,
UIT DE GRIJZE OUDHEID. (Van onzen reizenden correspondent.),1941/05/15,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/41-3",http://resolver.kb.nl/resolve?urn=ddd:011176437:mpeg21:a0244:ocr,,0,
UIT DE INDISCHE BLADEN.,1936/01/15,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB04:000149030:mpeg21:a0122:ocr,,0,
"0p de Kloethelling I. Ter onderneming „Penataran"". Uitverkoren ligging. — Onderneming en werving. — Het Uivertje. — Overblijfselen der Oudheid.",1939/03/07,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121244:mpeg21:a0215:ocr,,0,
Finantiële berigten.,1877/06/14,Drents Archief,http://resolver.kb.nl/resolve?urn=MMDA03:000096533:mpeg21:a0012:ocr,,0,
Stadsnieuws Massagraf ontdekt,1948/05/13,"NIOD Instituut voor Oorlogs-, Holocaust- en Genocidestudies",http://resolver.kb.nl/resolve?urn=MMNIOD04:000094869:mpeg21:a0021:ocr,,0,
Onderzoekingen van den Oudheidkundi- gen Dienst in het Landschap Loewoe.,1937/11/08,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000469033:mpeg21:a00149:ocr,,0,
Gemengd Nieuws.,1913/07/07,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000161006:mpeg21:a00026:ocr,,0,
Verschillende Berichten.,1910/06/30,Zeeuwsche bibliotheek,http://resolver.kb.nl/resolve?urn=ddd:010635066:mpeg21:a0011:ocr,,0,
Wankele Wetenschap (II) Veel fouten bij onderzoek der oude tijden Subjectiviteit,1954/01/11,Regionaal Archief Zutphen,http://resolver.kb.nl/resolve?urn=MMRAZ03:179304008:mpeg21:a00079:ocr,,0,
EEN URNEN VELD UIT DE PRAEHISTORIE,1937/11/09,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB15:000123034:mpeg21:a00054:ocr,,0,
BINNENLANDSCHE BERIGTEN.,1879/03/21,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB12:000003069:mpeg21:a00010:ocr,,0,
STADSNIEUWS.,1916/08/22,Het Utrechts Archief,http://resolver.kb.nl/resolve?urn=MMUTRA04:253304044:mpeg21:a00022:ocr,,0,
Laatste Berichten,1913/03/18,Stadsarchief 's-Hertogenbosch,http://resolver.kb.nl/resolve?urn=MMSADB01:000008702:mpeg21:a0012:ocr,,0,
Gemengd Nieuws,1905/12/09,Gemeentearchief Steenwijkerland,http://resolver.kb.nl/resolve?urn=MMGASL01:000376024:mpeg21:a00050:ocr,,0,
KUNST EN WETENSCHAP,1933/11/02,Koninklijke Bibliotheek,http://resolver.kb.nl/resolve?urn=MMKB19:000407102:mpeg21:a00012:ocr,,0,
