title,date,source,identifier,description,subject,relevance,tags,depth_m
Kediri OUDHEIDKUNDIG VERKENNINGSWERK.,1941/10/11,Koninklijke Bibliotheek C64,http://resolver.kb.nl/resolve?urn=ddd:011122830:mpeg21:a0210:ocr,,,4,ARCHAEOLOGY; JAVA,
UIT DEN OOSTHOEK. UIT MALANG. (Van onzen redacteur). Oudheidkundige dienst.,1931/08/08,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011109238:mpeg21:a0186:ocr,,,4,ARCHAEOLOGY; JAVA,
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1940/07/15,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011122428:mpeg21:a0093:ocr,,,4,ARCHAEOLOGY; JAVA,
MODJOKERTO. (Van onzen correspondent.) Oudheidkundige vereeniging „Majapahit.”,1939/07/19,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010285830:mpeg21:a0221:ocr,,,4,ARCHAEOLOGY; JAVA,
Modjokerto OUDHEIDKUNDIGE VEREENIGING „MAJAPAHIT”.,1939/07/18,Koninklijke Bibliotheek C 64,http://resolver.kb.nl/resolve?urn=ddd:011121789:mpeg21:a0243:ocr,,,4,ARCHAEOLOGY; JAVA,
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige musea.,1940/03/07,"Koninklijk Instituut voor Taal-, Land- en Volkenku DP IC/40-1",http://resolver.kb.nl/resolve?urn=ddd:011176811:mpeg21:a0211:ocr,,,4,ARCHAEOLOGY; JAVA,
WETENSCHAPPEN. HOOFD OUDHEIDKUNDIGEN DIENST TE MALANG. De regionale oudheidkundige  musea.,1940/03/07,KB C 248,http://resolver.kb.nl/resolve?urn=ddd:010286278:mpeg21:a0217:ocr,,,4,ARCHAEOLOGY; JAVA,
Wetenschappelijke Berichten. De opgravingen van Graikeiders te Emmen.,1913/07/23,KB NBM Mfm MMK 0030 [Microfilm],http://resolver.kb.nl/resolve?urn=ddd:010032927:mpeg21:a0126:ocr,,,3,ARCHAEOLOGY,
MUSEUM VAN OUDHEDEN TE LEYDEN.,1844/02/06,KB T948,http://resolver.kb.nl/resolve?urn=ddd:010088942:mpeg21:a0006:ocr,,,3,ARCHAEOLOGY,
MUSEUM VAN OUDHEDEN TE LEYDEN.,1854/03/15,Koninklijke Bibliotheek T 948,http://resolver.kb.nl/resolve?urn=ddd:010787982:mpeg21:a0010:ocr,,,3,ARCHAEOLOGY,
